ID,name,name_eng,rank,kingdom,phylum,class,order,family,genus,genus_eng,family_eng,synonyms
11557598,Didymocheton spectabilis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum spectabile
11575151,Strophocaulon invisum,Forster's Maiden Fern,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Strophocaulon,,marsh fern family,Sphaerostephanos invisus
11624504,Didymocheton samoensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum samoensis
11674083,Didymocheton alliaceus,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum forsteri; Dysoxylum richii
11765372,Didymocheton lenticellaris,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum lenticillare
12262828,Nephrolepis biserrata,,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Nephrolepidaceae,Nephrolepis,swordfern,,Nephrolepis biserrata
1264342,Agathis,Kauris,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Agathis,,braconid wasps,
1507726,Ctenophora,comb jellies,GENUS,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Ctenophora,,Large Crane Flies,
1855683,Ectropoceros imbricata,,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Ectropoceros,,"Fungus Moths, Clothes Moths, & Allies",Tinea imbricata
2114067,Paralepas palinuri,,SPECIES,Animalia,Arthropoda,Maxillopoda,Pedunculata,Heteralepadidae,Paralepas,,,Palinura
2221602,Palinurus,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,,furry lobsters,
2221640,Panulirus penicillatus,Pronghorn Spiny Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,,furry lobsters,Palinurus penicillatus
2221652,Panulirus versicolor,Painted Spiny Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,,furry lobsters,Palinurus versicolor
2221746,Parribacus,slipper lobsters,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,,Slipper lobsters,
2221751,Parribacus antarcticus,Horseshoe crab,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,slipper lobsters,Slipper lobsters,Parribacus antartica
2221747,Parribacus caledonicus,Caledonian Mitten Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,slipper lobsters,Slipper lobsters,
2221719,Ibacus ciliatus,Japanese fan lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Ibacus,,,
2225562,Scylla serrata,giant mud crab,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Scylla,,Swimming Crab,
2225749,Sesarma,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Sesarma,,,
2225817,Grapsus,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Grapsus,,Marsh Crabs,
2225831,Cardisoma,great land crabs,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Cardisoma,,land crabs,
2272943,Culcita,,GENUS,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita,,,
2278860,Echinometra,,GENUS,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,,,
2279021,Diadema,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,,,
2279025,Astropyga,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Astropyga,,,
2279034,Echinothrix,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,,,
2279167,Holothuria atra,Lollyfish,SPECIES,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,,,
2279182,Holothuria impatiens,Slender Sea Cucumber,SPECIES,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,,,
2285329,Pteria,,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Pteriidae,Pteria,,pearl oyster,Avicula sp.
2285337,Pinctada margaritifera,black-lipped pearl oyster,SPECIES,Animalia,Mollusca,Bivalvia,Ostreida,Margaritidae,Pinctada,,,
2285339,Malleus,hammer oysters,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Malleidae,Malleus,,hammer oysters,
2286374,Paphies australis,,SPECIES,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Paphies,,,
2286792,Asaphis,,GENUS,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Asaphis,,sunsetclams,
2286793,Asaphis deflorata,Gaudy Asaphis,SPECIES,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Asaphis,,sunsetclams,
2287347,Lucinisca,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinisca,,Hatchet Shells,
2287351,Codakia,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Codakia,,Hatchet Shells,
2287388,Loripes,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Loripes,,Hatchet Shells,
2287424,Lucina,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucina,,Hatchet Shells,
2287652,Austrovenus stutchburyi,,SPECIES,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Austrovenus,,venus shells,Chione stutchburyi
2287924,Anodonta,pond mussels,GENUS,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Anodonta,,River Mussels,
2289099,Sepia,,GENUS,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,Cuttlefishes,
2289182,Loligo,Long-finned squid,GENUS,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,,inshore squids,
2289535,Octopus cyanea,day octopus,SPECIES,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,,,
2293196,Turbo petholatus,tapestry turban,SPECIES,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo,,turban snails,
2297438,Melampus,,GENUS,Animalia,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Melampus,,hollow-shelled snails,
2299646,Cassis,,GENUS,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Cassis,,helmet snails,
2304422,Murex,murex snails,GENUS,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Murex,,Murex Snail,
2317712,Pherecardia striata,,SPECIES,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Pherecardia,,,
2332544,Althoffia,,GENUS,Animalia,Chordata,Copelata,Oikopleuridae,Althoffia,,,
2333511,Balistes,Triggerfish,GENUS,Animalia,Chordata,,Tetraodontiformes,Balistidae,Balistes,,Triggerfishes,
2396015,Ecsenius,,GENUS,Animalia,Chordata,,Perciformes,Blenniidae,Ecsenius,,,
2335319,Epinephelus,groupers,GENUS,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,,Groupers,
2336662,Cuculus,Eurasian Cuckoos,GENUS,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,,Anis,
2341074,Albula,bonefishes,GENUS,Animalia,Chordata,,Albuliformes,Albulidae,Albula,,Bananafishes,
2341900,Plotosus,,GENUS,Animalia,Chordata,,Siluriformes,Plotosidae,Plotosus,,Eeltail Catfishes,
2356717,Sargocentron,,GENUS,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,
2356744,Sargocentron violaceum,Violet Squirrelfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,
2356802,Sargocentron rubrum,Redcoat,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,Sargocentron ruber
2356873,Sargocentron spiniferum,Sabre Squirrelfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,Holocentrus spinifer
2356983,Myripristis,,GENUS,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,
2356993,Myripristis murdjan,Pinecone Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,
2357002,Myripristis berndti,Blotcheye Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,
2357018,Myripristis adusta,Shadowfin Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,
2357028,Myripristis violacea,Lattice Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,
2368648,Exocoetus volitans,Tropical Two-wing Flying-fish,SPECIES,Animalia,Chordata,,Beloniformes,Exocoetidae,Exocoetus,flyingfishes,flyingfishes,
2368887,Hyporhamphus intermedius,sea garfish,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hyporhamphus,halfbeaks,Halfbeaks,Hemiramphus intermedius
2368906,Hyporhamphus quoyi,Short-nosed halfbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hyporhamphus,halfbeaks,Halfbeaks,Hemirhamphus quoyi
2368949,Hemiramphus,,GENUS,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,
2368955,Hemiramphus lutkei,Lutke's halbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,
2368968,Hemiramphus far,spotted halfbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,Hemiramphus commersoni
2369201,Sphyraena,barracudas,GENUS,Animalia,Chordata,,Perciformes,Sphyraenidae,Sphyraena,,barracudas,
2369316,Scolopsis,,GENUS,Animalia,Chordata,,Perciformes,Nemipteridae,Scolopsis,,False Snappers,
2369369,Gerres,yellowfin mojarras,GENUS,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,,Mojarras,
2370014,Platax,,GENUS,Animalia,Chordata,,Perciformes,Ephippidae,Platax,,Spadefishes,
2371535,Scarus,parrotfishes,GENUS,Animalia,Chordata,,Perciformes,Scaridae,Scarus,,parrotfishes,
2374013,Thunnus albacares,Yellowfin Tuna,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Thunnus,tunas,Tunas And Mackerels,
2374069,Acanthocybium solandri,Wahoo,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Acanthocybium,tetos,Tunas And Mackerels,
2374086,Gymnosarda unicolor,Dogtooth Tuna,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Gymnosarda,ocean bonitos,Tunas And Mackerels,
2374156,Scomber australasicus,Blue Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomber,mackerels,Tunas And Mackerels,
2374191,Katsuwonus pelamis,oceanic bonito,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Katsuwonus,skipjack tunas,Tunas And Mackerels,
2374232,Scomberomorus,wahoos,GENUS,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,,Tunas And Mackerels,
2374255,Scomberomorus commerson,Narrow-barred Spanish Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,wahoos,Tunas And Mackerels,
2374296,Scomberomorus niphonius,Japanese Spanish Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,wahoos,Tunas And Mackerels,
2374368,Pempheris,,GENUS,Animalia,Chordata,,Perciformes,Pempheridae,Pempheris,,Sweepers,
2374521,Terapon jarbua,Tiger Perch,SPECIES,Animalia,Chordata,,Perciformes,Terapontidae,Terapon,tigerfishes,tigerperches,
2374663,Zanclus cornutus,Moorish Idol,SPECIES,Animalia,Chordata,,Perciformes,Zanclidae,Zanclus,,Moorish Idols,Zanclus canescens
2374822,Lethrinus,scavengers,GENUS,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,,Porgies,
2374840,Lethrinus obsoletus,Orange-striped Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus ramak
2374845,Lethrinus mahsena,Sky Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,
2374850,Lethrinus olivaceus,Longface Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,
2374857,Lethrinus miniatus,Trumpet Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinella miniatus
2374864,Lethrinus genivittatus,longspine emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus nematacanthus
2374870,Lethrinus microdon,Smalltooth Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus elongatus
2374876,Lethrinus variegatus,Slender Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,
2374879,Lethrinus xanthochilus,Yellowlip Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus xanthocheilus
2374885,Lethrinus nebulosus,Spangled Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,
2374898,Lethrinus harak,Thumbprint Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,
2374914,Lethrinus erythracanthus,Orange-spotted Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus kallopterus
2374956,Gnathodentex,,GENUS,Animalia,Chordata,,Perciformes,Lethrinidae,Gnathodentex,,Porgies,
2375258,Phtheirichthys lineatus,Slender Suckerfish,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Phtheirichthys,,remoras,
2375267,Remora remora,Common Remora,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Remora,,remoras,
2375300,Echeneis naucrates,Live Sharksucker,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Echeneis,slender remoras,remoras,
2379541,Naso,unicornfishes,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Naso,,Surgeonfishes,
2379619,Ctenochaetus,,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,
2379621,Ctenochaetus striatus,Striped Bristletooth,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,
2379643,Ctenochaetus hawaiiensis,Hawaiian Bristletooth,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,
2379647,Acanthurus,tangs,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Acanthurus,,Surgeonfishes,Teuthis
2379877,Zebrasoma veliferum,Sailfin Tang,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Zebrasoma,,Surgeonfishes,
2379864,Zebrasoma scopas,Blue-lined Tang,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Zebrasoma,,Surgeonfishes,
2379945,Nemipterus,besugos,GENUS,Animalia,Chordata,,Perciformes,Nemipteridae,Nemipterus,,False Snappers,
2381286,Kyphosus,rudderfishes,GENUS,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,,Pilotfishes,
2381309,Kyphosus cinerascens,Blue Sea Chub,SPECIES,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,rudderfishes,Pilotfishes,
2381337,Kyphosus vaigiensis,Brassy Chub,SPECIES,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,rudderfishes,Pilotfishes,
2381882,Psenes arafurensis,Banded Driftfish,SPECIES,Animalia,Chordata,,Perciformes,Nomeidae,Psenes,,Driftfishes,
2381932,Aphareus,,GENUS,Animalia,Chordata,,Perciformes,Lutjanidae,Aphareus,,Fusiliers,
2381939,Coryphaena hippurus,Common Dolphinfish,SPECIES,Animalia,Chordata,,Perciformes,Coryphaenidae,Coryphaena,,Dolphinfishes,
2381960,Coryphaena equiselis,Pompano Dolphinfish,SPECIES,Animalia,Chordata,,Perciformes,Coryphaenidae,Coryphaena,,Dolphinfishes,
2382617,Plectorhinchus,sweetlips,GENUS,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,,grunts,
2382701,Plectorhinchus chaetodonoides,Harlequin Sweetlips,SPECIES,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,sweetlips,grunts,
2382732,Plectorhinchus flavomaculatus,Lemonfish,SPECIES,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,sweetlips,grunts,
2383002,Choerodon graphicus,Graphic tuskfish,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Choerodon,tuskfishes,Wrasse,Choerodon transversalis
2382966,Choerodon anchorago,Anchor trunkfish,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Choerodon,tuskfishes,Wrasse,
2384141,Halichoeres hortulanus,Checkerboard wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Halichoeres,wrasses,,
2383279,Novaculichthys,,GENUS,Animalia,Chordata,,Perciformes,Labridae,Novaculichthys,,Wrasse,
2383280,Novaculichthys taeniourus,,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Novaculichthys,,Wrasse,
2383304,Cheilinus,,GENUS,Animalia,Chordata,,Perciformes,Labridae,Cheilinus,,Wrasse,
2383305,Cheilinus trilobatus,Tripletail Wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Cheilinus,,Wrasse,
2383309,Cheilinus fasciatus,redbreasted wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Cheilinus,,Wrasse,
2383313,Cheilinus undulatus,Humphead Wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Cheilinus,,Wrasse,
2383402,Stethojulis bandanensis,Red-spot wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Stethojulis,,Wrasse,
2383474,Anampses geographicus,Geographic Wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Anampses,,Wrasse,Anampses pterophthalmus
2384370,Oxycheilinus digramma,cheeklined wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Oxycheilinus,,Wrasse,
2384758,Lutjanus bohar,Two-spot Red Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384777,Lutjanus fulviflamma,Dory Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384799,Lutjanus adetii,Yellow-banded Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384813,Lutjanus rivulatus,Blubberlip Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384831,Lutjanus sanguineus,humphead snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384863,Lutjanus rufolineatus,Yellow-lined Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2384899,Lutjanus sebae,Red Emperor Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2385008,Lutjanus ehrenbergii,Blackspot Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,Lutjanus ehrenbergi
2385027,Lutjanus monostigma,One-spot Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2385035,Lutjanus gibbus,Humpback Red Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2385096,Lutjanus fulvus,Blacktail Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2385129,Lutjanus kasmira,Common Bluestripe Snapper,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Lutjanus,common snappers,Fusiliers,
2385226,Aprion virescens,Green Jobfish,SPECIES,Animalia,Chordata,,Perciformes,Lutjanidae,Aprion,,Fusiliers,
2386106,Eleotris fusca,dusky sleeper,SPECIES,Animalia,Chordata,,Perciformes,Eleotridae,Eleotris,spinycheek sleepers,Sleepers,
2387162,Sardinella,Sardinella,GENUS,Animalia,Chordata,,Clupeiformes,Clupeidae,Sardinella,,"Shads, Sardines, And Menhadens",
2388148,Epinephelus quoyanus,Longfin Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,
2388152,Epinephelus areolatus,Areolate Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,
2388193,Epinephelus merra,Honeycomb Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,
2388288,Epinephelus cyanopodus,Speckled Blue Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,Epinephelus hoedti
2388423,Epinephelus polyphekadion,Camouflage Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,Epinephelus microdon
2388585,Epinephelus tuamotuensis,Reticulate Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,
2388587,Epinephelus lanceolatus,Giant Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,groupers,Groupers,Oligorus gigas
2388808,Cephalopholis,,GENUS,Animalia,Chordata,,Perciformes,Serranidae,Cephalopholis,,Groupers,
2388884,Cephalopholis sexmaculata,Six-blotch Hind,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Cephalopholis,,Groupers,
2388891,Cephalopholis argus,Peacock Grouper,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Cephalopholis,,Groupers,
2388937,Cephalopholis urodeta,Darkfin Hind,SPECIES,Animalia,Chordata,,Perciformes,Serranidae,Cephalopholis,,Groupers,
2390168,Siganus,rabbitfishes,GENUS,Animalia,Chordata,,Perciformes,Siganidae,Siganus,,Rabbitfishes,
2390180,Siganus argenteus,Forktail Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,Siganus rostratus
2390191,Siganus fuscescens,Mottled Spinefoot,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390192,Siganus javus,Java Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390198,Siganus punctatus,Gold-spotted Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,Siganus chrysospilos
2390216,Siganus spinus,Scribbled Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390233,Siganus canaliculatus,White-spotted Spinefoot,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390251,Siganus vermiculatus,Vermiculated Spinefoot,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390277,Siganus puellus,Masked Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390286,Siganus guttatus,Golden Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390288,Siganus lineatus,Lined Rabbitfish,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
2390296,Siganus corallinus,Blue-spotted Spinefoot,SPECIES,Animalia,Chordata,,Perciformes,Siganidae,Siganus,rabbitfishes,Rabbitfishes,
