ID,name,name_eng,rank,kingdom,phylum,class,order,family,genus,genus_eng,family_eng,synonyms
10019437,Conus leopardus,leopard cone,SPECIES,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,cones,Cone Shell,
1045830,Phaleria,,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,,darkling beetles,
10674903,Pampusana beccarii,Western Bronze Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba beccarii
10687104,Curcuma tongii,,SPECIES,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,hidden-lily,Ginger Family,Curcuma tonga
10691906,Falcataria falcata,Moluccan albizia,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Falcataria,peacocksplume,Legume Family,Albizia falcata; Albizia falcataria; Albizia moluccana; Falcataria moluccana; Paraserianthes falcataria
10799245,Pampusana sanctaecrucis,Santa Cruz Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba sanctaecrucis
10847691,Dennstaedtia,,GENUS,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Dennstaedtia,,Bracken Family,
10854669,Chalcophaps stephani,Stephan's Emerald Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Chalcophaps,,Pigeons And Doves,
10891503,Widjajachloa producta,,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Widjajachloa,,Grass,Nastus productus
10891839,Pampusana stairi,Shy Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba stairi
10938771,Pinctada,,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Margaritidae,Pinctada,,,
10988361,Elaeocarpus sphaericus,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Elaeocarpus,,,
11015824,Heliotropium velutinum,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,heliotrope,,Argusia argentea; Messerschmidia argentea
11084201,Chloothamnus obtusus,,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloothamnus,,Grass,Nastus obtusus
11125227,Obsoletiformes lucinoides,,SPECIES,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Obsoletiformes,,Cockle,Lucinoidea
11149764,Pueraria novoguineensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,kudzu,Legume Family,
11374070,Isoptera,,GENUS,Plantae,Tracheophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Isoptera,,,
11377893,Pongamia glabra,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pongamia,,Legume Family,
11437556,Didymocheton aneityensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum aneityense
11527517,Latissistrombus sinuatus,,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Latissistrombus,,true conch,Strombus sinuatus
