ID,Name,Group,Classification,Alternative_Names,Note,Glottocode,Latitude,Longitude,Source,Icon,Map
manam,Manam,NNG,OC,,,mana1295,-4.07921,145.033,Lichtenberk1983;Bohm1975;Wedgwood1934,ce31a1c,B.2
medebur,Medebur,NNG,OC,,,mede1237,-4.49918,145.425,,ce31a1c,B.2
sepa,Sepa,NNG,OC,,,sepa1241,-4.27,144.97,,ce31a1c,B.2
wogeo,Wogeo,NNG,OC,Wogeo (Koil); Wogei,,woge1237,-3.20238,144.089,Hogbin1970;Exter2010;Hogbin1964b,ce31a1c,B.2
ali,Ali,NNG,OC,,,alii1241,-3.13,142.47,,se31a1c,B.2
sera,Sera,NNG,OC,,,sera1260,-2.99,141.95,,se31a1c,B.2
sissano,Sissano,NNG,OC,,,siss1243,-3.0197600000000002,142.04899999999998,,se31a1c,B.2
sissanoarop,Sissano (Arop),NNG,OC,Sissano-Arop,,arop1242,-3.07,142.12,,se31a1c,B.2
tumleo,Tumleo,NNG,OC,,,tuml1238,-3.14955,142.346,Schultze1911,se31a1c,B.2
ulausuain,Ulau-Suain,NNG,OC,Ulau; Ulau-S,,ulau1237,-3.32876,142.845,,se31a1c,B.2
auhelawa,’Auhelawa,PT,OC,'Auhelawa,,auhe1237,-10.10,151.00,,c1100ff,B.5
bohutu,Bohutu,PT,OC,Buhutu,,buhu1237,-10.51,150.18,,c1100ff,B.5
logea,Logea,PT,OC,,,loge1237,-10.61,150.73,,c1100ff,B.5
oyaoya,Oya’oya,PT,OC,Oyaoya; Oya'oya,,oyao1237,-10.54,150.66,,c1100ff,B.5
saliba,Saliba,PT,OC,Sariba; Suau (Saliba),"= Saliba, dialect of Suau",sali1295,-10.6148,150.727,Mosel1994,c1100ff,B.5
suau,Suau,PT,OC,Suau (Kwato); Daui; Kwato Suau; Suau (Daui),,suau1242,-10.6606,150.20999999999998,,c1100ff,B.5
tubetube,Tubetube,PT,OC,Bwanabwana,bwan1241,bwan1241,-10.6599,151.034,Seligman1910,c1100ff,B.5
wagawaga,Wagawaga,PT,OC,,,waga1268,-10.42,150.38,Seligman1910,c1100ff,B.5
suaubonalua,Suau (Bonalua),PT,OC,,,bona1252,-10.6606,150.20999999999998,,c1100ff,B.5
anuki,Anuki,PT,OC,,,anuk1239,-9.6692,149.82200000000003,,ce31a1c,B.5
gumawana,Gumawana,PT,OC,Gumasi,= Gumasi,guma1254,-9.28497,150.762,,ce31a1c,B.5
bunama,Bunama,PT,OC,,,buna1276,-10.08,151.07,Lithgow2007,de31a1c,B.5
dobu,Dobu,PT,OC,Dobuan,,dobu1241,-9.63239,150.82500000000002,LithgowandLithgow2007a;Dixon1928;Fortune1932;Arnold1931;Grant1953,de31a1c,B.5
duau,Duau,PT,OC,,,duau1237,-10.06,151.24,Thune1978,de31a1c,B.5
galea,Galea,PT,OC,Galeya,= Galeya,gale1257,-9.54,150.84,DigimRina1995,de31a1c,B.5
gilagila,Gilagila,PT,OC,,= dialect of Sewa Bay,sewa1251,-10.0277,150.95600000000002,,de31a1c,B.5
sewabay,Sewa Bay,PT,OC,,,sewa1251,-10.0277,150.95600000000002,,de31a1c,B.5
bwaidoga,Bwaidoga,PT,OC,,,bwai1243,-9.51158,150.297,JennessBallantyne1920,se31a1c,B.5
diodio,Diodio,PT,OC,,,diod1237,-9.39,150.17,,se31a1c,B.5
iamalele,Iamalele,PT,OC,Yamalele,,iama1237,-9.45,150.57,BeaumontandBeaumont2007,se31a1c,B.5
iduna,Iduna,PT,OC,,= dialect of Bwaidoga,idun1242,-9.34361,150.23999999999998,Huckettetal1992,se31a1c,B.5
kalauna,Kalauna,PT,OC,,= subdialect of Iduna,kala1387,-9.34,150.24,,se31a1c,B.5
kalokalo,Kalokalo,PT,OC,Koluwawa,dialect of Bwaidoga,kolu1245,-9.42742,150.46200000000002,,se31a1c,B.5
molima,Molima,PT,OC,,,moli1248,-9.57457,150.61399999999998,EngkvistandEngkvist1997;Chowning1958,se31a1c,B.5
kakabai,Kakabai,PT,OC,Igora,,kaka1267,-10.2976,150.02700000000002,,te31a1c,B.5
dawawa,Dawawa,PT,OC,,,dawa1242,-10.17,150.00,KnauberandKnauber1990,te31a1c,B.5
are,Are,PT,OC,Mukawa,,aree1239,-9.67147,149.999,Paisawaetal1975,fe31a1c,B.5
arifama,Arifama,PT,OC,,dialect of Arifama-Miniafia,arif1240,-9.15565,149.246,,fe31a1c,B.5
bartlebay,Bartle Bay,PT,OC,,= Dialect of Wedau,weda1241,-10.1246,150.172,,fe31a1c,B.5
boanaki,Boanaki,PT,OC,Boianaki; Ghayavi,,ghay1237,-10.01,149.84,,fe31a1c,B.5
doga,Doga,PT,OC,,,doga1238,-9.64,149.84,,fe31a1c,B.5
gapapaiwa,Gapapaiwa,PT,OC,Paiwa,= Paiwa,gapa1238,-9.73317,149.854,Mcguckin2002;McguckinandMcguckin1992,fe31a1c,B.5
kaninuwa,Kaninuwa,PT,OC,,,kani1281,-9.23,150.25,,fe31a1c,B.5
maisin,Maisin,PT,OC,,,mais1250,-9.50,149.24,,fe31a1c,B.5
minaveha,Minaveha,PT,OC,Kukuya,= Kukuya,mina1269,-9.59922,150.501,NenegemoandLovell1995;Lovell1994,fe31a1c,B.5
miniafia,Miniafia,PT,OC,,dialect of Arifama-Miniafia,mini1252,-9.03,149.12,Wakefield1975,fe31a1c,B.5
taupota,Taupota,PT,OC,,,taup1242,-10.23,150.37,,fe31a1c,B.5
tawala,Tawala,PT,OC,,,tawa1275,-10.3115,150.64399999999998,Ezard1997,fe31a1c,B.5
ubir,Ubir,PT,OC,,,ubir1237,-9.59044,149.39600000000002,,fe31a1c,B.5
wedau,Wedau,PT,OC,,,weda1241,-10.1246,150.172,Jennings1956,fe31a1c,B.5
misima,Misima,PT,OC,,,misi1243,-10.6821,152.696,Callister2005,c8a33fd,B.5
budibud,Budibud,PT,OC,,,budi1249,-9.30,153.69,,d8a33fd,B.5
gawa,Gawa,PT,OC,,dialect of Muyuw,loug1237,-8.97,151.98,,d8a33fd,B.5
kilivila,Kilivila,PT,OC,Kiriwina; Kiriwinan,= Kiriwina,kili1267,-8.72574,151.072,Lawton1993;Lawton2021;Senft1995;Senft1986;Malinowski1929;Malinowski1920,d8a33fd,B.5
muyuw,Muyuw,PT,OC,,,muyu1244,-9.195,152.731,LithgowandLithgow2007b;LithgowandLithgow1974,d8a33fd,B.5
nimoa,Nimoa,PT,OC,Nimoa (Rifao),,nimo1246,-11.2297,153.15800000000002,,cff6f00,B.5
sabari,Nimoa (Sabari),PT,OC,,,saba1264,-11.23,153.16,,cff6f00,B.5
sudest,Sudest,PT,OC,Sudest (Varavarae); Pamela,,sude1239,-11.5229,153.48800000000003,AndersonandRoss2002;Anderson2007;Lepowsky1981,cff6f00,B.5
ouma,Ouma,PT,OC,,,ouma1237,-10.23,149.10,,cffff00,B.5
magori,Magori,PT,OC,,,mago1248,-10.2321,149.26,,cffff00,B.5
yoba,Yoba,PT,OC,,,yoba1237,-10.22,149.28,,cffff00,B.5
sinaugoro,Sinaugoro,PT,OC,Sinagauro,,sina1266,-9.79791,147.86100000000002,Tauberschmidt1999,dffff00,B.5
balawaia,Balawaia,PT,OC,Sinaugoro (Balawaia),= dialect of Sinaugoro,bala1307,-9.94,147.61,Tauberschmidt1995;Kolia1975;Tauberschmidt2007,dffff00,B.5
saroa,Saroa,PT,OC,,,saro1238,-9.80,147.86,,dffff00,B.5
taboro,Taboro,PT,OC,Sinaugoro (Taboro),= dialect of Sinaugoro,tabo1240,-9.79791,147.861,,dffff00,B.5
hula,Hula,PT,OC,Keapara; Keapara Hula,= dialect of Keapara,hula1239,-10.10,147.73,Lean1991;Short1935,dffff00,B.5
kalo,Kalo,PT,OC,Keapara (Kalo),= dialect of Keapara,kalo1259,-9.99427,147.70499999999998,Kingetal2014,dffff00,B.5
aroma,Aroma,PT,OC,,= dialect of Keapara,arom1238,-10.1342,147.95,,dffff00,B.5
maopa,Maopa,PT,OC,,= dialect of Keapara,maop1237,-10.1342,147.95,Kingetal2014,dffff00,B.5
motu,Motu,PT,OC,,,motu1246,-9.46,147.15,Lean1991;ListerTurnerandClark1954b;ListerTurnerandClark1954a,sffff00,B.5
wmotu,Western Motu,PT,OC,"W Motu; Motu, W",,west2526,-9.67492,147.424,Groves1958;Groves1963,sffff00,B.5
gabadi,Gabadi,PT,OC,,,abad1241,-9.03389,146.99200000000002,Strong1912,sffff00,B.5
doura,Doura,PT,OC,,,tour1243,-9.10,146.99,,sffff00,B.5
lala,Lala,PT,OC,'Ala'ala; Nara; Pokau; ’Ala’ala,"= Nara, 'Ala'ala, Pokau",lala1268,-8.93195,146.74899999999997,Symonds1989,sffff00,B.5
kuni,Kuni,PT,OC,,,kuni1263,-8.66368,146.874,,sffff00,B.5
mekeo,Mekeo,PT,OC,Mekeo (East); E Mekeo; E. Mekeo,,meke1243,-8.49,146.67,,sffff00,B.5
roro,Roro,PT,OC,,,roro1238,-8.82,146.54,MonsellDavis1981,sffff00,B.5
wmekeo,West Mekeo,PT,OC,W Mekeo,,west2528,-8.43,146.54,,sffff00,B.5
nmekeo,North Mekeo,PT,OC,"N Mekeo; Mekeo, N",,nort2850,-8.24,146.59,Mosko1985,sffff00,B.5
nwmekeo,Northwest Mekeo,PT,OC,NW Mekeo,,nort2851,-8.24,146.59,Mosko1985,sffff00,B.5
poe,Poe,MM,OC,,,,,,,,
balivitu,Bali-Vitu,MM,OC,,,bali1280,-4.879164320999905,149.18043053500003,,cff6f00,B.6
bali,Bali,MM,OC,Uneapa,,unea1237,-4.89383,149.141,,cff6f00,B.6
vitu,Vitu,MM,OC,Muduapa; Bali Vitu,,mudu1242,-4.69751,149.489,Blythe1978;vandenBergandBachet2006,cff6f00,B.6
bola,Bola,MM,OC,,,bola1250,-5.33,150.01,vandenBergandWiebe2019;Goodenough1997,cffff00,B.6
bulu,Bulu,MM,OC,,,bulu1253,-5.06,150.10,Goodenough1997,cffff00,B.6
harua,Harua,MM,OC,Bola (Harua); Bola-Harua; Bola Harua,= dialect of Bola,haru1243,-5.55792,150.095,,cffff00,B.6
nakanai,Nakanai,MM,OC,Lakalai,= Lakalai,naka1262,-5.50,150.78,Johnston1980;ChowningandGoodenough2016,c666666,B.6
bileki,Bileki,MM,OC,Nakanai (Bileki),,bile1245,-5.60,150.89,,c666666,B.6
maututu,Maututu,MM,OC,Nakanai (Maututu); Maututu Nakanai,,maut1237,-5.60, 150.89,,c666666,B.6
meramera,Meramera,MM,OC,,,mera1242,-4.97468,151.52800000000002,Goodenough1997,c666666,B.6
karaeast,East Kara,MM,OC,Kara (E); E Kara; Kara (East),,east2453,-2.82,151.11,Dryer2012;Dryer2013,cfd1d21,B.6
kara,Kara,MM,OC,,,kara1486,-2.82,151.11,,cfd1d21,B.6
lavongai,Lavongai,MM,OC,Tungak; Tungag,,tung1290,-2.52188,150.198,FastandFast1989;Fast1990,cfd1d21,B.6
nalik,Nalik,MM,OC,,,nali1244,-2.94411,151.33200000000002,Volker2020;Volker1998;Chinnery1929,cfd1d21,B.6
tiang,Tiang,MM,OC,,,tian1237,-2.95505,150.935,,cfd1d21,B.6
tigak,Tigak,MM,OC,,,tiga1245,-2.70951,150.893,Beaumont1979,cfd1d21,B.6
karawest,West Kara,MM,OC,"W. Kara; Kara (W); W Kara; Kara, W; Kara (West)",,west2524,-2.91,151.16,Kuchler2002,cfd1d21,B.6
lihir,Lihir,MM,OC,,,lihi1237,-3.18895,152.606,,cf1b5cf,B.6
notsi,Notsi,MM,OC,Nochi,,nots1237,-3.0557,151.661,Powdermaker1933;Ericksonanderickson1992,cf1b5cf,B.6
notsiarchaic,Notsi (archaic),MM,OC,,,nots1237,-3.0557,151.661,,cf1b5cf,B.6
tabar,Tabar,MM,OC,,,mand1440,-2.7828,151.95600000000002,HongandHong2003,cf1b5cf,B.6
barok,Barok,MM,OC,"Barok, Karu",,baro1253,-3.47672,152.19299999999998,Chinnery1929;Du2010,c913d80,B.6
usenbarok,Usen Barok,MM,OC,"Barok, Usen",,usen1237,-3.47672,152.19299999999998,Wagner1986,c913d80,B.6
lamasong,Lamasong,MM,OC,Lamusong; Lavatbura; North Madak,,lamu1255,-3.21903,151.728,Clay1977,c913d80,B.6
madak,Madak,MM,OC,Mandak,,mada1285,-3.34342,151.967,,c913d80,B.6
tomoip,Tomoip,MM,OC,,,tomo1244,-5.31,151.83,,cffffff,B.6
tangga,Tangga,MM,OC,Tanga,= Tanga,tang1348,-4.08824,153.611,Maurer1966;Bell1977,cffffff,B.6
konomala,Konomala,MM,OC,,,kono1269,-4.16184,152.87,,cffffff,B.6
sursurunga,Sursurunga,MM,OC,Sursuranga; Susurunga,,surs1246,-3.99078,152.768,Samsonetal2018;Hutchisson1975,cffffff,B.6
siar,Siar,MM,OC,Siar-Lak,,siar1238,-4.62059,152.89200000000002,Frowein2011;Rowe2005,cffffff,B.6
patpatar,Patpatar,MM,OC,,,patp1243,-3.74711,152.493,Peekel1908;Condra1989,ced62ff,B.6
minigir,Minigir,MM,OC,,,mini1251,-4.31803,152.005,VanDerMark2007,ced62ff,B.6
tolai,Tolai,MM,OC,Kuanua; Raluana; Tuna,"= Kuanua, Raluana, Tuna",kuan1248,-4.30986,152.11399999999998,Paraide2008;Rickard1964;Mosel1984;Trevitt1940;LanyonOrgill1962,ced62ff,B.6
tolainodup,Tolai (Nodup),MM,OC,Tolai–Nodup,,nodu1236,-4.31,152.11,,ced62ff,B.6
tolaimatupit,Tolai (Matupit),MM,OC,,,matu1260,-4.31,152.11,Fingleton1986;Simet1991,ced62ff,B.6
label,Label,MM,OC,,,labe1239,-4.46971,152.678,Peekel1930,cd46d60,B.6
bilur,Bilur,MM,OC,,,bilu1244,-4.39732,152.334,,cd46d60,B.6
kandas,Kandas,MM,OC,,,kand1301,-4.3652,152.781,,c6100fd,B.6
ramoaaina,Ramoaaina,MM,OC,Duke of York; Ramoaina,= Duke of York,ramo1244,-4.17306,152.45100000000002,DaviesandFritzell1992,c6100fd,B.6
hahon,Hahon,MM,OC,Kurtatchi,,haho1237,-5.59031,154.80100000000002,Blackwood1935,c1100ff,B.7
halia,Halia,MM,OC,Haku; Hanahan; Halia (Haku); Halia-Haku; Halia (Hanahan),"= Hanahan, Halia (Haku, Halia",hali1244,-5.26603,154.662,Allen1987;AllenandAllen2006,c1100ff,B.7
nehan,Nehan,MM,OC,,= Nissan,neha1247,-4.56875,154.2,Nachman1978;Glennon2014;GlennonandGlennon2005;GlennonandGlennon2006,c1100ff,B.7
petats,Petats,MM,OC,,,peta1245,-5.19,154.51,Blackwood1935,c1100ff,B.7
selau,Selau,MM,OC,Halia (Selau),,sela1258,-5.45,154.72,,c1100ff,B.7
solos,Solos,MM,OC,,,solo1257,-5.30,154.59,,c1100ff,B.7
taiof,Taiof,MM,OC,,,taio1240,-5.52,154.65,,c1100ff,B.7
teop,Teop,MM,OC,,,teop1238,-5.67474,154.971,MoselandThiesen2007;Schwartzetal2007,c1100ff,B.7
tinputz,Tinputz,MM,OC,,,tinp1237,-5.58358,154.972,,c1100ff,B.7
papapana,Papapana,MM,OC,,,papa1265,-5.92,155.29,SmithDennis2020,cff1d21,B.7
uruava,Uruava,MM,OC,,,urua1242,-6.23,155.57,Palmer2007b,cff1d21,B.7
banoni,Banoni,MM,OC,Bannoni,,bann1247,-6.23061,155.12800000000001,Lincoln2005;Lincoln1976b,cf1b5cf,B.7
piva,Piva,MM,OC,Lawunuia,,lawu1237,-6.22,155.02,Lincoln1976a,cf1b5cf,B.7
monoalu,Mono-Alu,MM,OC,Mon-Alu; Mono Alu,,mono1273,-7.05102,155.76,,c19d300,B.7
mono,Mono,MM,OC,,Dialect of Mono-Alu,mono1274,-7.05102,155.76,,c19d300,B.7
alu,Alu,MM,OC,,Dialect of Mono-Alu,aluu1243,-7.05,155.76,,c19d300,B.7
torau,Torau,MM,OC,,,tora1259,-6.19922,155.496,,c19d300,B.7
vaghua,Vaghua,MM,OC,,,vagh1249,-6.68712,156.542,,c6100fd,B.7
varisi,Varisi,MM,OC,Varise; Varese,,vari1239,-6.83443,156.655,Scheffler1958;Scheffler1965,c6100fd,B.7
avaso,Avasö,MM,OC,Avaso,,avas1237,-7.38,157.34,,s6100fd,B.7
babatana,Babatana,MM,OC,,,baba1268,-7.04,156.76,Moneynd;McClatchey2007,s6100fd,B.7
katazi,Katazi,MM,OC,,Dialect of Babatana,kata1267,-7.22281,157.14899999999997,,s6100fd,B.7
ririo,Ririo,MM,OC,,,riri1237,-6.88927,156.92000000000002,,s6100fd,B.7
sisiqa,Sisiqa,MM,OC,Sengga; Sisingga,= Sengga; = Sisingga,sisi1250,-7.23,157.05,Ross2002g,s6100fd,B.7
hoava,Hoava,MM,OC,,,hoav1238,-8.19679,157.595,Davis2003,cffff00,B.7
kubukota,Kubokota,MM,OC,Kubukota; Ghanongga,,kubo1244,-8.02,156.55,,cffff00,B.7
kusaghe,Kusaghe,MM,OC,,,kusa1253,-8.04,157.46,,cffff00,B.7
lungga,Lungga,MM,OC,,,lung1249,-8.17,156.57,,cffff00,B.7
marovo,Marovo,MM,OC,,,maro1244,-8.38,157.75,Capell1943b;Hviding1995,cffff00,B.7
bareke,Mbareke,MM,OC,Bareke,Dialect of Vangunu,bare1273,-8.54,158.10,,cffff00,B.7
nduke,Nduke,MM,OC,Duke,,duke1237,-7.97768,157.064,,cffff00,B.7
roviana,Roviana,MM,OC,,,rovi1238,-8.20493,157.40800000000002,Capell1943b;Corston1996;Waterhouse1949,cffff00,B.7
simbo,Simbo,MM,OC,,,simb1256,-8.26947,156.541,,cffff00,B.7
vangunu,Vangunu,MM,OC,,,vang1243,-8.67,158.00,,cffff00,B.7
ughele,Ughele,MM,OC,,,ughe1237,-8.46,157.34,Frostad2012,cffff00,B.7
blablanga,Blablanga,MM,OC,Ghove,,blab1237,-8.15,159.42,,c00fffb,B.7
kilokaka,Kilokaka,MM,OC,,,zaza1245,-8.19,159.25,,c00fffb,B.7
gao,Gao,MM,OC,,,gaoo1237,-8.35,159.79,,c00fffb,B.7
kia,Kia,MM,OC,Zabana,,zaba1237,-7.65,158.61,,c00fffb,B.7
kokota,Kokota,MM,OC,,,koko1269,-8.16,159.19,Palmer2007a;Palmer2009,c00fffb,B.7
laghu,Laghu,MM,OC,Samasodu; Laghua,,lagh1246,-8.00509,158.961,,c00fffb,B.7
maringe,Maringe,MM,OC,Cheke Holo; Hograno,"= Cheke Holo, Hograno",chek1238,-8.23,159.65,Boswelletal2009;Whiteetal1988;Boswelletal2018,c00fffb,B.7
ngl,"New Georgia language (unspecified) (Haddon 1937: 104, 106)",MM,OC,,,,,,,cffff00,B.7
bugotu,Bugotu,SES,OC,,,bugh1239,-8.47948,159.80200000000002,Bogesi1948;Ivens1940;Ivens1933,cff1d21,B.8
gela,Gela,SES,OC,Nggela,,gela1263,-9.04587,160.186,Hogbin1938a;Codrington1891;Fox1955,cff1d21,B.8
westguadalcanal,West Guadalcanal,SES,OC,"W. Guad.; W Guad.; W Guadalcanal; W G’canal; W. Guadalcanal; Guadalcanal, W",,ghar1239,-9.4791,159.917,Hogbin1964a,cf1b5cf,B.8
gae,Gae,SES,OC,,dialect of West Guadalcanal,gaee1238,-9.48,159.92,,cf1b5cf,B.8
ghari,Ghari,SES,OC,,dialect of West Guadalcanal,ghar1239,-9.4791,159.917,,cf1b5cf,B.8
lengo,Lengo,SES,OC,Lenggo,,leng1259,-9.56425,160.42000000000002,HillandUnger2018;Hogbin1964a;Unger2008,cf1b5cf,B.8
malango,Malango,SES,OC,,,mala1484,-9.61383,160.118,,cf1b5cf,B.8
birao,Birao,SES,OC,Birau,,bira1254,-9.74,160.52,Hogbin1937,c913d80,B.8
talise,Talise,SES,OC,,,tali1259,-9.76764,160.231,,c913d80,B.8
malagheti,Malagheti,SES,OC,,Dialect of Talise,mala1483,-9.76764,160.231,,c913d80,B.8
tolo,Tolo,SES,OC,,dialect of Talise,tolo1254,-9.88,160.42,Crowley1986,c913d80,B.8
longgu,Longgu,SES,OC,,,long1395,-9.75258,160.66299999999998,Hogbin1964a;Hill1992,c19d300,B.8
nmalaitan,North and Central Malaita,SES,OC,,,nort2833,-8.485078200216126,160.77390093045975,,ca9c035,B.8
baegu,Baegu,SES,OC,,dialect of Lau,baeg1237,-8.49014,160.771,Ross1973,ca9c035,B.8
baelelea,Baelelea,SES,OC,,= dialect of Lau,bael1237,-8.42,160.72,,ca9c035,B.8
fataleka,Fataleka,SES,OC,,,fata1245,-8.59,160.86,,ca9c035,B.8
kwai,Kwai,SES,OC,,,wala1266,-8.69,160.94,,ca9c035,B.8
kwaio,Kwaio,SES,OC,,,kwai1243,-8.93744,160.965,Keesing1985;Keesing1975,ca9c035,B.8
kwaraae,Kwara’ae,SES,OC,Kwara'ae,,kwar1239,-8.76,160.80,Deck1934,ca9c035,B.8
langalanga,Langalanga,SES,OC,Wala,,wala1266,-8.82,160.74,Hogbin1939,ca9c035,B.8
lau,Lau,SES,OC,,,lauu1247,-8.51018,160.872,Fox1974;Ivens1929b,c1100ff,B.8
toabaita,To’aba’ita,SES,OC,To'aba'ita; To’amba’ita; Toqabaqita,,toab1237,-8.39233,160.61899999999997,Lichtenberk2008;Lichtenberk2008b,ca9c035,B.8
areare,’Are’are,SES,OC,'Are'are; ‘Are’are; ’Are’Are; ‘Are‘are; 'Are’are,,area1240,-9.20699,161.15800000000002,Geerts1970,c0e7400,B.8
dorio,Dori’o,SES,OC,Dori'o; Dorio,,dori1246,-9.12,160.90,,c0e7400,B.8
marausound,Marau Sound,SES,OC,,dialect of ’Are’are,mara1398,-9.78,160.79,,c0e7400,B.8
oroha,Oroha,SES,OC,,,oroh1237,-9.74,161.51,,c0e7400,B.8
saa,Sa’a,SES,OC,Sa'a; Sa’s,,saaa1240,-9.60258,161.467,Ivens1927;Ivens1918;Ivens1929,c1100ff,B.8
ukinimasi,Uki ni Masi,SES,OC,,dialect of Sa’a,ukin1237,-10.25,161.73,,c1100ff,B.8
ulawa,Ulawa,SES,OC,,,ulaw1237,-9.79,161.97,Ivens1927;Ivens1918,c1100ff,B.8
arosi,Arosi,SES,OC,"E. Arosi; E Arosi; Arosi (East); Arosi, E",,aros1241,-10.2441,161.43200000000002,Fox1978;Fox1924;Capell1971;Fox1931,c4dbad8,B.8
arosiwest,Arosi (West),SES,OC,W Arosi,,aros1241,-10.2441,161.43200000000002,,c4dbad8,B.8
bauro,Bauro,SES,OC,Bauro (West),,baur1252,-10.5826,161.863,Fox1924,c4dbad8,B.8
fagani,Fagani,SES,OC,Faghani,,faga1239,-10.4479,161.662,,c4dbad8,B.8
kahua,Kahua,SES,OC,Kahlua,,kahu1241,-10.70,162.19,,c4dbad8,B.8
owa,Owa,SES,OC,,,owaa1237,-10.83,162.30,Mellow2014,c4dbad8,B.8
santaana,Santa Ana,SES,OC,,dialect of Owa,sant1414,-10.83,162.30,,c4dbad8,B.8
aiwoo,Äiwoo,TM,OC,Aiwoo; Reefs,,ayiw1239,-10.30,166.32,,c8a33fd,B.8
engdewo,Engdewo,TM,OC,Nagu; Nanggu,,nang1262,-10.74,165.89,Vaa2013,cff6f00,B.8
natugu,Natügu,TM,OC,Lödäi; Nedö,"= Malo, Lodai, Nedo",natu1246,-10.68,165.84,,cff6f00,B.8
asuboa,Asuboa,TM,OC,Asumboa,,asum1237,-11.30,166.50,,cffff00,B.8
nebao,Nebao,TM,OC,Aba; Nembao,,amba1266,-11.30,166.50,,cffff00,B.8
tanibili,Tanibili,TM,OC,Tanabili; Tanimbili,,tani1255,-11.30,166.51,,cffff00,B.8
burna,Buma,TM,OC,Teanu,= Teanu,tean1237,-11.68,166.87,Tryon2002;Francois2021,c00fffb,B.8
tanema,Tanema,TM,OC,Tanima; Tetau,"= Tanima, Tetau",tane1237,-11.68,166.97,,c00fffb,B.8
vano,Vano,TM,OC,Vana; Lovono,= Vana,vano1237,-11.61,166.80,,c00fffb,B.8
hiw,Hiw,NCV,OC,,,hiww1237,-13.126367,166.584857,,ced62ff,B.9
loh,Loh,NCV,OC,Lo-Toga; Lo Toga; Toga; Loh-Toga,,loto1240,-13.33,166.63,Mondragon2014;Durrad1940,ced62ff,B.9
lehali,Lehali,NCV,OC,,,leha1243,-13.50,167.33,,te31a1c,B.9
loyop,Löyöp,NCV,OC,Loyop; Lehalurup,,leha1244,-13.54,167.34,,te31a1c,B.9
mwotlap,Mwotlap,NCV,OC,Motlav,,motl1237,-13.65,167.65,Francois2023;Francois2003b,te31a1c,B.9
volow,Volow,NCV,OC,,= dialect of Mwotlap,volo1238,-13.66,167.71,,te31a1c,B.9
lemerig,Lemerig,NCV,OC,Sasar,,leme1238,-13.74,167.42,,se31a1c,B.9
veraa,Vera’a,NCV,OC,Vera'a; Veraa; Vatrata,,vera1241,-13.89,167.43,Schnell2011,se31a1c,B.9
mwesen,Mwesen,NCV,OC,Mosina; Vurës (Mosina),= Mosina,mwes1235,-13.91,167.45,,de31a1c,B.9
vures,Vurës,NCV,OC,Vures,,vure1239,-13.91,167.45,Malau2016,de31a1c,B.9
mota,Mota,NCV,OC,,,mota1237,-13.835361,167.690924,Vienne1984;CodringtonandPalmer1896;Codrington1891,de31a1c,B.9
dorig,Dorig,NCV,OC,Wetamut,,weta1242,-14.37,167.55,,ce31a1c,B.9
lakon,Lakon,NCV,OC,Lakona,,lako1245,-14.30,167.43,,ce31a1c,B.9
nume,Nume,NCV,OC,Tarasag,,nume1241,-14.23,167.59,,ce31a1c,B.9
olrat,Olrat,NCV,OC,,,olra1234,-14.31,167.43,,ce31a1c,B.9
sgaua,South Gaua,NCV,OC,S Gaua,= Koro,koro1318,-14.29,167.47,,ce31a1c,B.9
merlav,Merlav,NCV,OC,Mwerlap,,merl1237,-14.45,168.05,Durand2013,ce31a1c,B.9
tolomako,Tolomako,NCV,OC,Matantas; Marino,,tolo1255,-15.16,166.77,,c4996c6,B.9
nokuku,Nokuku,NCV,OC,,,noku1237,-14.90,166.60,,c4996c6,B.9
piamatsina,Piamatsina,NCV,OC,,,piam1242,-15.00,166.74,,c4996c6,B.9
tasmate,Tasmate,NCV,OC,Meri; Oa,,tasm1246,-15.08,166.66,,c4996c6,B.9
valpei,Valpei,NCV,OC,,,valp1237,-14.71,166.61,,c4996c6,B.9
vunapu,Vunapu,NCV,OC,,,vuna1239,-14.85,166.69,,c4996c6,B.9
wusi,Wusi,NCV,OC,Kula,,wusi1237,-15.2786,166.696,,c00fffb,B.9
wusinokovula,Wusi (Nokovula),NCV,OC,,,wusi1237,-15.2786,166.696,,c00fffb,B.9
merei,Merei,NCV,OC,Lametin; Tiale,,mere1242,-15.28,166.91,Chung1998,c00fffb,B.9
akei,Akei,NCV,OC,Tasiriki,,akei1237,-15.6377,166.767,Guiart1958,c1100ff,B.9
kiai,Kiai,NCV,OC,Kiai (Tazia); Vara Kiai; Fortsenal,,fort1240,-15.4484,166.931,,c1100ff,B.9
tangoa,Tangoa,NCV,OC,,,tang1347,-15.5643,166.95800000000003,,c1100ff,B.9
morouas,Morouas,NCV,OC,Ande,,moro1286,-15.35,166.89,,cb5fcb5,B.9
narango,Narango,NCV,OC,Farsaf; Nambel,,nara1263,-15.53,167.05,,cb5fcb5,B.9
tambotalo,Tambotalo,NCV,OC,Biliru,,tamb1253,-15.50,167.14,,c0e7400,B.9
sakao,Sakao,NCV,OC,Sara; Sak; Nkep; Hog Harbour,,port1296,-15.08,167.05,Guy1974;Touati2014,c0e7400,B.9
sharkbay,Shark Bay,NCV,OC,Ngen,,lore1244,-15.33,167.17,,c0e7400,B.9
aore,Aore,NCV,OC,,,aore1237,-15.58,167.17,,c19d300,B.9
araki,Araki,NCV,OC,,,arak1252,-15.63,166.95,Francois2002,c19d300,B.9
