ID,Name,Group,Classification,Alternative_Names,Note,Glottocode,Latitude,Longitude,Source,Icon,Map
earlyoceanic,Early Oceanic,,,,,,,,,,
poc,POc,,,Proto Oceanic,,,,,,,
pead,PEAd,,,Proto Eastern Admiralties,,,,,,,
pwad,PWAd,,,Proto Western Admiralties,,,,,,,
padm,PAdm,,,Proto Admiralty,,,,,,,
pwoc,PWOc,,,Proto Western Oceanic,hypothetical protolanguage (see vol6 chapter 1),,,,,,
pnng,PNNG,,,Proto North New Guinea,,,,,,,
pngoc,PNGOc,,,Proto New Guinea Oceanic,PWOc without reflexes from MM,,,,,,
ppt,PPT,,,Proto Papuan Tip,,,,,,,
pmm,PMM,,,Proto Meso-Melanesian,,,,,,,
protonorthwestsolomonic,Proto Northwest Solomonic,,,,,,,,,,
protonorthbougainville,Proto North Bougainville,,,,,,,,,,
pses,PSES,,,Proto Southeast Solomonic,,,,,,,
pncv,PNCV,,,Proto North-Central Vanuatu,,,,,,,
pncal,PNCal,,,Proto New Caledonia,,,,,,,
pgmic,PGMic,,,Proto Greater Micronesian,,,,,,,
pmic,PMic,,,Proto Micronesian,,,,,,,
protocentralmicronesian,Proto Central Micronesian,,,,,,,,,,
pwmic,PWMic,,,Proto Western Micronesian,,,,,,,
protochuukicponapeic,Proto Chuukic-Ponapeic,,,,,,,,,,
pchk,PChk,,,Proto Chuukic,,,,,,,
pcp,PCP,,,Proto Central Pacific,,,,,,,
ppn,PPn,,,Proto Polynesian,,,,,,,
pnpn,PNPn,,,Proto Nuclear Polynesian,,,,,,,
pepn,PEPn,,,Proto Eastern Polynesian,,,,,,,
pepnnorthernoutlier,PEPn-Northern Outlier,,,Proto Eastern Polynesian-Northern Outlier,,,,,,,
psv,PSV,,,Proto South Vanuatu,,,,,,,
psoc,PSOc,,,Proto Southern Oceanic,,,,,,,
protocentralvanuatu,Proto Central Vanuatu,,,,,,,,,,
pfij,PFij,,,Proto Fijian,,,,,,,
protoefijian,Proto E Fijian,,,Proto Eastern Fijian,,,,,,,
protohuongulf,Proto Huon Gulf,,,,,,,,,,
prototongic,Proto Tongic,,,,,,,,,,
protosudestnimoa,Proto Sudest-Nimoa,,,,,,,,,,
prototorresbanks,Proto Torres-Banks,,,,,,,,,,
protomarkham,Proto Markham,,,,,,,,,,
protobuang,Proto Buang,,,,,,,,,,
protobwaidoga,Proto Bwaidoga,,,,,,,,,,
protomengen,Proto Mengen,,,,,,,,,,
protonorthnewcaledonia,Proto North New Caledonia,,,,,,,,,,
protoguadalcanalgelic,Proto Guadalcanal-Gelic,,,,,,,,,,
prototanna,Proto Tanna,,,,,,,,,,
protokilivila,Proto Kilivila,,,,,,,,,,
protoefate,Proto Efate,,,,,,,,,,
protonmalakula,Proto N Malakula,,,Proto North Malakula,,,,,,,
protocwmalakula,Proto CW Malakula,,,Proto Central/Western Malakula,,,,,,,
protonorthmainlanddentrecasteaux,Proto North Mainland/D’Entrecasteaux,,,,,,,,,,
protomalaitamakira,Proto Malaita-Makira,,,,,,,,,,
pan,PAn,,,Proto Austronesian,,,,,,,
panpmp,PAn/PMP,,,Proto Austronesian/Malayo-Polynesian,,,,,,,
pmp,PMP,,,Proto Malayo-Polynesian,,,,,,,
pwmp,PWMP,,,Proto Western Malaya-Polynesian,,,,,,,
pcemp,PCEMP,,,Proto Central/Eastern Malayo-Polynesian,,,,,,,
pcmp,PCMP,,,Proto Central Malayo-Polynesian,,,,,,,
pemp,PEMP,,,Proto Eastern Malayo-Polynesian,,,,,,,
pshwng,PSHWNG,,,Proto South Halmahera/West New Guinea,,,,,,,
protocenderawasihbay,Proto Cenderawasih Bay,,,,,,,,,,
pss,PSS,,,Proto Solomonic,all cognates are from either Northwest or Southeast Solomonic languages,,,,,,
proc,PROc,,,Proto Remote Oceanic,"hypothetical subgroup comprising Southern Oceanic, Micronesian and Central Pacific",,,,,,
peoc,PEOc,,,Proto Eastern Oceanic,hypothetical subgroup comprising SE Solomonic and Remote Oceanic,,,,,,
protocentralpapuan,Proto Central Papuan,,,,"Languages from PT, MM and NCV",,,,,,
pcepn,PCEPn,,,Proto Central Eastern Polynesian,"Hawaiian, Maori, Tuamotuan",,,,,,
pcpppn,PCP/PPn,,,Proto Central Pacific/Polynesian,,,,,,,
protoerakortafea,Proto Erakor-Tafea,,,,the immediate putative ancestor of S Efate and Proto Southern Vanuatu,,,,,,
protosouthmelanesian,Proto South Melanesian,,,,the putative ancestor of the Southern Vanuatu and New Caledonian languages,,,,,,
prototahitic,Proto Tahitic,,,,,,,,,,
protohotebuang,Proto Hote-Buang,,,,,,,,,,
protokimbe,Proto Kimbe,,,,,,,,,,
protosamoic,Proto Samoic,,,,,,,,,,
protosefatesv,Proto S Efate/SV,,,Proto South Efate/Southern Vanuatu,,,,,,,
protosolomonsoutlier,Proto Solomons Outlier,,,,,,,,,,
protowillaumez,Proto Willaumez,,,,,,,,,,
protofarnorthnewcaledonia,Proto Far North New Caledonia,,,,,,,,,,
tae,Tae’,CMP,,,,taee1237,-2.58,120.14,,,
