Grapheme	IPA	Frequence	Codepoints
a	a	39091	U+0061
u	u	18805	U+0075
i	i	18185	U+0069
-	NULL	13698	U+002d
o	o	12994	U+006f
t	t	10285	U+0074
l	l	10150	U+006c
n	n	9008	U+006e
e	e	8938	U+0065
k	k	8776	U+006b
m	m	8319	U+006d
r	r	7589	U+0072
s	s	5624	U+0073
p	p	5057	U+0070
v	v	3984	U+0076
ŋ	ŋ	3932	U+014b
b	b	3366	U+0062
h	h	3167	U+0068
f	f	2379	U+0066
w	w	2352	U+0077
ʔ	ʔ	2040	U+0294
d	d	1841	U+0064
g	g	1694	U+0067
_	_	1597	U+005f
ā	ā	1193	U+0101
y	y	1105	U+0079
ɣ	ɣ	1064	U+0263
q	q	859	U+0071
mʷ	mʷ	668	U+006d U+02b7
ə	ə	624	U+0259
R	ʀ	531	U+0052
pʷ	pʷ	531	U+0070 U+02b7
c	c	523	U+0063
ū	ū	465	U+016b
ō	ō	372	U+014d
j	j	358	U+006a
ð	ð	334	U+00f0
bʷ	bʷ	315	U+0062 U+02b7
x	x	301	U+0078
ɔ	ɔ	285	U+0254
ñ	ɲ	235	U+00f1
z	z	233	U+007a
ɛ	ɛ	213	U+025b
ī	ī	209	U+012b
kʷ	kʷ	190	U+006b U+02b7
ɨ	ɨ	188	U+0268
ē	ē	166	U+0113
L	<?>	144	U+004c
N	<?>	128	U+004e
æ	æ	118	U+00e6
M	<?>	117	U+004d
ɾ	ɾ	91	U+027e
θ	θ	67	U+03b8
ʉ	ʉ	62	U+0289
ṛ	ṛ	56	U+1e5b
S	s	55	U+0053
ʊ	ʊ	54	U+028a
ɪ	ɪ	53	U+026a
ẓ	ẓ	51	U+1e93
c̣	c̣	51	U+0063 U+0323
ṣ	ṣ	48	U+1e63
gʷ	gʷ	47	U+0067 U+02b7
ās	ās	45	U+0101 U+0073
ö	ö	43	U+00f6
ã	ã	42	U+00e3
ü	ü	37	U+00fc
ʌ	ʌ	36	U+028c
ᵐb	ⁿb	36	U+1d50 U+0062
vʷ	vʷ	35	U+0076 U+02b7
C	<?>	34	U+0043
