Scientific_Name,Name_In_Text,Key,English_Name
Abelmoschus manihot,,3152706,Bele
Abelmoschus moschatus,,8312665,
Abroma augusta,,11333111,
Abutilon incanum,,3152625,
Acalypha grandis,,3056864,
Acalypha longispica,,3056240,
Acalypha wilkesiana,,3057221,
Acalypha caturus,,3057069,
Acalypha repanda,,3056491,
Acalypha insulana,,3056746,
Acalypha hispida,,3056375,
Acalypha amentacea,,3057201,
Acalypha spp.,,3055964,Three-seeded Mercuries
Acanthaceae,,2393,Acanthus Family
Acanthus ebracteatus,,5415454,acanthus
Aceratium oppositifolium,,4031710,
Acrostichum aureum,,2651706,
Donax canniformis,Actoplanes cannaeformis,5302997,
Donax canniformis,Actoplanes canniformis,5302997,
Adenanthera gersenii,,2951847,
Adenanthera pavonina,,2951846,Red Sandalwood
Adenanthera polita,,2951849,
Adenostemma lavenia,,3132228,
Afzelia bijuga,,7869794,
Agathis,,1264342,Kauris
Agathis macrophylla,,5284401,
Agavaceae,,3072,
Falcataria falcata,Albizia falcataria,10691906,
Albizia moluccana,,2968270,
Albizia salomonensis,,8425413,
Albizia saman,,2972949,Raintree
Albizia spp.,,2972897,
Albizia falcata,,2968269,
Aleurites moluccanus,Aleurites moluccana,4930679,
Aleurites moluccanus,Aleurites triloba,4930679,
Allamanda cathartica,,3169836,
Alocasia indica,,5329925,
Alocasia macrorrhiza,,5708184,
Alocasia macrorrhizos,,5329904,Giant taro
Alphitonia incana,,3877487,
Alphitonia franguloides,,3877503,
Alphitonia excelsa,,3039494,
Alphitonia macrocarpa,,3877471,
Alphitonia spp.,,3039493,
Alphitonia zizyphoides,,3877300,toi
Alpinia boia,,5301932,
Alstonia sp.,,,
Alstonia scholaris,,5414410,Dogbane
Althoffia,,2332544,
Amaranthaceae,,3064,Amaranth Family
Amaranthus sp.,,,
Amaranthus gangeticus,,5384398,
Amaranthus oleraceus,,8330520,
Amaranthus tricolor,,5384397,Tampala
Amaranthus viridis,,5384334,
Amaryllidaceae,,7682,"Amaryllis, Onions, And Allies"
Amorphophallus campanulatus,,2871556,
Amorphophallus paeoniifolius,,2871533,Whitespot Giant Arum
Anacardiaceae,,2398,Sumac Family
Angiopteris evecta,Angiopteris erecta,5274878,King Fern
Annonaceae,,9291,Custard-apple Family
Anthocarapa nitidula,,3850058,
Antiaris toxicaria,,7262663,
Apocynaceae,,6701,Dogbane Family
Aporosa papuana,,5383511,
Araceae,,,
Araliaceae,,8800,Ginseng Family
Araucaria cunninghamii,,2684996,Dorrigo-pine
Araucaria hunsteinii,,2684933,Klinki Pine
Araucariaceae,,3924,Monkey-puzzle Family
Archidendron oblongum,,3960948,
Areca catechu,,2736531,Betel Nut Palm
Arecaceae,,7681,Mangrove Palm
Argusia argentea,,8223151,
Aristotelia serrata,,5651040,
Artocarpus altilis,Artocarpus communis,2984573,Breadfruit Tree
Artocarpus altilis,Artocarpus camansi,2984573,
Artocarpus altilis,Artocarpus mariannensis,2984573,
Artocarpus incisus,,8002090,
Asclepiadaceae,,6700,milkweeds
Aspleniaceae,,6625,spleenwort family
Asplenium nidus,,2650676,Hawai'I Birdnest Fern
Asplenium spp.,,2650583,spleenwort
Asteraceae,,3065,Aster Family
Athyrium spp.,,2650888,lady fern
Atuna excelsa,Parinari laurina,3745558,
