Scientific_Name,Name_In_Text,Key,English_Name
Corvus moneduloides,,2482475,New Caledonian Crow
Corvus orru,,2482491,Torresian Crow
Coturnix chinensis,,2474128,Blue-breasted Quail
Cuculidae,,9309,Anis
Cuculus,,2336662,Eurasian Cuckoos
Dendrocygna,,2498392,Whistling-Ducks
Ducula,,2495933,Pacific Pigeons
Ducula bakeri,,2495980,Vanuatu Imperial-pigeon
Ducula pacifica,,2495948,Pacific Imperial-pigeon
Eclectus roratus,,2480075,Eclectus Parrot
Egretta,,2480872,Typical Egrets
Gymnocrex plumbeiventris,Eulabeornis plumbeiventris,2474681,Bare-eyed Rail
Eurystomus orientalis,,5228280,Oriental Dollarbird
Falco peregrinus,,2481047,Peregrine
Falco severus,,2481060,Oriental Hobby
Falconidae,,5240,Falcons
Fregata ariel,,2480186,Lesser Frigatebird
Fregata minor,,2480187,Great Frigatebird
Fregatidae,,5241,Frigatebirds
Gallicolumba,,2495214,Island Ground-Doves
Gallus gallus,,9326020,Chicken
Geoffroyus heteroclitus,,2479354,Song Parrot
Gygis alba,,2481213,Atlantic White Tern
Gymnophaps,,2495181,
Halcyon,,2475567,Blue Kingfishers
Halcyon chloris,,9149283,
Halcyon sancta,,5228370,sacred kingfisher
Halcyon saurophaga,,8772741,
Haliaeetus,,2480444,Sea-eagles And Fish-eagles
Haliaeetus leucogaster,,2480455,White-bellied Sea-eagle
Haliastur,,2480436,
Haliastur indus,,2480437,Brahminy Kite
Hemiprocne mystacea,,2477444,Moustached Treeswift
Hemiprocnidae,,5247,Treeswifts
Henicopernis infuscata,,11106416,
Henicophaps,,2495830,
Heteroscelus incanus,,2481678,Wandering Tattler
Hirundinidae,,5248,Swallows And Martins
Hirundo tahitica,,5230787,Tahiti Swallow
Hydrobatidae,,5249,Northern Storm Petrels
Ixobrychus,,2480843,Small Bitterns
Lalage,,2486798,
Lalage maculosa,,5230455,Polynesian Triller
Laridae,,9316,"Gulls, Terns, And Skimmers"
Limosa lapponica,,2481681,Bar-tailed Godwit
Loriculus aurantiifrons,,2479381,Orange-fronted Hanging-parrot
Loriidae,,4851215,lories
Lorius hypoinochrous,,2479431,Purple-bellied Lory
Macropygia,,2496136,
Macropygia mackinlayi,,2496144,Spot-breasted Cuckoo-Dove
Megapodiidae,Megapodes,9318,Megapodes
Megapodius eremita,,2482143,Melanesian Scrubfowl
Melidectes whitemanensis,,2486980,Bismarck Honeyeater
Meliphagidae,,9319,Honeyeaters
Micropsitta,,2479238,pygmy-parrots
Mino dumontii.,,2489013,Yellow-faced Myna
Monarcha,,2486700,Monarchs
Monarchidae,,5256,Monarchs
Myiagra,,2486633,Broadbills
Ninox,,2497780,
Ninox jacquinoti,,2497782,Solomons Boobook
Numenius,,2481781,Curlews
Numenius phaeopus,,2481784,Eurasian Whimbrel
Numenius tahitiensis,,2481790,Bristle-thighed Curlew
Nycticorax,,2480856,Night Heron
Nycticorax caledonicus,,2480857,Nankeen Night Heron
Pachycephala pectoralis,,5959188,Golden Whistler
Pachycephalidae,,3241790,Whistlers & Allies
Pandion,,2480725,Osprey
Pandionidae,,4408414,Osprey
Phaethon,,2481360,Tropicbirds
Phaethon lepturus,,2481364,White-tailed Tropicbird
Phaethon rubricauda,,2481361,Red-tailed Tropicbird
Phaethontidae,,5267,Tropic Birds
Phasianidae,,9331,"Pheasants, Grouse, And Allies"
Phigys solitarius,,2479295,Collared Lory
Philemon cockerelli,,2487067,New Britain Friarbird
Pluvialis fulva,,2480331,Pacific Golden Plover
Porphyrio porphyrio,,7191345,
Porzana cinerea,,2474612,White-browed Crake
Porzana tabuensis,,2474607,Sooty Rail
Procellariidae,,9339,"Petrels, Shearwaters"
Psittacidae,,9340,New World And African Parrots
Puffinus pacificus,,5229344,Wedge-tailed Shearwater
Rallidae,,9342,"Rails, Crakes And Coots"
Rallina tricolor,,2474482,Red-necked Crake
Rallus philippensis,,10969953,
Reinwardtoena,,2496029,
Rhipidura leucophrys,,5231722,Willie Wagtail
Rhipiduridae,,5712,Fantails
Scolopacidae,,5282,Sandpipers And Allies
Scythrops,,2496203,
Sterna,,2481227,Tern
Sterna sumatrana,,5229214,Black-naped Tern
Strigidae,,9348,Owls
Sturnidae,,9350,Starling
Sula dactylatra,,2480967,Masked Booby
Sula leucogaster,,2480975,Brown Booby
Sula sula,,2480972,Red-footed Booby
Sulidae,,9351,Boobies And Gannets
Tanysiptera sylvia,,2475639,Buff-breasted Paradise-kingfisher
Thalasseus,,9109074,Crested Terns
Trichoglossus haematodus,,2479686,Coconut Lorikeet
Turdidae,,5290,Thrush
Turdus poliocephalus,,9512424,Island Thrush
Tyto aurantia,,5232405,Golden Masked-owl
Tytonidae,,5292,Barn Owl
Urodynamis,,7848939,Long-tailed Cuckoos
Urodynamis taitensis,,2496499,Long-tailed Koel
Zosteropidae,,9359,White-Eyes
Zosterops meeki,,2489413,Tagula White-eye
Abudefduf,,2398621,Sergeant Majors
Acanthocybium solandri,,2374069,Wahoo
Acanthuridae,,4233,Surgeonfishes
Acanthurus,,2379647,Common Surgeonfishes
Acanthurus guttatus,,5209152,Whitespotted Surgeonfish
Acanthurus lineatus,,5209244,Lined Surgeonfish
Acanthurus triostegus,,5209217,Convict Surgeonfish
Acanthurus xanthopterus,,5209252,Yellowfin Surgeonfish
Adioryx,,2356893,
Aetobatus narinari,,2419231,Spotted Eagle Ray
Albula,,2341074,Bonefishes
Albulidae,,7163,Bananafishes
Alectis indica,,9817213,Indian Threadfish
Anguillidae,,2949,Freshwater Eels
Anguilliformes,,495,Eel
Apogonidae,,4236,Cardinalfish
Aprion virescens,,2385226,Green Jobfish
Arothron,,2407347,Fat Puffers
Atherinidae,,7172,Old World Silversides
Aulostomidae,,5903,Cornetfishes
Balistes,,2333511,Triggerfishes
Balistidae,,5899,Triggerfishes
Belonidae,,7190,Needlefishes
Blenniidae,,4251,blennies
Bolbometopon,,2393442,
Bothidae,,8608,Scaldfishes
Caranx,,2390749,Bigeye Jacks
Caranx ignobilis,,2390805,Giant Trevally
Carcharhinidae,,2211,Requiem Shark
Carcharhinus,,2417963,Gray Sharks
Centriscidae,,2222,Snipefishes
Centropomidae,,4256,Snooks
Cephalopholis,,2388808,
Cephalopholis argus,,2388891,Peacock Grouper
Chaetodontidae,,8517,Butterflyfishes
Chaetodontidae,,8517,Butterflyfishes
Chanidae,,3708,Milkfishes
Chanos chanos,,2406374,Milkfish
Cheilinus,,2383304,
Cheilinus undulatus,,2383313,Humphead Wrasse
Cirrhitidae,,8523,Hawkfishes
Clupeidae,,7332,"Shads, Sardines, And Menhadens"
Congridae,,2951,Conger eels
Coryphaena hippurus,,2381939,Common Dolphinfish
Coryphaenidae,,4262,Dolphinfishes
Ctenochaetus,,2379619,
Dactylopteridae,,8624,Flying Gurnards
Dasyatidae,,2195,Stingrays
Diodon,,2406531,Porcupinefishes
Diodontidae,,5898,Burrfishes
Echeneididae,,4284818,
Echeneis naucrates,,2375300,Live Sharksucker
Eleotridae,,4268,Sleepers
Elopidae,,3698,Bigeyed Herrings
Engraulidae,,7334,Anchovies
Ephippidae,,4271,Spadefishes
Epinephelus,,2335319,Groupers
Epinephelus lanceolatus,,2388587,Giant Grouper
Exocoetidae,,2968,flyingfishes
Fistularia,,9720698,
Fistulariidae,,5902,Cornetfishes
Flammeo,,2356958,
