Scientific_Name,Name_In_Text,Key,English_Name
Parartocarpus involucratus,Parartocarpus involucrata,3766095,
Parartocarpus venenosus,Parartocarpus venenosa,8064676,
Paraserianthes,,2943718,
Paraserianthes falcataria,,2968263,
Parinari salomonensis,,3745397,
Parinari spp.,,2984937,
Paspalum conjugatum,,2705656,Crab Grass
Paspalum spp.,,2705540,Paspalum
Passiflora foetida,,7736634,
Passifloraceae,,2378,Passion Flower Family
Payena mentzelii,,2887328,
Pemphis acidula,,3188706,
Pennisetum macrostachyum,,2706133,
Pennisetum polystachion,,9642664,feather pennisetum
Phaleria coccinea,,8377390,
Phaleria spp.,,1045830,
Phragmites karka,,8698759,
Phyllanthaceae,,8807,leaf flower family
Piper betle,,4187904,Betel Pepper
Piper methysticum,,3086358,Kava
Piper subbullatum,,4187142,
Piper wichmannii,,4187213,
Piperaceae,,6678,Peppers
Pipturus argenteus,,6414892,
Pipturus incanus,,4101779,
Pipturus velutinus,,7598427,
Pisonia brunoniana,,7562277,
Pisonia excelsa,,3701064,
Pisonia grandis,,8641545,
Pisonia spp.,,3086250,Catchbirdtree
Pisonia umbellifera,,7525383,
Planchonella costata,,5334093,
Planchonella garberi,,5334082,
Planchonella grayana,,5334033,
Planchonella linggensis,,5334068,
Planchonella peekelii,,5334107,
Planchonella spp.,,8033501,
Poaceae,,3073,Grass
Polyscias cumingiana,,9213313,Malaysian Aralia
Polyscias fruticosa,,3035652,Ming Aralia
Polyscias pinnata,,8294987,
Polyscias rumphiana,,3035718,
Polyscias scutellaria,,3035778,Shield Aralia
Polyscias spp.,,3035574,
Pometia pinnata,,5577338,Fijian longan
Pongamia glabra,,11377893,
Pongamia pinnata,,2965911,"Indian beech, Pongam oiltree"
Pouteria maclayana,,2884578,
Premna corymbosa,,7713954,
Premna divaricata,,3897803,
Premna integrifolia,,7308606,
Premna serratifolia,,6411486,bastard guelder
Premna spp.,,2925344,
Pritchardia pacifica,,5294627,Fiji fan palm
Proteaceae,,2414,Proteas
Prunus spp.,,3020559,Cherry
Prunus spp.,,3020559,Cherry
Pterocarpus indicus,,7982935,
Pterocymbium spp.,,7322952,
Pueraria hirsuta,,2943403,
Pueraria lobata,,2977654,East Asian arrow root
Pueraria montana,Pueraria montanus,2977636,kudzu
Pueraria neocaledonica,,3967330,
Pueraria novoguineensis,,11149764,
Pueraria thunbergiana,,2977655,
Pueraria triloba,,2977651,
Rhamnaceae,,4904319,
Rhizophora apiculata,,3086526,Mangrove
Rhizophora mucronata,,3086527,True Mangrove
Rhizophora spp.,,3086525,Mangrove
Rhizophora stylosa,,3874022,Spotted mangrove
Rhizophoraceae,,6671,red mangrove
Rhus retusa,,3661508,
Rhus rufa,,3661305,
Rhus spp.,,3190534,Sumacs
Rhus taitensis,,3660501,Sumac
Rosaceae,,4897602,
Rubiaceae,,4896974,
Rutaceae,,2396,rue family
Saccharum edule,,4134850,
Saccharum floridulum,,4134738,
Saccharum officinarum,,2703912,Sugar Cane
Saccharum spontaneum,,2703935,Wild Sugarcane
Sagus vitiensis,,5293499,
Sapindaceae,,4894243,
Sapotaceae,,8802,Sapodillas
Scaevola frutescens,,7099691,
Scaevola koenigii,,5569382,
Scaevola sericea,,5407599,beach naupaka
Scaevola taccada,,6358362,Beach Naupaca
Schizomeria serrata,,3613800,
Schizostachyum spp.,,2703895,Polynesian 'Ohe
Schleinitzia novoguineensis,,5349226,
Securinega flexuosa,,3079345,
Semecarpus forstenii,,3660182,
Serianthes vitiensis,,3975896,
Sideroxylon costatum,,2887876,
Sideroxylon peekelii,,2887907,
Sonneratia alba,,5406998,
Sonneratia caseolaris,,5635606,
Sphaerostephanos invisus,,2651482,
Spondias cytherea,,3190596,
Spondias dulcis,,8549822,
Spondias mangifera,,3661208,
Sterculia spp.,,3152129,tropical chestnut
Sterculia tannaensis,,7538317,
Sterculia vitiensis,,7999791,
Sterculiaceae,,2434,sterculias
Syzygium aqueum,,3183335,Water Apple
Syzygium malaccense,,3184509,Malay-apple
Syzygium spp.,,3029010,
Tacca leontopetaloides,,2755866,Batflower
Taccaceae,,3069,
Taetsia fruticosa,,2766329,
Terminalia brassii,,3699014,brown terminalia
Terminalia calamansanai,,4934232,
Terminalia catappa,,3189394,India Almond
Terminalia copelandii,,4934231,
Terminalia impediens,,3698711,
Terminalia kaernbachii,,3698582,okari-nut
Terminalia spp.,,3189387,Tropical Almond
Thalia canniformis,Thalia cannaeformis,5303001,
Thelypteridaceae,,6618,marsh fern family
Themeda australis,,2703468,
Thespesia macrophylla,,3936417,
Thespesia populnea,,3152795,Portia Tree
Thuarea involuta,,2702911,Kuroiwa Grass
Thymelaeaceae,,2428,Mezereum Family
Tiliaceae,,2433,basswood
Tournefortia argentea,,7708361,Velvetleaf Soldierbush
Trema aspera,,4159449,
Trema orientalis,,7141659,"Charcoal-tree, Indian charcoal-tree, Oriental trema, Pigeon wood, Peach-cedar, Rough trema, Tree-peach, Woolly-cedar"
Trema scaberrimum,Trema scaberrima,4159739,
Trichospermum psilocladum,,4261428,
Trichospermum spp.,,3152055,
Ulmaceae,,4896195,
Urtica argentea,,5671298,
Urtica incana,,5669875,
Urticaceae,,6639,nettle family
Verbenaceae,,6689,vervain family
Vitex cofassus,,3881501,New Guinea-teak
Vitex negundo,,2925564,Five Leaved Chaste
Vitex trifolia,,2925561,Indian three-leaf vitex
Wedelia biflora,,7614337,
Wollastonia biflora,,5386813,Honolulu Nehe
Woodsiaceae,,3229365,Cliff Fern Family
Xanthosoma sagittifolium,,5330901,Arrowleaf Elephant's Ear
Ximenia americana,,2889811,Tallowwood
Xylocarpus granatum,,3190517,apple mangrove
Xylocarpus moluccensis,,3190516,cedar mangrove
Xylocarpus obovatus,,3851016,
Xylocarpus spp.,,3190515,
Zingiber spp.,,2756693,Ginger
Zingiber zerumbet,,2757108,Shampoo Ginger
Zingiberaceae,,4687,Ginger Family
