Scientific_Name,Name_In_Text,Key,English_Name
Abelmoschus manihot,,3152706,Bele
Abroma augusta,,11333111,
Acalypha grandis,,3056864,
Acalypha spp.,,3055964,Three-seeded Mercuries
Acanthaceae,,2393,Acanthus Family
Acanthus ebracteatus,,5415454,acanthus
Aceratium oppositifolium,,4031710,
Actoplanes canniformis,Actoplanes cannaeformis,2762141,
Adenanthera gersenii,,2951847,
Adenanthera pavonina,,2951846,Red Sandalwood
Adenanthera polita,,2951849,
Afzelia bijuga,,7869794,
Agathis,,1264342,Kauris
Agavaceae,,3072,
Albizia falcataria,,2968265,
Albizia moluccana,,2968270,
Albizia salomonensis,,8425413,
Albizia saman,,2972949,Raintree
Albizia spp.,,2972897,
Albizia falcata,,2968269,
Aleurites moluccana,,11255342,
Aleurites trilobus,Aleurites triloba,4930681,
Alocasia indica,,5329925,
Alocasia macrorrhiza,,5708184,
Alocasia macrorrhizos,,5329904,Giant taro
Alphitonia incana,,3877487,
Alphitonia spp.,,3039493,
Alphitonia zizyphoides,,3877300,toi
Alstonia scholaris,,5414410,Dogbane
Althoffia,,2332544,
Amaranthaceae,,3064,Amaranth Family
Amaranthus gangeticus,,5384398,
Amaranthus oleraceus,,8330520,
Amaranthus tricolor,,5384397,Tampala
Amaryllidaceae,,7682,"Amaryllis, Onions, And Allies"
Amorphophallus campanulatus,,2871556,
Amorphophallus paeoniifolius,,2871533,Whitespot Giant Arum
Anacardiaceae,,2398,Sumac Family
Angiopteris erecta,,5615702,
Angiopteris evecta,,5274878,King Fern
Annonaceae,,9291,Custard-apple Family
Apocynaceae,,6701,Dogbane Family
Araceae,,4892056,
Araliaceae,,8800,Ginseng Family
Araucaria cunninghamii,,2684996,Dorrigo-pine
Araucaria hunsteinii,,2684933,Klinki Pine
Araucariaceae,,3924,Monkey-puzzle Family
Archidendron oblongum,,3960948,
Areca catechu,,2736531,Betel Nut Palm
Arecaceae,,7681,Mangrove Palm
Argusia argentea,,8223151,
Artocarpus altilis,,2984573,Breadfruit Tree
Artocarpus incisus,,8002090,
Asclepiadaceae,,6700,milkweeds
Aspleniaceae,,6625,spleenwort family
Asplenium nidus,,2650676,Hawai'I Birdnest Fern
Asplenium spp.,,2650583,spleenwort
Asteraceae,,3065,Aster Family
Athyrium spp.,,2650888,lady fern
Avicennia marina,,2925403,Grey Mangrove
Avicennia spp.,,2925398,Black Mangrove
Avicennia spp.,,2925398,Black Mangrove
Avicenniaceae,,4196595,
Bambusa,,2705751,Bamboo
Bambusa spp.,,2705751,Bamboo
Barringtonia asiatica,Barringtonia speciosa,7561644,
Barringtonia brosimos,,3082787,
Barringtonia calyptrata,,8280705,Corned Beef Wood
Barringtonia edulis,,3082861,Cutnut
Barringtonia guppyana,,3082718,
Barringtonia littorea,,3082926,
Barringtonia magnifica,,3082719,
Barringtonia niedenzuana,,3082849,
Barringtonia novae-hiberniae,,3082785,
Barringtonia oblongifolia,,3082786,
Barringtonia procera,,3082716,cutnut
Barringtonia racemosa,,3082727,China-pine
Barringtonia samoensis,,3082774,
Barringtonia schuchardtiana,,3082717,
Barringtonia seaturae,,3082873,
Barringtonia spp.,,3082715,
Bassia erskineana,,5333891,
Benincasa hispida,,2874524,Chinese preserving-melon
Dolichandrone falcata,Bignonia spathacea,4091174,
Bignoniaceae,,4900306,
Bischofia javanica,,5383085,Bishopwood
Boerlagiodendron spp.,,7314469,
Bombacaceae,,2436,bombax
Boraginaceae,,2498,borage family
Broussonetia papyrifera,,5361944,Paper Mulberry
Bruguiera gymnorhiza,Bruguiera gymnorrhiza,7583876,Oriental Mangrove
Bruguiera spp.,,7780057,
Burckella obovata,,2887307,
Burckella spp.,,2887290,
Burckella spp.,,2887290,
Burseraceae,,6659,Burseras
Calamus spp.,,8494406,Calamus
Callicarpa pentandra,,5609366,
Calonyction grandiflorum,,3680437,
Calophyllum inophyllum,,9531830,Tamanu
Calophyllum kajewskii,,7614984,
Calophyllum pseudovitiense,,8002708,
Campnosperma brevipetiolatum,,4928922,
Camptostemon schultzii,,4073235,
Cananga odorata,,5407583,Cananga tree
Cananga spp.,,5407582,Ilang-Ilang
Canarium commune,,7652166,
Canarium harveyi,,5635774,
Canarium indicum,,5421345,Java Almond
Canarium mehenbethene,,5636168,
Canarium moluccanum,,5636149,
Canarium salomonense,,5635923,
Canarium spp.,,3190431,
Canavalia maritima,,7962825,
Canavalia rosea,,2962021,Bay Bean
Carapa obovata,,3852135,
Caryota rumphiana,,2738893,Albert palm
Caryota spp.,,2738880,Fishtail Palm
Castanopsis acuminatissima,,5333166,Papua New Guinea Oak
Casuarina equisetifolia,,2891930,Casuarine
Casuarina spp.,,2891925,She-Oak
Casuarinaceae,,5352,Beef Wood
Celtis nymanii,,4159801,
Ceodes spp.,,7327172,
Cerbera manghas,,7155766,Madagascar ordeal-bean
Cerbera spp.,,3169757,
Cerbera spp.,,3169757,
Ceriops tagal,,3086518,spurred mangrove
Chavica betle,,4188607,
Chrysobalanaceae,,9111,
Cinnamomum spp.,,3033980,Cinnamon
Cinnamomum xanthoneurum,Cinnamomum xanthoneuron,4179017,
Fabaceae,Cisalpiniaceae,5386,Legume Family
Citrus polyandra,,7783337,
Citrus spp.,,3190155,Citrus
Clymenia polyandra,Citrus flaviflora,5594453,clymenia
Clinogyne grandis,,2762149,
Clusiaceae,,6646,
Clymenia polyandra,,5594453,clymenia
Cocos nucifera,,2735117,Coconut
Codiaeum variegatum,,3071476,Garden Croton
Coix lacryma-jobi,,10836163,
Colocasia antiquorum,,5330777,Coco-Yam
Colocasia esculenta,,5330776,Taro
Colocasia spp.,,7384515,Elephant Ears
Colocasia spp.,,7384515,Elephant Ears
Combretaceae,,2431,white mangrove
Cominsia gigantea,,2762344,
Commersonia bartramia,,7323037,"Brown kurrajong, Scrub Christmas tree"
Convolvulaceae,,2389,bindweed family
Convolvulus peltatus,,3680464,
Convolvulus tuba,,3676654,
Corallaria parvifolia,,2951848,
Cordia subcordata,,5341267,Kou
Cordyline fruticosa,,2766278,Tiplant
Cordyline fruticosa,,2766278,Tiplant
Cordyline terminalis,,2766314,
Corynocarpaceae,,2515,
Corynocarpus australasica,Corynocarpus australasicus,7879547,
Corynocarpus cribbianus,Corynocarpus cribbiana,3658820,
Crassula scutellaria,,5690175,
Crinum asiaticum,,2853796,Asiatic poisonbulb
Crinum pedunculatum,,7480728,
Cryptocarya aromatica,,4178503,
Cryptocarya cordata,,4177701,
Cryptocarya spp.,,3011993,
Ctenitis spp.,,2650908,Lacefern
Ctenitis spp.,,2650908,Lacefern
Cucumis sativus,,2874569,Cucumber
Cucurbita lagenaria,,2874673,
Cucurbita moschata,,7393329,Squash / Pumpkin
Cucurbita siceraria,,2874676,
Cucurbitaceae,,6634,Gourd Family
Cunoniaceae,,2405,
Curcuma domestica,,2757628,
Curcuma tongii,Curcuma tonga,10687104,
Cyathea brackenridgei,,3600162,
Cyathea lunulata,,3600584,tsatsa
Cyathea spp.,,2650273,Treefern
Cyatheaceae,,6624,Scaly Tree Ferns
Cycadaceae,,4912286,
Cycas rumphii,,2683272,Ceylon sago
Cycas spp.,,2683206,Cycad
Cycas spp.,,2683206,Cycad
Cyclosorus truncatus,,7321182,
Cyrtosperma chamissonis,,2871924,swamp taro
Cyrtosperma edule,,9659176,
Cyrtosperma merkusii,,2871919,gallan
Datiscaceae,,6633,datiscas
Davalliaceae,,3229325,hare's-foot fern family
Dendrocnide spp.,,6414479,
Laportea spp.,,2984461,Wood Nettles
Dennstaedtia spp.,,10847691,
Dennstaedtia spp.,,10847691,
Dennstaedtiaceae,,6623,Bracken Family
Derris spp.,,2947465,
Dillenia macrophylla,,7975859,
Dillenia biflora,,8578584,
Dillenia salomonensis,,5681004,
Dillenia schlechteri,,5680986,
Dillenia spp.,,3083492,
Dilleniaceae,,2511,
Dioscorea alata,,2754476,Yams
Dioscorea bulbifera,,7964683,
Dioscorea esculenta,,2755195,Asiatic yam
Dioscorea nummularia,,8077783,
Dioscorea spp.,,2754367,Cinnamon Vine
Dioscoreaceae,,7694,True Yams
Diospyros spp.,,3030169,"Ebony, Persimmon"
Diospyros spp.,,3030169,"Ebony, Persimmon"
Diplazium esculentum,,2650858,Vegetable fern
Diplazium proliferum,,7558255,
Dolichandrone spathacea,,3172487,mangrove trumpet-tree
Dolichos hirsutus,,2977661,
Dolichos lobatus,,2977662,
Dolichos tuberosus,,7417019,
Donax arundastrum,,5615768,
Donax canniformis,Donax cannaeformis,5302997,
Dracaena angustifolia,,5304502,
Dracaena sp.,,2472002,caiman lizard
Dracaena spp.,,2472002,caiman lizard
Dracontomelon,,3190526,
Dracontomelon dao,,3190527,Argus pheasant tree
Dracontomelon edule,,3660280,
Dracontomelon mangiferum,,3190528,
Dracontomelon spp.,,3190526,
Dracontomelon vitiense,,8050389,Dragon Plum
Dryopteridaceae,,2373,Shieldfern Family
Dryopteris spp.,,2651126,Wood Ferns
Dysoxylum arborescens,,7271294,
Dysoxylum gaudichaudianum,,3850172,
Dysoxylum kaniense,,3849859,
Dysoxylum spectabile,,3851686,
Dysoxylum spp.,,3190481,
Ebenaceae,,6709,Ebony
Elaeocarpaceae,,2435,
Elaeocarpus angustifolius,,7426040,Blue marble tree
Elaeocarpus edulis,,4031662,
Elaeocarpus floridanus,,4031357,
Elaeocarpus floridanus,,4031357,
Elaeocarpus pseudosepicanus,,4031273,
Elaeocarpus sphaericus,,10988361,
Elaeocarpus spp.,,3152094,
Endospermum formicarum,,3063654,
Endospermum medullosum,,3063648,Whitewood
Endospermum moluccanum,,3063652,
Endospermum spp.,,3063626,
Enhalus sp.,,2866112,
Erythrina indica,,5349598,
Erythrina variegata,,5349581,Indian coraltree
Eugenia jambos,,5419154,
Eugenia malaccensis,,7907394,
Euodia elleryana,,7269463,
Euodia hortensis,,5594509,
Euodia spp.,,7238187,
Euodia tetragona,,5594118,
Euphorbiaceae,,4691,spurge family
Excoecaria agallocha,,3071702,blind-your-eye
Falcataria moluccana,,2968262,White Albizia
Fabaceae,,5386,Legume Family
Fagaceae,,4689,beech family
Fagraea berteroana,,6388630,Cape jitta
Fagraea gracilipes,,4019958,
Fagraea ligustrina,,4019775,
Fagraea maingayi,,4019668,
Fagraea pauciflora,,4019445,
Fagraea peekelii,,4019433,
Fagraea racemosa,,7289327,
Falcataria moluccana,,2968262,White Albizia
Ficus adenosperma,,7262893,
Ficus austrina,,5571756,
Ficus copiosa,,7262424,plentiful fig
Ficus copiosa,,7262424,plentiful fig
Ficus nodosa,,5570676,Cape fig
Ficus spp.,,2301388,Figsnails
Ficus tinctoria,,3767426,Fig
Ficus wassa,,5571444,
Finschia chloroxantha,,5636779,
Finschia densiflora,,5636774,
Finschia waterhousiana,,5636763,
Flacourtia rukam,,5331160,Rukam
Flacourtiaceae,,9725603,
Flagellaria indica,,5287564,
Flagellariaceae,,3742,
Fleurya,,11010226,
Flueggea flexuosa,,5382874,Poumuli
Garcinia spp.,,3189556,Saptree
Garcinia spp.,,3189556,Saptree
Garuga abilo,,3993645,
Garuga floribunda,,7286844,
Glochidion philippicum,,3080502,
Glochidion spp.,,3080069,
Gmelina moluccana,,5607645,
Gnetaceae,,4577374,
Gnetum gnemon,,2653133,Spanish joint-fir
Gnetum latifolium,,2653172,
Goodeniaceae,,3113,
Grevillea densiflora,,3999100,
Grewia,,3152078,
Guettarda speciosa,,8012534,
Gyrocarpus americanus,,7326414,Coolamon-tree
Helicia cribbiana,,5637648,
Heliconia,,2760545,Heliconia
Heliconia indica,,2760563,
Heliconiaceae,,4677,
Heritiera littoralis,,7725132,beach tulip-oak
Hernandia nymphaeifolia,,3685338,sea hearse
Hernandia peltata,,3685418,
Hernandiaceae,,2495,
Hibiscus manihot,,3935663,
Hibiscus spp.,,3152542,Hibiscuses
Hibiscus tiliaceus,,3152584,Coast Cottonwood
Hornstedtia lycostoma,,2759723,
Hornstedtia scottiana,,2759722,
Hoya spp.,,3170437,
Hydrocharitaceae,,3721,Frog-bit Family
Illipe hollrungii,,2887325,
Imperata arundinacea,,5289714,
Imperata cylindrica,,8424006,"Alang-alang, Blady grass, Cogon grass, Japgrass, Satintail, Speargrass"
Inocarpus edulis,,2961949,
Inocarpus fagifer,,7837019,Tahitian Chestnut
Intsia amboinensis,,2963219,
Intsia bijuga,,2963211,Borneo-teak
Ipomoea,,2928509,morning glory
Ipomoea batatas,,2928551,Sweet Potato
Ipomoea grandiflora,,7804856,
Ipomoea peltata,,8349289,
Ipomoea pes-caprae,,7639451,Beach Morning-glory
Ipomoea spp.,,2928509,morning glory
Ipomoea tuba,,2928518,
Jambosa malaccensis,,3184516,
Kleinhovia hospita,,3152102,Guest Tree
Lagenaria leucantha,,2874675,
Lagenaria siceraria,,2874672,White-flowered Gourd
Lagenaria vulgaris,,8306444,
Lamiaceae,,2497,Mint Family
Laportea spp.,,2984461,Wood Nettles
Laportea spp.,,2984461,Wood Nettles
Lauraceae,,11217107,
Lecythidaceae,,3990,Brazil-Nut
Leea indica,,4160336,bandicoot-berry
Leea tetramera,,4160415,
Leeaceae,,4160301,
Leguminosae,,3960911,
Leucaena leucocephala,,2970418,Mimosa
Licuala spp.,,7830622,
Liliaceae,,7699,Lilies
Litsea spp.,,3033976,
Loganiaceae,,2502,Loganias
Lumnitzera littorea,,5421047,
Lygodiaceae,,2371,Climbing Ferns
Lygodium spp.,,2650431,Climbing Fern
Lythraceae,,4922405,
Macaranga spp.,,3073879,
Mallotus spp.,,2410910,Capelins
Malvaceae,,6685,mallow family
Mangifera indica,,7875302,
Mangifera spp.,,3075453,Mango
Manihot esculenta,,3060998,Sweet Cassava
Manilkara spp.,,2885024,
Maranta grandis,,2762146,
Marantaceae,,8784,Arrowroot
Maranthes corymbosa,,2984717,
Marattiaceae,,6628,
Melanolepis multiglandulosa,,5380873,
Meliaceae,,4899509,
Melicope elleryana,,3833337,Pink euodia
Melochia umbellata,,3152126,Gunpowder tree
Merremia peltata,,5548953,
Messerschmidia argentea,,8708461,
Metroxylon sagu,,2733781,sago palm
Metroxylon spp.,,2733775,Metroxylon
Metroxylon spp.,,2733775,Metroxylon
Mimosaceae,,3794735,
Miscanthus,,2706020,silvergrass
Miscanthus floridulus,,2706022,Japanese silver grass
Miscanthus japonicus,,4115603,
Moraceae,,6640,Fig Family
Morinda citrifolia,,5339879,Noni
Musa spp.,,2760990,Banana
Musaceae,,4686,Banana
Myristica chartacea,,5564499,
Myristica hollrungii,,5564687,
Myristica spp.,,3152840,Nutmeg
Myristicaceae,,2439,
Myrtaceae,,5014,Myrtle Family
Nastus obtusus,,5678152,
Nastus spp.,,3232791,
Nastus spp.,,3232791,
Neisosperma oppositifolia,Neisosperma oppositifolium,3619248,
Nephrolepis biserrata,,2650936,Giant Swordfern
Nothopanax fruticosus,Nothopanax fruticosum,3035656,
Nothopanax scutellarius,Nothopanax scutellarium,3035790,
Nyctaginaceae,,6718,Four O'clock Family
Nypa fruticans,,2738422,Nypa Palm
Ochrosia oppositifolia,,3617566,Twin-apple
Ochrosia parviflora,,8298666,
Octomeles sumatranum,Octomeles sumatrana,4928823,
Olacaceae,,6662,Olax
Omphalea gageana,,3062220,
Operculina peltata,,5548762,
Pachyrhizus trilobus,Pachyrrhizus trilobus,2977671,
Palaquium spp.,,2886411,
Panax fruticosus,Panax fruticosum,5372061,
Pandanaceae,,3737,
Pandanus compressus,,5328030,
Pandanus conoideus,,5328074,
Pandanus dubius,,5328028,Knob-fruited Screwpine
Pandanus lamekotensis,,5327756,
Pandanus odoratissimus,,8291402,
Pandanus spp.,,8404076,Screwpine
Pandanus tectorius,,8023236,
Pangium edule,,9796769,Football Fruit
