ID,GBIF_ID,name,name_eng,rank,kingdom,phylum,class,order,family,genus,genus_eng,family_eng,synonyms,sections
11015824,11015824,Heliotropium velutinum,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,heliotrope,,Argusia argentea; Messerschmidia argentea,"[[""3-3"", ""s-3-1""], [""3-5"", ""s-4-1-7""]]"
11084201,11084201,Chloothamnus obtusus,,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Chloothamnus,,Grass,Nastus obtusus,"[[""3-3"", ""s-4-8""], [""3-13"", ""s-3-1""]]"
11125227,11125227,Obsoletiformes lucinoides,,SPECIES,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Obsoletiformes,,Cockle,Lucinoidea,[]
11149764,11149764,Pueraria novoguineensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,kudzu,Legume Family,,[]
11374070,11374070,Isoptera,,GENUS,Plantae,Tracheophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Isoptera,,,,[]
11377893,11377893,Pongamia glabra,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pongamia,,Legume Family,,"[[""3-5"", ""s-5-12""]]"
11437556,11437556,Didymocheton aneityensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum aneityense,[]
11527517,11527517,Latissistrombus sinuatus,,SPECIES,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Latissistrombus,,true conch,Strombus sinuatus,[]
11557598,11557598,Didymocheton spectabilis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum spectabile,"[[""3-7"", ""s-4-5""]]"
11575151,11575151,Strophocaulon invisum,Forster's Maiden Fern,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Strophocaulon,,marsh fern family,Sphaerostephanos invisus,"[[""3-3"", ""s-3-1""]]"
11624504,11624504,Didymocheton samoensis,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum samoensis,[]
11674083,11674083,Didymocheton alliaceus,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum forsteri; Dysoxylum richii,[]
11765372,11765372,Didymocheton lenticellaris,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Didymocheton,,mahogany,Dysoxylum lenticillare,[]
12262828,12262828,Nephrolepis biserrata,,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Nephrolepidaceae,Nephrolepis,swordfern,,Nephrolepis biserrata,"[[""3-3"", ""s-3-1""]]"
1264342,1264342,Agathis,Kauris,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Agathis,,braconid wasps,,[]
1507726,1507726,Ctenophora,comb jellies,GENUS,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Ctenophora,,Large Crane Flies,,"[[""4-4"", ""s-6""], [""4-4"", ""s-6-3""]]"
1855683,1855683,Ectropoceros imbricata,,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Ectropoceros,,"Fungus Moths, Clothes Moths, & Allies",Tinea imbricata,"[[""3-6"", ""s-4-2""], [""5-1"", ""s-3-4-2""], [""5-5"", ""s-3-3""], [""5-5"", ""s-3-3-2""], [""6-1"", ""s-8-1""]]"
2114067,2114067,Paralepas palinuri,,SPECIES,Animalia,Arthropoda,Maxillopoda,Pedunculata,Heteralepadidae,Paralepas,,,Palinura,[]
2221602,2221602,Palinurus,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Palinurus,,furry lobsters,,"[[""4-4"", ""s-3-2""], [""4-4"", ""s-3-2-1""]]"
2221640,2221640,Panulirus penicillatus,Pronghorn Spiny Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,,furry lobsters,Palinurus penicillatus,[]
2221652,2221652,Panulirus versicolor,Painted Spiny Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,,furry lobsters,Palinurus versicolor,"[[""4-4"", ""s-3-2-1""]]"
2221746,2221746,Parribacus,slipper lobsters,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,,Slipper lobsters,,[]
2221751,2221751,Parribacus antarcticus,Horseshoe crab,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,slipper lobsters,Slipper lobsters,Parribacus antartica,[]
2221747,2221747,Parribacus caledonicus,Caledonian Mitten Lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Parribacus,slipper lobsters,Slipper lobsters,,[]
2221719,2221719,Ibacus ciliatus,Japanese fan lobster,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,Ibacus,,,,[]
2225562,2225562,Scylla serrata,giant mud crab,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Scylla,,Swimming Crab,,"[[""4-4"", ""s-3-5""], [""4-4"", ""s-3-5-1""]]"
2225749,2225749,Sesarma,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Sesarma,,,,"[[""4-4"", ""s-3-5-3""], [""4-4"", ""s-3-5-4""], [""4-4"", ""s-3-6""]]"
2225817,2225817,Grapsus,,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Grapsus,,Marsh Crabs,,"[[""4-4"", ""s-3-5-3""]]"
2225831,2225831,Cardisoma,great land crabs,GENUS,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Cardisoma,,land crabs,,"[[""4-4"", ""s-3-5-2""], [""4-4"", ""s-3-6""]]"
2272943,2272943,Culcita,,GENUS,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita,,,,"[[""4-4"", ""s-5-3""]]"
2278860,2278860,Echinometra,,GENUS,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,,,,"[[""4-4"", ""s-5-1""], [""4-4"", ""s-5-1-1""]]"
2279021,2279021,Diadema,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema,,,,"[[""4-4"", ""s-5-1""], [""4-4"", ""s-5-1-2""]]"
2279025,2279025,Astropyga,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Astropyga,,,,"[[""4-4"", ""s-5-1-2""]]"
2279034,2279034,Echinothrix,,GENUS,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Echinothrix,,,,"[[""4-4"", ""s-5-1""], [""4-4"", ""s-5-1-2""]]"
2279167,2279167,Holothuria atra,Lollyfish,SPECIES,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,,,,[]
2279182,2279182,Holothuria impatiens,Slender Sea Cucumber,SPECIES,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria,,,,[]
2285329,2285329,Pteria,,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Pteriidae,Pteria,,pearl oyster,Avicula sp.,[]
2285337,2285337,Pinctada margaritifera,black-lipped pearl oyster,SPECIES,Animalia,Mollusca,Bivalvia,Ostreida,Margaritidae,Pinctada,,,,"[[""4-4"", ""s-4-3-5""]]"
2285339,2285339,Malleus,hammer oysters,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Malleidae,Malleus,,hammer oysters,,[]
2286374,2286374,Paphies australis,,SPECIES,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Paphies,,,,[]
2286375,2286375,Paphies subtriangulata,,SPECIES,Animalia,Mollusca,Bivalvia,Venerida,Mesodesmatidae,Paphies,,,Amphidesma subtriangulata,[]
2286792,2286792,Asaphis,,GENUS,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Asaphis,,sunsetclams,,"[[""4-4"", ""s-4-3-2""]]"
2286793,2286793,Asaphis deflorata,Gaudy Asaphis,SPECIES,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Asaphis,,sunsetclams,,[]
2287347,2287347,Lucinisca,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinisca,,Hatchet Shells,,"[[""4-4"", ""s-4-3-7""]]"
2287351,2287351,Codakia,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Codakia,,Hatchet Shells,,"[[""4-4"", ""s-4-3-7""]]"
2287388,2287388,Loripes,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Loripes,,Hatchet Shells,,"[[""4-4"", ""s-4-3-7""]]"
2287424,2287424,Lucina,,GENUS,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucina,,Hatchet Shells,,"[[""4-4"", ""s-4-3-7""]]"
4372957,4372957,Codakia tigerina,,SPECIES,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Codakia,,Hatchet Shells,,[]
2287652,2287652,Austrovenus stutchburyi,,SPECIES,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Austrovenus,,venus shells,Chione stutchburyi,[]
2287924,2287924,Anodonta,pond mussels,GENUS,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Anodonta,,River Mussels,,"[[""4-4"", ""s-4-3-7""]]"
2289099,2289099,Sepia,,GENUS,Animalia,Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,,Cuttlefishes,,"[[""4-4"", ""s-4-6-2""]]"
2289182,2289182,Loligo,Long-finned squid,GENUS,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Loligo,,inshore squids,,[]
2289535,2289535,Octopus cyanea,day octopus,SPECIES,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,,,,"[[""4-4"", ""s-4-6-1""]]"
2293196,2293196,Turbo petholatus,tapestry turban,SPECIES,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo,,turban snails,,"[[""4-4"", ""s-4-2-3""]]"
2297438,2297438,Melampus,,GENUS,Animalia,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Melampus,,hollow-shelled snails,,"[[""4-8"", ""s-4""]]"
2299646,2299646,Cassis,,GENUS,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cassidae,Cassis,,helmet snails,,"[[""6-6"", ""s-2-1""]]"
5192885,5192885,Vermetus,,GENUS,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Vermetus,,,,[]
2304422,2304422,Murex,murex snails,GENUS,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Murex,,Murex Snail,,"[[""4-4"", ""s-4-2-10""]]"
2317712,2317712,Pherecardia striata,,SPECIES,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Pherecardia,,,,[]
2332544,2332544,Althoffia,,GENUS,Animalia,Chordata,Copelata,Oikopleuridae,Althoffia,,,,,[]
2333511,2333511,Balistes,Triggerfish,GENUS,Animalia,Chordata,,Tetraodontiformes,Balistidae,Balistes,,Triggerfishes,,"[[""4-2"", ""s-62""], [""4-3"", ""s-3-1""]]"
2396015,2396015,Ecsenius,,GENUS,Animalia,Chordata,,Perciformes,Blenniidae,Ecsenius,,,,[]
2335319,2335319,Epinephelus,groupers,GENUS,Animalia,Chordata,,Perciformes,Serranidae,Epinephelus,,Groupers,,"[[""4-2"", ""s-22""], [""4-3"", ""s-3-1""]]"
2336662,2336662,Cuculus,Eurasian Cuckoos,GENUS,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus,,Anis,,"[[""4-6"", ""s-5-10""]]"
2341074,2341074,Albula,bonefishes,GENUS,Animalia,Chordata,,Albuliformes,Albulidae,Albula,,Bananafishes,,[]
2341900,2341900,Plotosus,,GENUS,Animalia,Chordata,,Siluriformes,Plotosidae,Plotosus,,Eeltail Catfishes,,"[[""4-3"", ""s-3-1""]]"
2356717,2356717,Sargocentron,,GENUS,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,,"[[""4-1"", ""s-4-1""], [""4-2"", ""s-14""], [""4-3"", ""s-3-1""]]"
2356744,2356744,Sargocentron violaceum,Violet Squirrelfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,,"[[""4-1"", ""s-4-1""]]"
2356802,2356802,Sargocentron rubrum,Redcoat,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,Sargocentron ruber,"[[""4-1"", ""s-4-1""]]"
2356873,2356873,Sargocentron spiniferum,Sabre Squirrelfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Sargocentron,,Soldierfishes,Holocentrus spinifer,"[[""4-1"", ""s-4-1""], [""4-1"", ""s-4-1""], [""4-2"", ""s-14""]]"
2356983,2356983,Myripristis,,GENUS,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,,"[[""4-1"", ""s-4-1""], [""4-2"", ""s-14""]]"
2356993,2356993,Myripristis murdjan,Pinecone Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,,"[[""4-2"", ""s-14""]]"
2357002,2357002,Myripristis berndti,Blotcheye Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,,[]
2357018,2357018,Myripristis adusta,Shadowfin Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,,[]
2357028,2357028,Myripristis violacea,Lattice Soldierfish,SPECIES,Animalia,Chordata,,Beryciformes,Holocentridae,Myripristis,,Soldierfishes,,"[[""4-1"", ""s-4-1""]]"
2368648,2368648,Exocoetus volitans,Tropical Two-wing Flying-fish,SPECIES,Animalia,Chordata,,Beloniformes,Exocoetidae,Exocoetus,flyingfishes,flyingfishes,,"[[""4-2"", ""s-12""]]"
2368887,2368887,Hyporhamphus intermedius,sea garfish,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hyporhamphus,halfbeaks,Halfbeaks,Hemiramphus intermedius,[]
2368906,2368906,Hyporhamphus quoyi,Short-nosed halfbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hyporhamphus,halfbeaks,Halfbeaks,Hemirhamphus quoyi,[]
2368949,2368949,Hemiramphus,,GENUS,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,,"[[""4-2"", ""s-13""], [""4-3"", ""s-3-1""]]"
2368955,2368955,Hemiramphus lutkei,Lutke's halbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,,"[[""4-2"", ""s-13""]]"
2368968,2368968,Hemiramphus far,spotted halfbeak,SPECIES,Animalia,Chordata,,Beloniformes,Hemiramphidae,Hemiramphus,,Halfbeaks,Hemiramphus commersoni,[]
2369201,2369201,Sphyraena,barracudas,GENUS,Animalia,Chordata,,Perciformes,Sphyraenidae,Sphyraena,,barracudas,,"[[""4-2"", ""s-13""], [""4-2"", ""s-20""], [""4-2"", ""s-30""], [""4-2"", ""s-67""], [""4-3"", ""s-3-1""]]"
2369316,2369316,Scolopsis,,GENUS,Animalia,Chordata,,Perciformes,Nemipteridae,Scolopsis,,False Snappers,,[]
2369369,2369369,Gerres,yellowfin mojarras,GENUS,Animalia,Chordata,,Perciformes,Gerreidae,Gerres,,Mojarras,,[]
2370014,2370014,Platax,,GENUS,Animalia,Chordata,,Perciformes,Ephippidae,Platax,,Spadefishes,,"[[""4-2"", ""s-41""], [""4-3"", ""s-3-1""]]"
2371535,2371535,Scarus,parrotfishes,GENUS,Animalia,Chordata,,Perciformes,Scaridae,Scarus,,parrotfishes,,"[[""4-2"", ""s-47""]]"
2374013,2374013,Thunnus albacares,Yellowfin Tuna,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Thunnus,tunas,Tunas And Mackerels,,"[[""4-2"", ""s-57""]]"
2374069,2374069,Acanthocybium solandri,Wahoo,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Acanthocybium,tetos,Tunas And Mackerels,,"[[""4-2"", ""s-57""]]"
2374086,2374086,Gymnosarda unicolor,Dogtooth Tuna,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Gymnosarda,ocean bonitos,Tunas And Mackerels,,[]
2374156,2374156,Scomber australasicus,Blue Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomber,mackerels,Tunas And Mackerels,,[]
2374191,2374191,Katsuwonus pelamis,oceanic bonito,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Katsuwonus,skipjack tunas,Tunas And Mackerels,,"[[""4-2"", ""s-56""], [""4-2"", ""s-57""], [""4-3"", ""s-3-1""], [""4-3"", ""s-5""]]"
2374232,2374232,Scomberomorus,wahoos,GENUS,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,,Tunas And Mackerels,,"[[""4-2"", ""s-57""]]"
2374255,2374255,Scomberomorus commerson,Narrow-barred Spanish Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,wahoos,Tunas And Mackerels,,"[[""4-2"", ""s-57""]]"
2374296,2374296,Scomberomorus niphonius,Japanese Spanish Mackerel,SPECIES,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,wahoos,Tunas And Mackerels,,[]
2374368,2374368,Pempheris,,GENUS,Animalia,Chordata,,Perciformes,Pempheridae,Pempheris,,Sweepers,,"[[""4-2"", ""s-38""]]"
2374521,2374521,Terapon jarbua,Tiger Perch,SPECIES,Animalia,Chordata,,Perciformes,Terapontidae,Terapon,tigerfishes,tigerperches,,"[[""4-2"", ""s-22""], [""4-2"", ""s-35""]]"
2374663,2374663,Zanclus cornutus,Moorish Idol,SPECIES,Animalia,Chordata,,Perciformes,Zanclidae,Zanclus,,Moorish Idols,Zanclus canescens,"[[""4-2"", ""s-53""], [""4-2"", ""s-53""]]"
2374822,2374822,Lethrinus,scavengers,GENUS,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,,Porgies,,"[[""4-2"", ""s-36""], [""4-3"", ""s-3-1""]]"
2374840,2374840,Lethrinus obsoletus,Orange-striped Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus ramak,[]
2374845,2374845,Lethrinus mahsena,Sky Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,,[]
2374850,2374850,Lethrinus olivaceus,Longface Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,,"[[""4-2"", ""s-67""]]"
2374857,2374857,Lethrinus miniatus,Trumpet Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinella miniatus,"[[""4-2"", ""s-67""]]"
2374864,2374864,Lethrinus genivittatus,longspine emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus nematacanthus,[]
2374870,2374870,Lethrinus microdon,Smalltooth Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus elongatus,"[[""4-2"", ""s-67""]]"
2374876,2374876,Lethrinus variegatus,Slender Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,,"[[""4-2"", ""s-36""]]"
2374879,2374879,Lethrinus xanthochilus,Yellowlip Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus xanthocheilus,[]
2374885,2374885,Lethrinus nebulosus,Spangled Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,,[]
2374898,2374898,Lethrinus harak,Thumbprint Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,,[]
2374914,2374914,Lethrinus erythracanthus,Orange-spotted Emperor,SPECIES,Animalia,Chordata,,Perciformes,Lethrinidae,Lethrinus,scavengers,Porgies,Lethrinus kallopterus,[]
2374956,2374956,Gnathodentex,,GENUS,Animalia,Chordata,,Perciformes,Lethrinidae,Gnathodentex,,Porgies,,"[[""4-2"", ""s-36""]]"
2375258,2375258,Phtheirichthys lineatus,Slender Suckerfish,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Phtheirichthys,,remoras,,[]
2375267,2375267,Remora remora,Common Remora,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Remora,,remoras,,"[[""4-2"", ""s-65""]]"
2375300,2375300,Echeneis naucrates,Live Sharksucker,SPECIES,Animalia,Chordata,,Perciformes,Echeneidae,Echeneis,slender remoras,remoras,,"[[""4-2"", ""s-65""]]"
2379541,2379541,Naso,unicornfishes,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Naso,,Surgeonfishes,,"[[""4-2"", ""s-54""], [""4-3"", ""s-3-1""]]"
2379619,2379619,Ctenochaetus,,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,,"[[""4-2"", ""s-54""]]"
2379621,2379621,Ctenochaetus striatus,Striped Bristletooth,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,,[]
2379643,2379643,Ctenochaetus hawaiiensis,Hawaiian Bristletooth,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Ctenochaetus,,Surgeonfishes,,[]
2379647,2379647,Acanthurus,tangs,GENUS,Animalia,Chordata,,Perciformes,Acanthuridae,Acanthurus,,Surgeonfishes,Teuthis,"[[""4-2"", ""s-54""], [""4-3"", ""s-3-1""]]"
2379877,2379877,Zebrasoma veliferum,Sailfin Tang,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Zebrasoma,,Surgeonfishes,,"[[""4-2"", ""s-54""]]"
2379864,2379864,Zebrasoma scopas,Blue-lined Tang,SPECIES,Animalia,Chordata,,Perciformes,Acanthuridae,Zebrasoma,,Surgeonfishes,,"[[""4-2"", ""s-54""]]"
2379945,2379945,Nemipterus,besugos,GENUS,Animalia,Chordata,,Perciformes,Nemipteridae,Nemipterus,,False Snappers,,[]
2381286,2381286,Kyphosus,rudderfishes,GENUS,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,,Pilotfishes,,[]
2381309,2381309,Kyphosus cinerascens,Blue Sea Chub,SPECIES,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,rudderfishes,Pilotfishes,,"[[""4-2"", ""s-39""]]"
2381337,2381337,Kyphosus vaigiensis,Brassy Chub,SPECIES,Animalia,Chordata,,Perciformes,Kyphosidae,Kyphosus,rudderfishes,Pilotfishes,,[]
2381882,2381882,Psenes arafurensis,Banded Driftfish,SPECIES,Animalia,Chordata,,Perciformes,Nomeidae,Psenes,,Driftfishes,,[]
2381932,2381932,Aphareus,,GENUS,Animalia,Chordata,,Perciformes,Lutjanidae,Aphareus,,Fusiliers,,[]
2381939,2381939,Coryphaena hippurus,Common Dolphinfish,SPECIES,Animalia,Chordata,,Perciformes,Coryphaenidae,Coryphaena,,Dolphinfishes,,"[[""4-2"", ""s-27""]]"
2381960,2381960,Coryphaena equiselis,Pompano Dolphinfish,SPECIES,Animalia,Chordata,,Perciformes,Coryphaenidae,Coryphaena,,Dolphinfishes,,"[[""4-2"", ""s-27""]]"
2382617,2382617,Plectorhinchus,sweetlips,GENUS,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,,grunts,,[]
2382701,2382701,Plectorhinchus chaetodonoides,Harlequin Sweetlips,SPECIES,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,sweetlips,grunts,,[]
2382732,2382732,Plectorhinchus flavomaculatus,Lemonfish,SPECIES,Animalia,Chordata,,Perciformes,Haemulidae,Plectorhinchus,sweetlips,grunts,,[]
2383002,2383002,Choerodon graphicus,Graphic tuskfish,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Choerodon,tuskfishes,Wrasse,Choerodon transversalis,[]
2382966,2382966,Choerodon anchorago,Anchor trunkfish,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Choerodon,tuskfishes,Wrasse,,[]
2384141,2384141,Halichoeres hortulanus,Checkerboard wrasse,SPECIES,Animalia,Chordata,,Perciformes,Labridae,Halichoeres,wrasses,,,[]
