ID,GBIF_ID,name,name_eng,rank,kingdom,phylum,class,order,family,genus,genus_eng,family_eng,synonyms,sections
10019437,10019437,Conus leopardus,leopard cone,SPECIES,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,cones,Cone Shell,,"[[""4-4"", ""s-4-1""]]"
1045830,1045830,Phaleria,,GENUS,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,,darkling beetles,,"[[""3-5"", ""s-4-1-7""], [""3-7"", ""s-6-1-5""], [""3-14"", ""s-3""]]"
10674903,10674903,Pampusana beccarii,Western Bronze Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba beccarii,[]
10687104,10687104,Curcuma tongii,,SPECIES,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,hidden-lily,Ginger Family,Curcuma tonga,[]
10691906,10691906,Falcataria falcata,Moluccan albizia,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Falcataria,peacocksplume,Legume Family,Albizia falcata; Albizia falcataria; Albizia moluccana; Falcataria moluccana; Paraserianthes falcataria,"[[""3-2"", ""s-3-2-2""], [""3-2"", ""s-3-2-2""], [""3-5"", ""s-5-7""], [""3-7"", ""s-3-2""], [""3-7"", ""s-3-2""], [""3-7"", ""s-3-2""], [""3-7"", ""s-3-2""], [""3-7"", ""s-3-2""], [""3-7"", ""s-7""], [""3-14"", ""s-3""]]"
10799245,10799245,Pampusana sanctaecrucis,Santa Cruz Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba sanctaecrucis,[]
10847691,10847691,Dennstaedtia,,GENUS,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Dennstaedtia,,Bracken Family,,"[[""3-10"", ""s-1""]]"
10854669,10854669,Chalcophaps stephani,Stephan's Emerald Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Chalcophaps,,Pigeons And Doves,,[]
10891503,10891503,Widjajachloa producta,,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Widjajachloa,,Grass,Nastus productus,"[[""3-13"", ""s-3-1""], [""3-13"", ""s-7-4""]]"
10891839,10891839,Pampusana stairi,Shy Ground Dove,SPECIES,Animalia,Chordata,Aves,Columbiformes,Columbidae,Pampusana,,Pigeons And Doves,Gallicolumba stairi,[]
10938771,10938771,Pinctada,,GENUS,Animalia,Mollusca,Bivalvia,Ostreida,Margaritidae,Pinctada,,,,[]
4373393,4373393,Hyotissa hyotis,Giant Foam Oyster,SPECIES,Animalia,Mollusca,Bivalvia,Ostreida,Gryphaeidae,Hyotissa,,,Pycnodonata hyotis,[]
10988361,10988361,Elaeocarpus sphaericus,,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Elaeocarpaceae,Elaeocarpus,,,,"[[""3-2"", ""s-3-1-4""], [""3-7"", ""s-4-6""]]"
