ID,Name,qualifier,Form_ID,Comment,Source,Part_Of_Speech,Taxon_IDs
1,fish,,pan-sikan-1,,Blust1995,,
2,fish,,pmp-hikan-1,,Blust1995,,
3,fish (generic),,poc-ikan-1,,,,
4,fish,,nyindrou-ni-1,,,,
5,"fish, excl. turtle, dolphin etc.",,lenkau-nik-1,,,,
6,"fish, including turtle, dolphin, whale, octopus",,penchal-nii-1,,,,
7,fish,,gitua-iga-1,,,,
8,fish,,manam-ia-1,,,,
9,fish,,takia-i-1,,,,
10,fish,,yabem-i-1,,,,
11,fish,,ubir-ian-1,,,,
12,fish,,dobu-iana-1,,,,
13,fish,,tawala-iyana-1,,,,
14,fish,,kilivila-yena-1,,,,
15,fish,,ramoaaina-ian-1,,,,
16,fish (generic),,nakanai-ia-1,,,,
17,fish,,monoalu-iana-1,,,,
18,fish (generic),,roviana-iana-1,,,,
19,"generic for all free-swimming creatures (e.g. fish, eels, stingrays, dolphins, whales, squids, jellyfish)",,marovo-iana-1,,,,
20,"a creature of the sea: fish, mollusc, crayfish, whale, squid, sea anemone, etc.",,gela-ia-1,,,,
21,fish (generic),,areare-ia-1,,,,
22,fish,,saa-ie-1,,,,
23,"fish, including sharks, rays, porpoises and possibly other main animals",,arosi-ia-1,,,,
24,fish; any sea creature,,lau-ia-1,"Akimichi 1978:307 includes e.g. dugong, porpoise and whale",,,
25,"fish, porpoises, whales",,kwaio-ia-1,,,,
26,fish,,mota-ia-1,,,,
27,"fish, including whales and porpoises but not eels, seasnakes, octopus, squid, cuttlefish jellyfish or balolo worms",,raga-ie-1,,,,
28,"typical fishes, rays and dolphins but not sharks and whales (which are grouped together), eels or cephalopods",,ambae-ige-1,"Hyslop, pers. comm.",,,
29,fish,,nguna-naika-1,,,,
30,fish,,nemi-nuk-1,,,,
31,fish,,cemuhi-ikua-1,,,,
32,"fish: all swimming marine creatures including turtles, dugong, whales and porpoises, but not squid or octopus",,kiribati-ika-1,,,,
33,fish,,woleaian-ixa-1,,,,
34,general name for fish,,chuukese-ik-1,,,,
35,"fish, porpoises, whales, but not squid",,puluwatese-yikyikan-1,,,,
36,"fish: including also turtles, whales, alligators, etc., but not crabs, shellfish, etc.",,rotuman-ia-1,,,,
37,"fish, including eels, cetaceans, turtles and sometimes cephalopods",i,wayan-ika-1,,,,
38,true fish,2,wayan-ika-1,,,,
39,"fish, including also eels, turtles, cetaceans, cephalopods",,bauanfijian-ika-1,,,,
40,"fish, including also turtles (_fonu_) and whales (_tofuaʔa_) but not eels, cuttle-fish or jelly-fish",,tongan-ika-1,,,,
41,"fish, including eels, turtles, cetaceans, cephalopods",,niuatoputapu-ika-1,,,,
42,"fish, whales and dolphins",,niuean-ika-1,,,,
43,"fish, turtle",,rennellese-ika-1,,,,
44,fish (including turtles and whales),,samoan-ia-1,,,,
45,"general category with reference to fish, but including allied creatures like turtle, cetaceans",,tikopia-ika-1,,,,
46,"fish, whale, porpoise but not turtles, eels or octopus",,ifiramele-ika-1,,,,
47,fish (generic),,rarotongan-ika-1,,,,
48,"fish, including porpoise, whale, turtle, octopus",,tahitian-ia-1,,,,
49,fish,,maori-ika-1,,,,
50,"fish or any marine animal, as eel, oyster, crab, whale; meat or any flesh food",,hawaiian-ia-1,,,,
51,shark (generic),,poc-bakewa-1,,,,
52,shark,,mussau-baio-1,,,,
53,"shark, generic. Used as first element in compound terms for kinds of",,loniu-pew-1,,,,
54,shark,,nyindrou-beeu-1,,,,
55,shark,,titan-peu-1,,,,
56,shark (generic),,lenkau-paheu-1,,,,
57,shark,,yabem-yaka-1,,,,
58,shark,,kove-vaewa-1,,,,
59,shark,,bariai-bakewa-1,,,,
60,shark,,wogeo-bagewa-1,_g_ for †_k_,,,
61,shark,,wedau-vaewa-1,,,,
62,shark,,duau-baewa-1,,,,
63,shark (generic),,misima-baewa-1,,,,
64,shark,,sinaugoro-baewa-1,,,,
65,shark,,patpatar-baiawa-1,,,,
66,shark,,lungga-baea-1,,,,
67,"k.o. shark, basking shark",,gela-baea-1,,,,
68,"_Carcharhinus melanopterus_, blacktip reef shark",,gela-bakebake-1,,,,2417981
69,general term for shark,i,lau-baeka-1,,,,
70,"any dreaded animal, crocodile, swordfish, poisonous snake etc",2,lau-baeka-1,,,,
71,shark. The shark was sacred. Men had familiar sharks which killed their enemies. A man and a shark sometimes exchanged souls,,arosi-baewa-1,,,,
72,shark,1,saa-paewa-1,,,,
73,"generic term for all sea-ghosts, incarnations where sharks or swordfish or gropers are in question",2,saa-paewa-1,,,,
74,shark (generic),,kwaio-baeka-1,,,,
75,shark (generic),,kahua-pagewa-1,,,,
76,shark,,loh-pewa-1,,,,
77,shark,,mota-paoa-1,,,,
78,Carcharhinidae spp.,,mwotlap-bao-1,,,,
79,shark,,namakir-bake-1,,,,
80,shark,,southefate-pako-1,,,,
81,shark,,ura-ubeu-1,,,,
82,shark,,anejom-nepev-1,,,,
83,shark (generic),,kiribati-bakoa-1,,,,
84,shark,,marshallese-pako-1,,,,
85,shark (generic),,ponapean-pako-1,,,,
86,shark,,woleaian-paxow-1,,,,
87,k.o. fish that accompanies sharks,,pcp-bakewa-1,,,,
88,remora or sucking fish,,bauanfijian-bakewa-1,,,,
89,_Carangoides orthogrammus_,,ppn-pakewa-1,Hooper: _Carangoides orthogrammus_,,,5210572
90,"fish sp., _Carangoides orthogrammus_",,tuvalu-pakeva-1,,,,5210572
91,_Carangoides orthogrammus_,,pukapukan-pakeva-1,,,,5210572
92,name of principal sea deity,,takuu-pakeva-1,,,,
93,"black-spot jack, _Carangoides orthogrammus_",,tokelauan-pakeva-1,,,,5210572
94,k.o. fish,,tuamotuan-pakeva-1,,,,
95,shark,,burna-boeboe-1,,,,
96,k.o. shark,,poc-maewa-1,,,,
97,"suckerfish: _Phtheirichthys lineatus_, _Echeneis naucrates_, _Remora remora_",,motu-maoa-1,,,,2375258 2375267 2375300
98,shark,,tomoip-magel-1,,,,
99,"common shark, _Carcharinus_ sp.",,tolai-mo-1,,,,
100,sp. of small shark,,toabaita-maeo-1,,,,
101,k.o. sea snake,,lau-maeo-1,"also _baekʷa_ ‘shark’, _baekʷa i asi_ ‘sea snake’",,,
102,general term for shark spp.,,ppn-mao-1,,Hooper1994,,
103,shark (generic),,niuean-mao-1,,,,
104,shark (generic),,pukapukan-mao-1,,,,
105,shark (generic),,rennellese-mao-1,,,,
106,k.o. shark,,samoan-mao-1,,,,
107,shark,,tuvalu-mao-1,,,,
108,shark,,tokelauan-mao-1,,,,
109,grey shark,,kapingamarangi-moohenua-1,,,,
110,shark (generic),,tikopia-mao-1,,,,
111,shark (generic),,tahitian-mao-1,,,,
112,shark (generic),,maori-mao-1,,,,
113,shark (generic),,hawaiian-mano-1,,,,
114,k.o. shark,,puluwatese-mowur-1,,,,
115,k.o. shark,,poc-karawa-1,,,,
116,shark,,gitua-arawa-1,,,,
117,shark,,kove-kalua-1,borrowed from Bali below?,,,
118,generic for several shark spp.,,mutu-korau-1,,,,
119,"shark, general name",,dobu-kalawa-1,,,,
120,shark,,muyuw-kaw-1,,,,
