ID,Name,Description,Category,Comment,Cognateset_ID,CognatesetReference_ID,Chapter_ID
1-9-3-1-250-POc-siba-a-1,,,,,1-9-3-1-250-POc-siba-a,1-9-3-1-250-POc-siba-a,1-9
1-9-3-2-250-POc-ppasi-a-1,,,,,1-9-3-2-250-POc-ppasi-a,1-9-3-2-250-POc-ppasi-a,1-9
1-9-3-2-251-POc-poka-a-1,,,,,1-9-3-2-251-POc-poka-a,1-9-3-2-251-POc-poka-a,1-9
1-9-3-5-254-POc-kolo-a-1,,,,,1-9-3-5-254-POc-kolo-a,1-9-3-5-254-POc-kolo-a,1-9
1-9-3-7-258-POc-tosi-a-1,,,,,1-9-3-7-258-POc-tosi-a,1-9-3-7-258-POc-tosi-a,1-9
1-9-3-8-260-POc-ppolaq-a-1,,,,,1-9-3-8-260-POc-ppolaq-a,1-9-3-8-260-POc-ppolaq-a,1-9
1-9-3-8-261-POc-botak-a-1,,,,,1-6-5-5-167-POc-potak-a,1-9-3-8-261-POc-botak-a,1-9
1-9-3-8-261-POc-kakas-a-1,,,,,1-9-3-8-261-POc-kakas-a,1-9-3-8-261-POc-kakas-a,1-9
1-9-3-9-263-POc-sika-a-1,,,,,1-8-2-None-215-POc-sika-a,1-9-3-9-263-POc-sika-a,1-9
1-9-4-2-266-POc-buru-a-1,,,,,1-9-4-2-266-POc-buru-a,1-9-4-2-266-POc-buru-a,1-9
1-9-5-2-276-PEOc-porak-a-1,,,,,1-9-5-2-276-PEOc-porak-a,1-9-5-2-276-PEOc-porak-a,1-9
1-9-6-1-278-POc-saput-a-1,,,,,1-9-6-1-278-POc-saput-a,1-9-6-1-278-POc-saput-a,1-9
1-9-6-1-279-POc-sapaki-a-1,,,,,1-9-6-1-279-POc-sapaki-a,1-9-6-1-279-POc-sapaki-a,1-9
1-9-6-1-279-POc-paki-a-1,,,,,1-9-6-1-279-POc-sapaki-a,1-9-6-1-279-POc-paki-a,1-9
1-9-7-None-282-POc-ppippit-a-1,,,,,1-6-5-8-169-POc-ppippit-a,1-9-7-None-282-POc-ppippit-a,1-9
1-9-7-None-283-PNNG-ppisak-a-1,,,,,1-9-7-None-283-PNNG-ppisak-a,1-9-7-None-283-PNNG-ppisak-a,1-9
1-9-8-None-286-POc-piri-a-1,,,,,1-4-3-2-84-POc-piri-a,1-9-8-None-286-POc-piri-a,1-9
1-9-8-None-287-PEOc-piripiri-a-1,,,,,1-4-3-2-84-PEOc-piripiri-a,1-9-8-None-287-PEOc-piripiri-a,1-9
1-9-8-None-287-POc-piro-a-1,,,,,1-9-8-None-287-POc-piro-a,1-9-8-None-287-POc-piro-a,1-9
1-9-8-None-287-PEOc-pilos-a-1,,,,,1-9-8-None-287-PEOc-pilos-a,1-9-8-None-287-PEOc-pilos-a,1-9
1-9-8-None-289-PWOc-buogo-a-1,,,,,1-9-8-None-289-PWOc-buogo-a,1-9-8-None-289-PWOc-buogo-a,1-9
1-9-8-None-289-POc-kilis-a-1,,,,,1-9-8-None-289-POc-kilis-a,1-9-8-None-289-POc-kilis-a,1-9
1-9-11-None-294-POc-sokot-a-1,,,,,1-5-5-2-122-POc-sokot-a,1-9-11-None-294-POc-sokot-a,1-9
2-3-2-1-40-POc-panua-a-1,Examples of phrasal expressions containing reflexes of _*panua_,,,,1-3-3-7-62-POc-panua-a,2-3-2-1-40-POc-panua-a,2-3
2-3-2-1-40-POc-panua-a-2,"Other examples refer to more planetary aspects, such as the day/night cycle and weather",,,,1-3-3-7-62-POc-panua-a,2-3-2-1-40-POc-panua-a,2-3
2-3-2-1-41-POc-tanoq-a-1,"Certain conventional phrases, such as the following, indicate the semantic range of reflexes of _*tanoq_",,,,1-5-4-None-119-POc-tanoq-a,2-3-2-1-41-POc-tanoq-a,2-3
2-3-3-1-44-POc-bbiker-a-1,the following Huon Gulf terms:,,,,2-3-3-1-44-POc-bbiker-a,2-3-3-1-44-POc-bbiker-a,2-3
2-3-4-2-52-POc-salil-a-1,,,,,2-3-4-2-52-POc-salil-a,2-3-4-2-52-POc-salil-a,2-3
2-3-5-2-57-POc-gkopu-a-1,,,,,2-3-5-2-57-POc-gkopu-a,2-3-5-2-57-POc-gkopu-a,2-3
2-3-8-2-72-POc-aliton-a-1,,,,,2-3-8-2-72-POc-aliton-a,2-3-8-2-72-POc-aliton-a,2-3
2-3-8-2-74-PEOc-malala-a-1,,,,,2-3-8-2-74-PEOc-malala-a,2-3-8-2-74-PEOc-malala-a,2-3
2-3-8-3-76-POc-kgabu-a-1,,,,,2-3-8-3-76-POc-kgabu-a,2-3-8-3-76-POc-kgabu-a,2-3
2-3-8-3-77-POc-bula-a-1,,,,,2-3-8-3-77-POc-bula-a,2-3-8-3-77-POc-bula-a,2-3
2-3-8-4-79-PCP-kobulu-a-1,,,,,2-3-8-4-79-PCP-kobulu-a,2-3-8-4-79-PCP-kobulu-a,2-3
2-3-8-4-79-POc-mayaniapi-a-1,"the following, where there is semantic correspondence even though one or more of the elements does not reflect the POc forms:",,,,2-3-8-4-79-POc-mayaniapi-a,2-3-8-4-79-POc-mayaniapi-a,2-3
2-3-8-4-80-PEOc-maka-a-1,,,,,2-3-8-4-80-PEOc-maka-a,2-3-8-4-80-PEOc-maka-a,2-3
2-3-9-2-83-POc-drikedrike-a-1,,,,,2-3-9-2-83-POc-drikedrike-a,2-3-9-2-83-POc-drikedrike-a,2-3
2-4-2-2-95-PEOc-tasikmate-a-1,,,,,2-4-2-2-95-PEOc-tasikmate-a,2-4-2-2-95-PEOc-tasikmate-a,2-4
2-4-2-4-100-POc-bayau-a-1,,,,,2-4-2-4-100-POc-bayau-a,2-4-2-4-100-POc-bayau-a,2-4
2-4-2-5-101-POc-busa-a-1,,,,,2-4-2-5-101-POc-busa-a,2-4-2-5-101-POc-busa-a,2-4
2-6-5-2-171-POc-buluq-a-1,,,,,2-6-5-2-171-POc-buluq-a,2-6-5-2-171-POc-buluq-a,2-6
2-6-5-2-175-PChk-mailapa-a-1,,,,,2-6-5-2-175-PChk-mailapa-a,2-6-5-2-175-PChk-mailapa-a,2-6
2-6-5-2-177-PChk-ukulik-a-1,,,,,2-6-5-2-177-PChk-ukulik-a,2-6-5-2-177-PChk-ukulik-a,2-6
2-7-2-None-197-POc-lapuat-a-1,,,,,2-7-2-None-197-POc-lapuat-a,2-7-2-None-197-POc-lapuat-a,2-7
2-7-5-1-218-POc-rabar-a-1,,,,,2-7-5-1-218-POc-rabar-a,2-7-5-1-218-POc-rabar-a,2-7
2-7-5-1-219-POc-tonuq-a-1,,,,,2-7-5-1-219-POc-tonuq-a,2-7-5-1-219-POc-tonuq-a,2-7
2-8-2-2-242-POc-atas-a-1,,,,,2-8-2-2-242-POc-atas-a,2-8-2-2-242-POc-atas-a,2-8
2-8-2-2-244-POc-liwa-a-1,,,,,2-8-2-2-244-POc-liwa-a,2-8-2-2-244-POc-liwa-a,2-8
2-8-2-3-254-POc-papara-a-1,,,,,2-8-2-3-254-POc-papara-a,2-8-2-3-254-POc-papara-a,2-8
2-8-2-3-255-POc-bali-a-1,,,,,2-8-2-3-255-POc-bali-a,2-8-2-3-255-POc-bali-a,2-8
2-8-2-3-263-POc-takuru-a-1,,,,,2-8-2-3-263-POc-takuru-a,2-8-2-3-263-POc-takuru-a,2-8
2-9-3-3-327-POc-naboi-a-1,,,,,2-9-3-3-327-POc-naboi-a,2-9-3-3-327-POc-naboi-a,2-9
2-9-3-3-328-POc-irapi-a-1,,,,,2-9-3-3-328-POc-irapi-a,2-9-3-3-328-POc-irapi-a,2-9
2-9-3-3-330-POc-maraqani-a-1,,,,,2-9-3-3-330-POc-maraqani-a,2-9-3-3-330-POc-maraqani-a,2-9
3-2-5-None-35-POc-waruwaru-a-1,,,,,3-2-5-None-35-POc-waruwaru-a,3-2-5-None-35-POc-waruwaru-a,3-2
3-2-6-1-41-POc-kana-a-1,,,,,3-2-6-1-41-POc-kana-a,3-2-6-1-41-POc-kana-a,3-2
3-4-2-4-99-POc-wakar-a-1,,,,,3-4-2-4-99-POc-wakar-a,3-4-2-4-99-POc-wakar-a,3-4
3-4-2-11-123-POc-buliut-a-1,,,,,3-4-2-11-123-POc-buliut-a,3-4-2-11-123-POc-buliut-a,3-4
3-5-3-2-133-POc-qateqate-a-1,,,,,3-5-3-2-133-POc-qateqate-a,3-5-3-2-133-POc-qateqate-a,3-5
3-5-4-1-137-POc-biribiri-a-1,,,,,3-5-4-1-137-POc-biribiri-a,3-5-4-1-137-POc-biribiri-a,3-5
3-5-4-1-140-PEOc-pakalo-a-1,,,,,3-5-4-1-140-PEOc-pakalo-a,3-5-4-1-140-PEOc-pakalo-a,3-5
3-5-4-2-147-POc-ware-a-1,,,,,3-5-4-2-147-POc-ware-a,3-5-4-2-147-POc-ware-a,3-5
3-5-5-3-154-POc-tamanu-a-1,,,,,3-5-5-3-154-POc-tamanu-a,3-5-5-3-154-POc-tamanu-a,3-5
3-5-5-3-155-POc-dalo-a-1,,,,,3-5-5-3-155-POc-dalo-a,3-5-5-3-155-POc-dalo-a,3-5
