ID,Cfset_ID,Form_ID,Comment,Source,Footnote_Number,Ordinal,Gloss_IDs,Subgroup
4-2-4-None-30-POc-bakewa-a-1-1,4-2-4-None-30-POc-bakewa-a-1,burna-boeboe-1,,,,1,95,
4-2-4-None-31-POc-maewa-a-1-1,4-2-4-None-31-POc-maewa-a-1,puluwatese-mowur-1,,,,1,114,
4-2-4-None-32-PCP-qaso-a-1-1,4-2-4-None-32-PCP-qaso-a-1,taiof-kas-1,,,,1,144,
4-2-4-None-32-PCP-qaso-a-1-2,4-2-4-None-32-PCP-qaso-a-1,halia-kosoro-1,,,,2,145,
4-2-6-None-36-POc-kuro-a-1-1,4-2-6-None-36-POc-kuro-a-1,kove-koha-1,,,,1,227,
4-2-6-None-37-POc-pupulan-a-1-1,4-2-6-None-37-POc-pupulan-a-1,mokilese-pallau-1,,,,1,241,
4-2-7-None-40-PEOc-buma-a-1-1,4-2-7-None-40-PEOc-buma-a-1,neveei-nabu-1,,,,1,331,
4-2-7-None-40-PEOc-buma-a-1-2,4-2-7-None-40-PEOc-buma-a-1,nati-nipu-1,,,,2,332,
4-2-7-None-40-PEOc-buma-a-1-3,4-2-7-None-40-PEOc-buma-a-1,southwestbay-nebu-1,,,,3,333,
4-2-7-None-40-PEOc-buma-a-1-4,4-2-7-None-40-PEOc-buma-a-1,nese-nabuo-1,,,,4,334,
4-2-7-None-40-PEOc-buma-a-1-5,4-2-7-None-40-PEOc-buma-a-1,southefate-napum-1,,,,5,335,
4-2-7-None-40-PEOc-buma-a-1-6,4-2-7-None-40-PEOc-buma-a-1,anejom-naticpom-1,,,,6,336,
4-2-7-None-40-PEOc-buma-a-1-7,4-2-7-None-40-PEOc-buma-a-1,nyelayu-bume-1,,,,7,337,
4-2-7-None-40-PEOc-buma-a-1-8,4-2-7-None-40-PEOc-buma-a-1,ba-bima-1,,,,8,338,
4-2-8-None-41-POc-qawaq-a-1-1,4-2-8-None-41-POc-qawaq-a-1,arosi-awa-1,,,,1,363,
4-2-8-None-41-POc-qawaq-a-1-2,4-2-8-None-41-POc-qawaq-a-1,kiribati-tawa-1,,,,2,364,
4-2-11-3-45-PROc-bonu-a-1-1,4-2-11-3-45-PROc-bonu-a-1,ubir-bonubonu-1,,,,1,463,
4-2-11-5-46-PROc-maraya-a-1-1,4-2-11-5-46-PROc-maraya-a-1,arosi-marea-1,,,,1,490,
4-2-11-5-47-POc-kqasuli-a-1-1,4-2-11-5-47-POc-kqasuli-a-1,bugotu-kasa-1,,,,1,496,
4-2-11-5-47-POc-kqasuli-a-1-2,4-2-11-5-47-POc-kqasuli-a-1,kiribati-kurukuru-1,,,,2,497,
4-2-11-5-47-POc-tdoloq-a-1-1,4-2-11-5-47-POc-tdoloq-a-1,tikopia-toro-1,,,,1,510,
4-2-11-5-47-POc-tdoloq-a-1-2,4-2-11-5-47-POc-tdoloq-a-1,samoan-tolo-1,,,,2,511,
4-2-11-5-48-PEOc-pulewa-a-1-1,4-2-11-5-48-PEOc-pulewa-a-1,bunama-papalewa-1,,,,1,519,
4-2-11-5-48-PEOc-pulewa-a-1-2,4-2-11-5-48-PEOc-pulewa-a-1,bauanfijian-bulewa-1,,,,2,520,
4-2-13-None-50-POc-makor-a-1-1,4-2-13-None-50-POc-makor-a-1,mokilese-malak-1,,,,1,569,
4-2-13-None-51-POc-panapa-a-1-1,4-2-13-None-51-POc-panapa-a-1,titan-cinap-1,,,,1,613,
4-2-14-None-53-POc-taraqan-a-1-1,4-2-14-None-53-POc-taraqan-a-1,rennellese-tagae-1,,,,1,659,
4-2-14-None-55-POc-jori-a-1-1,4-2-14-None-55-POc-jori-a-1,teop-hori-1,,,,1,693,
4-2-14-None-55-POc-jori-a-1-2,4-2-14-None-55-POc-jori-a-1,maringe-sori-1,,,,2,694,
4-2-14-None-55-POc-jori-a-1-3,4-2-14-None-55-POc-jori-a-1,marovo-hori-1,,,,3,695,
4-2-16-None-56-POc-puqaya-a-1-1,4-2-16-None-56-POc-puqaya-a-1,gela-hinapinivua-1,,,,1,716,
4-2-18-None-59-POc-kqaruas-a-1-1,4-2-18-None-59-POc-kqaruas-a-1,halia-karua-1,,,,1,779,
