ID,Description,Source,Name,Form_ID,Comment,Doubt,Level
4-2-3-None-28-POc-ikan-a,fish,,Sikan,pan-sikan-1,,,PAn
4-2-4-None-30-POc-bakewa-a,shark (generic),,bakewa,poc-bakewa-1,,,POc
4-2-4-None-31-POc-maewa-a,k.o. shark,,maŋewa,poc-maewa-1,,,POc
4-2-4-None-32-POc-karawa-a,k.o. shark,,kʷarawa,poc-karawa-1,,,POc
4-2-4-None-32-PCP-qaso-a,k.o. large shark,,qaso,pcp-qaso-1,,,PCP
4-2-5-None-34-POc-pari-a,stingray,,paRiS,pan-paris-1,,,PAn
4-2-5-None-35-POc-parimanuk-a,? ray,,paRih manuk,pmp-parihmanuk-1,,,PMP
4-2-6-None-36-POc-kuro-a,edible marine fish,,kuRaw,pmp-kuraw-1,,,PMP
4-2-6-None-37-POc-pupulan-a,"a white fish, _Megalops cyprinoides_",,bulan-bulan,pmp-bulanbulan-1,,,PMP
4-2-7-None-38-POc-paya-a,"k.o. small fish, sardine or anchovy",,paya,pmp-paya-1,,,PMP
4-2-7-None-38-POc-jaja-a,"small fish, herring or anchovy",,jaja,poc-jaja-1,,,POc
4-2-7-None-38-POc-tanipa-a,"Sardinella spp., sardine",,tanipa,poc-tanipa-1,,,POc
4-2-7-None-39-PCP-niva-a,_Sardinella_ spp.,,niva,pcp-niva-1,,,PCP
4-2-7-None-39-POc-karu-a,"_Sardinella_, sardine",,kʷaru,poc-karu-1,,,POc
4-2-7-None-40-POc-kepa-a,"Clupeidae, probably sardine sp.",,kepʷa,poc-kepa-1,,,POc
4-2-7-None-40-POc-saiwara-a,"Clupeidae, sardine or herring",,"s(a,i)waRa",poc-saiwara-1,,,POc
4-2-7-None-40-PEOc-buma-a,"k.o. fish, possibly sardine",,buma,peoc-buma-1,,,PEOc
4-2-8-None-41-POc-qawaq-a,"_Chanos chanos_, milkfish",,"qawa, qawan",pmp-qawaqawan-1,,,PMP
4-2-10-None-42-POc-kabora-a,"_Plotosus_ spp., catfish",,kaboRa,poc-kabora-1,,,POc
4-2-11-1-43-POc-tuna-a,freshwater eel,,tuNa,pan-tuna-1,,,PAn
4-2-11-2-44-POc-labasji-a,moray eel,,"[la]bʷa(s,j)i",poc-labasji-1,,,POc
4-2-11-2-44-PPn-pusi-a,"sea eel generic, _Gymnothorax_ spp.",,pusi,ppn-pusi-1,,,PPn
4-2-11-2-44-POc-balup-a,"k.o. eel, moray eel ?",,bʷalup,poc-balup-1,,,POc
4-2-11-2-45-PROc-dabea-a,"_Gymnothorax_, moray eel",,dābea,proc-dabea-1,,,PROc
4-2-11-3-45-PROc-bonu-a,"k.o. eel, probably conger",,bonu,proc-bonu-1,,,PROc
4-2-11-3-46-PROc-baku-a,conger eel,,baku,proc-baku-1,,,PROc
4-2-11-5-46-POc-malayo-a,"sea eel, possibly generic",,malayo,poc-malayo-1,,,POc
4-2-11-5-46-PROc-maraya-a,sea eel,,maraya,proc-maraya-1,,,PROc
4-2-11-5-47-POc-kqasuli-a,"Anguillidae, freshwater eel",,kasuli,pmp-kasuli-1,,,PMP
4-2-11-5-47-POc-tdoloq-a,k.o. eel,,"(t,d)oloq",poc-tdoloq-1,,,POc
4-2-11-5-48-PEOc-pulewa-a,k.o. eel,,pulewa,peoc-pulewa-1,,,PEOc
4-2-12-None-48-POc-magarut-a,"Exocoetidae, flying fish",,mʷagaRut,poc-magarut-1,,,POc
4-2-13-None-49-POc-rije-a,"_Hemiramphus_, halfbeak",,Rije,poc-rije-1,,,POc
4-2-13-None-50-POc-sipa-a,_Hemiramphus_ spp.,,sipa,poc-sipa-1,,,POc
4-2-13-None-50-POc-makor-a,"_Hemiramphus_, garfish",,mʷakoR,poc-makor-1,,,POc
4-2-13-None-51-POc-saku-a,needlefish,,saku,pmp-saku-1,,,PMP
4-2-13-None-51-POc-panapa-a,garfish and needlefish taxon,,panapa,poc-panapa-1,,,POc
4-2-13-None-52-POc-sao-a,k.o. long tom,,sao,poc-sao-1,,,POc
4-2-14-None-53-POc-taraqan-a,"_Holocentrus_ spp., squirrelfish",,taRaqan,pmp-taraqan-1,,,PMP
4-2-14-None-54-POc-kururu-a,"_Myripristis_ spp., squirrelfish",,kuru[ru],poc-kururu-1,,,POc
4-2-14-None-55-POc-jori-a,"squirrelfish, possibly generic",,jori,poc-jori-1,,,POc
4-2-14-None-55-PROc-malau-a,"squirrelfish, possibly generic for a number of spp.",,mʷalau,proc-malau-1,,,PROc
4-2-16-None-56-POc-puqaya-a,"_Hippocampus_ sp., seahorse",,buqaya,pmp-buqaya-1,,,PMP
4-2-18-None-58-POc-kanase-a,mullet,,kanasay,pmp-kanasay-1,,,PMP
4-2-18-None-59-POc-kqaruas-a,"young growth stage of mullet, _Neomyxus chaptalii_",,qaRuas,pmp-qaruas-1,,,PMP
4-2-18-None-60-POc-karapa-a,k.o. fish,,kaRapa,poc-karapa-1,,,POc
4-2-19-None-60-POc-sarara-a,"sardine-like fish, possibly Atherinidae",,sara(Ra),poc-sarara-1,,,POc
4-2-20-None-61-POc-qonos-a,"mature _Sphyraena_ spp., possibly generic for all barracuda",,qonos,poc-qonos-1,,,POc
4-2-20-None-62-POc-qalu-a,barracuda,,qalu,pmp-qalu-1,,,PMP
4-2-20-None-62-POc-malisa-a,barracuda,,malisa,poc-malisa-1,,,POc
4-2-20-None-63-POc-barawarddrraq-a,"_Sphyraena_ sp., possibly _Sphyraena jello_, the slender or pickhandle sea pike",,"bʷara-wa(r,d,dr,R)a(q)",poc-barawarddrraq-1,,,POc
4-2-20-None-63-POc-qutur-a,"_Sphyraena_ sp., barracuda",,qutur,poc-qutur-1,,,POc
4-2-20-None-63-PROc-moto-a,k.o. fish,,moto,proc-moto-1,,,PROc
4-2-20-None-64-PMic-tarawa-a,barracuda,,tarawa,pmic-tarawa-1,,,PMic
4-2-22-None-64-POc-kurapu-a,_Epinephelus_ sp.,,kuRapu,pmp-kurapu-1,,,PMP
4-2-22-None-65-POc-koto-a,"kind of striped or spotted marine fish, _Epinephelus_ sp.",,keRteŋ,pmp-kerte-1,,,PMP
4-2-22-None-65-POc-baba-a,fish sp.,,baŋbaŋ,pmp-baba-1,,,PMP
4-2-22-None-66-POc-donou-a,"spotted rock cod, taxon including Cephalopholis and _Plectropomus_ spp.",,"don(o,u)",poc-donou-1,,,POc
4-2-22-None-66-POc-kawakawa-a,"rock cod, grouper",,kawa-kawa,poc-kawakawa-1,,,POc
4-2-22-None-67-POc-kalika-a,"Epinephelidae, rock cod",,kalika,poc-kalika-1,,,POc
4-2-26-None-69-POc-qatule-a,"_Trachurops crumenophthalmus_, the big-eyed scad",,qatulay,pmp-qatulay-1,,,PMP
4-2-26-None-69-POc-pilu-a,"_Caranx_ spp., trevally",,bilu[bilu],pmp-bilubilu-1,,,PMP
4-2-26-None-70-POc-qulua-a,carangid,,qulua,poc-qulua-1,,,POc
4-2-26-None-70-POc-mamula-a,carangid,,mamula,poc-mamula-1,,,POc
4-2-26-None-71-POc-laci-a,dolphinfish,,lajih,pmp-lajih-1,,,PMP
4-2-26-None-72-POc-kamari-a,"_Elagatis bipinnulata_, rainbow runner",,kamaRi,poc-kamari-1,,,POc
4-2-26-None-72-PPn-mala-a,k.o. fish,,mala,ppn-mala-1,,,PPn
4-2-26-None-72-PEOc-taliku-a,Carangid,,taliku,peoc-taliku-1,,,PEOc
4-2-26-None-72-PROc-lubo-a,_Caranx_ spp.,,lubo,proc-lubo-1,,,PROc
4-2-27-None-73-POc-palata-a,fish sp.,,palata,pmp-palata-1,,,PMP
4-2-29-None-74-POc-sulik-a,"_Caesio_ sp., fusilier",,sulig,pmp-sulig-1,,,PMP
4-2-30-None-75-POc-qutur-a,green job fish,,qutur,pmp-qutur-1,,,PMP
4-2-30-None-76-POc-bapwa-a,"_Lutjanus_ spp., snapper",,"bʷa[p,w]a",poc-bapwa-1,,,POc
4-2-30-None-76-POc-sabutu-a,snapper (_Lutjanus_ sp. or _Lutjanus_ spp.) or emperor (_Lethrinus_ sp. or _Lethrinus_ spp.),,sabutu,poc-sabutu-1,,,POc
4-2-30-None-77-POc-taraqea-a,"_Lutjanus_ spp., snapper, sea perch",,ta(Ra)qea,poc-taraqea-1,,,POc
4-2-30-None-77-POc-tasiwa-a,_Lutjanus_ spp.,,tasiwa,poc-tasiwa-1,,,POc
4-2-30-None-77-POc-paea-a,red _Lutjanus_ spp.,,"p(a,e)ŋa",poc-paea-1,,,POc
4-2-30-None-78-POc-kiepv-a,"_Lutjanus_ spp., sea perch",,"k(i,e)pV",poc-kiepv-1,,,POc
4-2-30-None-78-PPn-palu-a,oilfish; deep-sea snapper,,palu,ppn-palu-1,,,PPn
4-2-31-None-79-POc-marotv-a,_Nemipterus_ spp.,,marotV,poc-marotv-1,,,POc
4-2-33-None-79-PROc-matu-a,"_Gerres_ spp., silver biddy",,matu,proc-matu-1,,,PROc
4-2-34-None-80-POc-kqumutur-a,"_Plectorhinchus_ spp., sweetlips",,"(k,q)umutuR",poc-kqumutur-1,,,POc
4-2-34-None-80-POc-lau-a,"_Plectorhinchus_ spp., banded sweetlips",,lau,poc-lau-1,,,POc
4-2-36-None-81-POc-kulabo-a,"_Gnathodentex_ spp., _Scolopsis_ spp.",,kulambar,pmp-kulambar-1,,,PMP
4-2-36-None-81-POc-kasika-a,"large emperor, _Lethrinus_ sp.",,kasika,poc-kasika-1,,,POc
4-2-36-None-82-POc-surup-a,_Lethrinus_ spp.,,surup,poc-surup-1,,,POc
4-2-36-None-82-POc-susul-a,_Lethrinus_ spp.,,susul,poc-susul-1,,,POc
4-2-36-None-83-POc-okaoka-a,"k.o. fish, possibly _Lethrinus_ spp.",,[oka]oka,poc-okaoka-1,,,POc
4-2-36-None-83-POc-kora-a,"emperor, Lethrinidae",,koraŋ,poc-kora-1,,,POc
4-2-36-None-83-POc-kawao-a,"k.o. fish, probably _Lethrinus_ sp.",,kawaŋo,poc-kawao-1,,,POc
4-2-36-None-83-PEOc-nuosa-a,_Lethrinus_ sp.,,"n(u,o)sa",peoc-nuosa-1,,,PEOc
4-2-37-None-84-POc-tiqo-a,goatfish,,Ciqaw,pan-ciqaw-1,,,PAn
4-2-37-None-85-PPn-wete-a,"k.o. goatfish, including _Mulloidichthys_",,wete,ppn-wete-1,,,PPn
4-2-37-None-85-POc-macasi-a,goatfish,,mʷacasi,poc-macasi-1,,,POc
4-2-37-None-85-POc-suasua-a,goatfish,,sua-sua,poc-suasua-1,,,POc
4-2-37-None-86-POc-kalo-a,growth stage of goatfish,,kalo,poc-kalo-1,,,POc
4-2-37-None-86-POc-sapulu-a,goatfish spp.,,sapulu,poc-sapulu-1,,,POc
4-2-37-None-86-PWOc-pirriturrs-a,k.o. goatfish,,"pʷi(r,R)itu(r,R,s)",pwoc-pirriturrs-1,,,PWOc
4-2-39-None-87-POc-makaour-a,"Kyphosidae, drummer",,"maka(o,u)r",poc-makaour-1,,,POc
4-2-39-None-87-PROc-raenuae-a,"_Kyphosus_, rudderfish",,"r(a,e)nu(a,e)",proc-raenuae-1,,,PROc
4-2-41-None-88-POc-bunar-a,batfish,,buna,pmp-buna-1,,,PMP
4-2-42-None-89-POc-bebek-a,"generic for Chaetodontidae, coralfish and butterflyfish",,bebek,poc-bebek-1,,,POc
4-2-42-None-89-POc-tipitipi-a,Chaetodontidae,,tipi-tipi,poc-tipitipi-1,,,POc
4-2-43-None-90-POc-buriburi-a,"k.o. fish, possibly angelfish",,buRi-buRi,poc-buriburi-1,,,POc
4-2-44-None-90-POc-mutu-a,damselfish,,mutu,pmp-mutu-1,,,PMP
4-2-44-None-91-POc-takutaku-a,"small coral fish, damselfish or similar",,taku-takuŋ,poc-takutaku-1,,,POc
4-2-46-None-92-POc-mamin-a,"wrasse, _Cheilinus_ spp.",,mamin,pmp-mamin-1,,,PMP
4-2-46-None-93-POc-taaparr-a,"large wrasse, including _Cheilinus_ sp.",,"taŋapa(R,r)",poc-taaparr-1,,,POc
4-2-46-None-93-POc-babu-a,"_Cheilinus_ spp., Maori wrasse",,babu,poc-babu-1,,,POc
4-2-46-None-94-POc-merari-a,wrasse or parrotfish,,merari,poc-merari-1,,,POc
4-2-46-None-94-POc-tapu-a,_Labridae_ sp.,,tapu,poc-tapu-1,,,POc
4-2-46-None-94-PEOc-lapi-a,wrasse,,lapi,peoc-lapi-1,,,PEOc
4-2-47-None-95-POc-kqulapi-a,parrotfish,,"[(k,q)]ulapi",pmp-kqulapi-1,,,PMP
4-2-47-None-96-POc-kamaiutuq-a,"_Bolbometopon_, double-headed parrotfish",,"kam(a,i,u)tuq",poc-kamaiutuq-1,,,POc
4-2-47-None-97-POc-kosa-a,k.o. parrotfish,,kosa,poc-kosa-1,,,POc
4-2-47-None-97-POc-melnaamalnea-a,k.o. parrotfish,,"me[l,n]aŋa~ma[l,n]eŋa",poc-melnaamalnea-1,,,POc
4-2-47-None-97-POc-mkarawa-a,green parrotfish spp.,,"[m,k]arawa",poc-mkarawa-1,,,POc
4-2-47-None-98-POc-mamanu-a,_Scarus_ spp.,,(ma)manu,poc-mamanu-1,,,POc
4-2-47-None-98-POc-bos-a,"_Scarus_ sp., k.o. parrotfish",,bʷos,poc-bos-1,,,POc
4-2-49-None-99-POc-kakawa-a,"goby, blenny",,kakawa,poc-kakawa-1,,,POc
4-2-50-None-100-PEOc-bakopu-a,"k.o. fish, possibly _Eleotris_ sp.",,bakopu,peoc-bakopu-1,,,PEOc
4-2-51-None-100-POc-jinana-a,whitebait,,jinŋana,poc-jinana-1,,,POc
4-2-54-None-101-POc-qume-a,"unicorn fish, _Naso_ spp.",,qumay,pmp-qumay-1,,,PMP
4-2-54-None-102-POc-tarat-a,"Naso spp., unicornfish",,taRat,pmp-tarat-1,,,PMP
4-2-54-None-102-POc-maonurv-a,"_Naso_ sp., unicornfish",,"m(a,o)nuRV",poc-maonurv-1,,,POc
4-2-54-None-103-POc-piraq-a,_Zebrasoma veliferum_,,biRaq,pmp-biraq-1,,,PMP
4-2-54-None-103-POc-birrapa-a,"_Acanthurus lineatus_, blue-lined surgeonfish",,"bi[r,R]apa",poc-birrapa-1,,,POc
4-2-54-None-103-POc-mara-a,"_Acanthurus_ sp., possibly _Acanthurus xanthopterus_, yellowfin surgeonfish",,maRa,poc-mara-1,,,POc
4-2-54-None-103-POc-katawan-a,fish sp.,,katawan,pmp-katawan-1,,,PMP
4-2-54-None-103-POc-qapalir-a,surgeonfish,,paliR,pmp-palir-1,,,PMP
4-2-54-None-104-POc-sjabi-a,"_Acanthurus_ spp., incl. _Acanthurus guttatus_, white-spotted surgeonfish",,"[s,j]abiŋ",poc-sjabi-1,,,POc
4-2-54-None-104-POc-qaroo-a,_Acanthurus_ spp.,,qaroŋo,pmp-qaroo-1,,,PMP
4-2-54-None-105-POc-kiriau-a,Acanthuridae,,"kir[i,au]",poc-kiriau-1,,,POc
4-2-54-None-105-POc-bolo-a,"small dark surgeonfish, possibly _Ctenochaetus_",,bolo,poc-bolo-1,,,POc
4-2-54-None-106-PEOc-bonea-a,generic for various small Acanthuridae,,"bon(e,a)",peoc-bonea-1,,,PEOc
4-2-54-None-106-POc-makqeto-a,"a dark fish, possibly _Ctenochaetus striatus_",,"ma(k,q)eto",poc-makqeto-1,,,POc
4-2-54-None-107-POc-balaki-a,_Acanthurus_ spp. and _Naso_ spp.,,"bala(ŋ,k)i",poc-balaki-1,,,POc
4-2-54-None-107-PROc-manini-a,"_Acanthurus triostegus_, convict tang",,manini,proc-manini-1,,,PROc
4-2-55-None-108-POc-kito-a,rabbitfish,,kiteŋ,pmp-kite-1,,,PMP
4-2-55-None-109-POc-muqu-a,k.o. fish,,muquŋ,pmp-muqu-1,,,PMP
4-2-55-None-109-POc-roro-a,growth stage of _Siganus_ spp.,,roRo,poc-roro-1,,,POc
4-2-55-None-109-POc-palaja-a,"_Siganus_ spp., rabbitfish",,palaja,poc-palaja-1,,,POc
4-2-55-None-110-POc-muror-a,"_Siganus argenteus_, silver or rabbit-faced spinefoot",,muroR,poc-muror-1,,,POc
4-2-55-None-110-POc-marawa-a,spinefoot sp.,,marawa,poc-marawa-1,,,POc
4-2-57-None-112-POc-qalun-a,"_Katsuwonus pelamis_, skipjack tuna",,qalun,poc-qalun-1,,,POc
4-2-57-None-113-PROc-tawatawa-a,growth stage of skipjack or dogtooth tuna,,tawa-tawa,proc-tawatawa-1,,,PROc
4-2-57-None-114-POc-tairi-a,"_Scomberomorus commerson_, Spanish mackerel",,taŋiRi,pmp-tairi-1,,,PMP
4-2-57-None-114-POc-walu-a,_Scombridae_ sp. or spp.,,walu,poc-walu-1,,,POc
4-2-57-None-115-POc-jalala-a,"_Rastrelliger_, k.o. small mackerel",,jalala,poc-jalala-1,,,POc
4-2-57-None-115-POc-takuao-a,"_Thunnus albacares_, yellowfin tuna",,"taku(a,o)",poc-takuao-1,,,POc
4-2-58-None-116-POc-sakulayar-a,"sailfish, swordfish",,saku-layaR,pmp-sakulayar-1,,,PMP
4-2-58-None-117-POc-pirupiru-a,Istiophoridae,,piRu-piRu,poc-pirupiru-1,,,POc
4-2-59-None-118-POc-lalali-a,"halibut, flounder",,alali,pcemp-alali-1,,,PCEMP
4-2-59-None-118-POc-lapaq-a,various flat fishes incl. sole and flounder,,lapaq,poc-lapaq-1,,,POc
4-2-60-None-119-POc-nnopuq-a,stonefish,,ñepuq,pmp-nepuq-1,,,PMP
4-2-61-None-121-POc-jumu-a,"Balistidae, triggerfish and possibly Monacanthidae, leatherjackets",,jumu,poc-jumu-1,,,POc
4-2-61-None-122-POc-bubu-a,"_Balistes_ taxon, triggerfish",,bubu,poc-bubu-1,,,POc
4-2-61-None-122-POc-barubaru-a,"_Balistes_ taxon, triggerfish",,[bʷaRu]bʷaRu,poc-barubaru-1,,,POc
4-2-61-None-123-POc-liolio-a,"_Pseudobalistes fuscus_, brown triggerfish",,lio-lio,poc-liolio-1,,,POc
4-2-62-None-124-POc-bareu-a,"_Ostracion_, boxfish",,bʷaReu,poc-bareu-1,,,POc
4-2-62-None-124-POc-toqa-a,"k.o. fish with toxic flesh, probably _Ostracion_",,toqa,poc-toqa-1,,,POc
4-2-62-None-124-POc-moa-a,boxfish,,moa,poc-moa-1,,,POc
4-2-63-None-125-POc-tarutum-a,"porcupinefish, _Diodon_ sp.",,"taRutu[m,ŋ]",pmp-tarutum-1,,,PMP
4-2-63-None-126-POc-potopoto-a,"pufferfish, porcupinefish",,[poto]poto,poc-potopoto-1,,,POc
4-2-63-None-127-POc-boeboe-a,pufferfish,,bʷoe-bʷoe,poc-boeboe-1,,,POc
4-2-63-None-127-POc-buli-a,pufferfish,,buli,poc-buli-1,,,POc
4-2-63-None-127-PCP-jexejexe-a,_Arothron_,,jexejexe,pcp-jexejexe-1,,,PCP
4-2-63-None-128-PROc-bakare-a,porcupine fish,,bʷakaRe,proc-bakare-1,,,PROc
4-2-66-1-129-POc-bira-a,"roe, fish eggs",,biRaS,pan-biras-1,,,PAn
4-2-66-2-129-POc-qasa-a,gills,,hasaŋ,pmp-hasa-1,,,PMP
4-2-66-2-130-POc-koro-a,gills,,koro,poc-koro-1,,,POc
4-2-66-2-130-POc-gara-a,gills,,gara,poc-gara-1,,,POc
4-2-66-3-131-POc-qunapi-a,scale of fish,,quSaNap,pan-qusanap-1,,,PAn
4-2-66-4-132-POc-banic-a,wing,,panij,pmp-panij-1,,,PMP
4-2-66-4-133-PEOc-kabakaba-a,to flap the wings,,kaba-kaba,peoc-kabakaba-1,,,PEOc
4-2-66-4-133-POc-kapikapi-a,fin,,kapi-kapi,pmp-kapikapi-1,,,PMP
4-2-66-4-133-POc-talia-a,pectoral fins,,taliŋa,poc-talia-1,,,POc
4-2-66-4-134-POc-siriko-a,dorsal fin,,siRik,pmp-sirik-1,,,PMP
4-2-66-4-134-PMic-ii-a,dorsal fin,,iŋi,pmic-ii-1,,,PMic
4-2-66-4-134-PWOc-siorra-a,fish fin,,"sio(R,r)a",pwoc-siorra-1,,,PWOc
4-2-66-5-134-POc-kobu-a,"abdomen, belly",,kempuŋ,pmp-kempu-1,,,PMP
4-2-66-6-135-PCP-voto-a,"thorn, prickle; spike or spines of a fish",,voto,pcp-voto-1,,,PCP
4-4-1-None-162-POc-paoda-a,gather seafood on the reef,,paŋoda,poc-paoda-1,,,POc
4-4-1-None-162-POc-pinaoda-a,"seafood gathered on the reef, edible sea invertebrates",,"p⟨in⟩aŋoda, piŋoda",poc-pinaodapioda-1,,,POc
4-4-3-1-165-POc-qura-a,"shrimp, lobster",,qudaŋ,pan-quda-1,,,PAn
4-4-3-2-167-POc-papaba-a,"_Parribacus_ sp. (Scyllaridae), slipper lobster",,[pa]paba,poc-papaba-1,,,POc
4-4-3-2-167-PCP-jabajaba-a,"_Parribacus_ sp. (Scyllaridae), slipper lobster",,jabajaba,pcp-jabajaba-1,,,PCP
4-4-3-3-168-PROc-lura-a,small shrimp,,luRa,proc-lura-1,,,PROc
4-4-3-4-169-POc-qayuyu-a,"coconut crab, _Birgus latro_",,qayuyu,pmp-qayuyu-1,,,PMP
4-4-3-4-170-POc-quma-a,hermit crab,,qumaŋ,pan-quma-1,,,PAn
4-4-3-4-171-POc-koba-a,hermit crab,,koba,poc-koba-1,,,POc
4-4-3-4-171-POc-katoqu-a,hermit crab,,kato(q)u,poc-katoqu-1,,,POc
4-4-3-5-172-POc-qalimao-a,mangrove crab,,qalimaŋaw,pmp-qalimaaw-1,,,PMP
4-4-3-5-173-POc-tubara-a,"probably generic for large land crabs, _Cardisoma_ spp.",,tubaRa,poc-tubara-1,,,POc
4-4-3-5-173-POc-rakumu-a,"k.o. large crab, probably a land crab",,rakum(u),poc-rakumu-1,,,POc
4-4-3-5-174-POc-kuka-a,"mudcrab, including _Sesarma_ sp. or spp., living in mangrove forest and mudflats",,kuka,poc-kuka-1,,,POc
4-4-3-5-175-POc-kape-a,"crab taxon, probably a rock crab (Grapsidae)",,kape,poc-kape-1,,,POc
4-4-3-5-176-POc-karuki-a,"sand crab, _Ocypoda_ sp.",,kaRuki,pmp-karuki-1,,,PMP
4-4-3-5-176-PEOc-karuve-a,"k.o. beach crab, probably _Ocypoda_ sp., ghost crab",,kaRuve,peoc-karuve-1,,,PEOc
4-4-3-5-177-PEOc-kakaka-a,"small shore crab, possibly _Ocypoda_ sp",,kakaka,peoc-kakaka-1,,,PEOc
4-4-3-5-177-POc-karaka-a,probably rock crab,,kaRakap,pmp-karakap-1,,,PMP
4-4-3-5-177-POc-gkalau-a,"k.o. shore crab, possibly a grapsid sp.",,"(g,k)alau",poc-gkalau-1,,,POc
4-4-3-7-179-ProtoMalaitaMakira-sisira-a,a barnacle or kind of small mollusc,,sisira,protomalaitamakira-sisira-1,,,Proto Malaita-Makira
4-4-3-7-179-PCP-jove-a,k.o. shellfish or barnacle,,jove,pcp-jove-1,,,PCP
4-4-3-9-180-PEOc-rami-a,crustacean roe,,Rami,peoc-rami-1,,,PEOc
