ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Description,Sic,Doubt,Morpheme_Gloss,Kinship_Gloss
raga-ie-1,,raga,fishincludingwhalesandporpoisesbutnoteelsseasnakesoctopussquidcuttlefishjellyfishorbaloloworms,iɣe,iɣe,i ɣ e,,,,,^ i ɣ e $,default,"fish, including whales and porpoises but not eels, seasnakes, octopus, squid, cuttlefish jellyfish or balolo worms",false,false,,
ambae-ige-1,,ambae,typicalfishesraysanddolphinsbutnotsharksandwhaleswhicharegroupedtogethereelsorcephalopods,ige,ige,i g e,,,,,^ i g e $,default,"typical fishes, rays and dolphins but not sharks and whales (which are grouped together), eels or cephalopods",false,false,,
nguna-naika-1,,nguna,fish,na-ika,na-ika,n a i k a,,,,,^ n a - i k a $,default,fish,false,false,,
nemi-nuk-1,,nemi,fish,nuk,nuk,n u k,,,,,^ n u k $,default,fish,false,false,,
cemuhi-ikua-1,,cemuhi,fish,îkua,îkua,î k u a,,,,,^ î k u a $,default,fish,false,false,,
kiribati-ika-1,,kiribati,fishallswimmingmarinecreaturesincludingturtlesdugongwhalesandporpoisesbutnotsquidoroctopus,ika,ika,i k a,,,,,^ i k a $,default,"fish: all swimming marine creatures including turtles, dugong, whales and porpoises, but not squid or octopus",false,false,,
woleaian-ixa-1,,woleaian,fish,ix(a),ix,i x,,,,,^ i x $,default,fish,false,false,,
chuukese-ik-1,,chuukese,generalnameforfish,īk,īk,ī k,,,,,^ ī k $,default,general name for fish,false,false,,
puluwatese-yikyikan-1,,puluwatese,fishporpoiseswhalesbutnotsquid,"yīk, yikan",yīk,y ī k,,,,,^ y ī k $,default,"fish, porpoises, whales, but not squid",false,false,,
rotuman-ia-1,,rotuman,fishincludingalsoturtleswhalesalligatorsetcbutnotcrabsshellfishetc,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,"fish: including also turtles, whales, alligators, etc., but not crabs, shellfish, etc.",false,false,,
wayan-ika-1,,wayan,fishincludingeelscetaceansturtlesandsometimescephalopods,ika,ika,i k a,,,,,^ i k a $,default,"fish, including eels, cetaceans, turtles and sometimes cephalopods",false,false,,
bauanfijian-ika-1,,bauanfijian,fishincludingalsoeelsturtlescetaceanscephalopods,ika,ika,i k a,,,,,^ i k a $,default,"fish, including also eels, turtles, cetaceans, cephalopods",false,false,,
tongan-ika-1,,tongan,fishincludingalsoturtlesfonuandwhalestofuaabutnoteelscuttlefishorjellyfish,ika,ika,i k a,,,,,^ i k a $,default,"fish, including also turtles (_fonu_) and whales (_tofuaʔa_) but not eels, cuttle-fish or jelly-fish",false,false,,
niuatoputapu-ika-1,,niuatoputapu,fishincludingeelsturtlescetaceanscephalopods,ika,ika,i k a,,,,,^ i k a $,default,"fish, including eels, turtles, cetaceans, cephalopods",false,false,,
niuean-ika-1,,niuean,fishwhalesanddolphins,ika,ika,i k a,,,,,^ i k a $,default,"fish, whales and dolphins",false,false,,
rennellese-ika-1,,rennellese,fishturtle,ika,ika,i k a,,,,,^ i k a $,default,"fish, turtle",false,false,,
samoan-ia-1,,samoan,fishincludingturtlesandwhales,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,fish (including turtles and whales),false,false,,
tikopia-ika-1,,tikopia,generalcategorywithreferencetofishbutincludingalliedcreaturesliketurtlecetaceans,ika,ika,i k a,,,,,^ i k a $,default,"general category with reference to fish, but including allied creatures like turtle, cetaceans",false,false,,
ifiramele-ika-1,,ifiramele,fishwhaleporpoisebutnotturtleseelsoroctopus,ika,ika,i k a,,,,,^ i k a $,default,"fish, whale, porpoise but not turtles, eels or octopus",false,false,,
rarotongan-ika-1,,rarotongan,fishgeneric,ika,ika,i k a,,,,,^ i k a $,default,fish (generic),false,false,,
tahitian-ia-1,,tahitian,fishincludingporpoisewhaleturtleoctopus,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,"fish, including porpoise, whale, turtle, octopus",false,false,,
maori-ika-1,,maori,fish,ika,ika,i k a,,,,,^ i k a $,default,fish,false,false,,
hawaiian-ia-1,,hawaiian,fishoranymarineanimalaseeloystercrabwhalemeatoranyfleshfood,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,"fish or any marine animal, as eel, oyster, crab, whale; meat or any flesh food",false,false,,
poc-bakewa-1,,poc,sharkgeneric,bakewa,bakewa,b a k e w a,,,,,^ b a k e w a $,poc,shark (generic),false,false,,
mussau-baio-1,,mussau,shark,baio,baio,b a i o,,,,,^ b a i o $,default,shark,false,false,,
loniu-pew-1,,loniu,sharkgenericusedasfirstelementincompoundtermsforkindsof,pew,pew,p e w,,,,,^ p e w $,default,"shark, generic. Used as first element in compound terms for kinds of",false,false,,
nyindrou-beeu-1,,nyindrou,shark,beʔeu,beʔeu,b e ʔ e u,,,,,^ b e ʔ e u $,default,shark,false,false,,
titan-peu-1,,titan,shark,peu,peu,p e u,,,,,^ p e u $,default,shark,false,false,,
lenkau-paheu-1,,lenkau,sharkgeneric,paheu,paheu,p a h e u,,,,,^ p a h e u $,default,shark (generic),false,false,,
yabem-yaka-1,,yabem,shark,yakʷa,yakʷa,y a kʷ a,,,,,^ y a kʷ a $,default,shark,false,false,,
kove-vaewa-1,,kove,shark,vaɣewa,vaɣewa,v a ɣ e w a,,,,,^ v a ɣ e w a $,default,shark,false,false,,
bariai-bakewa-1,,bariai,shark,bakewa,bakewa,b a k e w a,,,,,^ b a k e w a $,default,shark,false,false,,
wogeo-bagewa-1,,wogeo,shark,bagewa,bagewa,b a g e w a,,,,,^ b a g e w a $,default,shark,false,false,,
wedau-vaewa-1,,wedau,shark,vaɣewa,vaɣewa,v a ɣ e w a,,,,,^ v a ɣ e w a $,default,shark,false,false,,
duau-baewa-1,,duau,shark,baewa,baewa,b a e w a,,,,,^ b a e w a $,default,shark,false,false,,
misima-baewa-1,,misima,sharkgeneric,baewa,baewa,b a e w a,,,,,^ b a e w a $,default,shark (generic),false,false,,
sinaugoro-baewa-1,,sinaugoro,shark,baɣewa,baɣewa,b a ɣ e w a,,,,,^ b a ɣ e w a $,default,shark,false,false,,
patpatar-baiawa-1,,patpatar,shark,baiawa,baiawa,b a i a w a,,,,,^ b a i a w a $,default,shark,false,false,,
lungga-baea-1,,lungga,shark,baɣea,baɣea,b a ɣ e a,,,,,^ b a ɣ e a $,default,shark,false,false,,
gela-baea-1,,gela,kosharkbaskingshark,baɣea,baɣea,b a ɣ e a,,,,,^ b a ɣ e a $,default,"k.o. shark, basking shark",false,false,,
gela-bakebake-1,,gela,carcharhinusmelanopterusblacktipreefshark,bake-bake,bake-bake,b a k e b a k e,,,,,^ b a k e - b a k e $,default,"_Carcharhinus melanopterus_, blacktip reef shark",false,false,,
lau-baeka-1,,lau,generaltermforshark,baekʷa,baekʷa,b a e kʷ a,,,,,^ b a e kʷ a $,default,general term for shark,false,false,,
arosi-baewa-1,,arosi,sharkthesharkwassacredmenhadfamiliarsharkswhichkilledtheirenemiesamanandasharksometimesexchangedsouls,baʔewa,baʔewa,b a ʔ e w a,,,,,^ b a ʔ e w a $,default,shark. The shark was sacred. Men had familiar sharks which killed their enemies. A man and a shark sometimes exchanged souls,false,false,,
saa-paewa-1,,saa,shark,paʔewa,paʔewa,p a ʔ e w a,,,,,^ p a ʔ e w a $,default,shark,false,false,,
kwaio-baeka-1,,kwaio,sharkgeneric,baʔekʷa,baʔekʷa,b a ʔ e kʷ a,,,,,^ b a ʔ e kʷ a $,default,shark (generic),false,false,,
kahua-pagewa-1,,kahua,sharkgeneric,pagewa,pagewa,p a g e w a,,,,,^ p a g e w a $,default,shark (generic),false,false,,
loh-pewa-1,,loh,shark,pəɣewa,pəɣewa,p ə ɣ e w a,,,,,^ p ə ɣ e w a $,default,shark,false,false,,
mota-paoa-1,,mota,shark,paɣoa,paɣoa,p a ɣ o a,,,,,^ p a ɣ o a $,default,shark,false,false,,
mwotlap-bao-1,,mwotlap,carcharhinidaespp,baɣo,baɣo,b a ɣ o,,,,,^ b a ɣ o $,default,Carcharhinidae spp.,false,false,,
namakir-bake-1,,namakir,shark,bake,bake,b a k e,,,,,^ b a k e $,default,shark,false,false,,
southefate-pako-1,,southefate,shark,pako,pako,p a k o,,,,,^ p a k o $,default,shark,false,false,,
ura-ubeu-1,,ura,shark,(u)beu,beu,b e u,,,,,^ b e u $,default,shark,false,false,,
anejom-nepev-1,,anejom,shark,ne-pɣev,ne-pɣev,n e p ɣ e v,,,,,^ n e - p ɣ e v $,default,shark,false,false,,
kiribati-bakoa-1,,kiribati,sharkgeneric,bakoa,bakoa,b a k o a,,,,,^ b a k o a $,default,shark (generic),false,false,,
marshallese-pako-1,,marshallese,shark,pako,pako,p a k o,,,,,^ p a k o $,default,shark,false,false,,
ponapean-pako-1,,ponapean,sharkgeneric,pako,pako,p a k o,,,,,^ p a k o $,default,shark (generic),false,false,,
woleaian-paxow-1,,woleaian,shark,paxow,paxow,p a x o w,,,,,^ p a x o w $,default,shark,false,false,,
pcp-bakewa-1,,pcp,kofishthataccompaniessharks,bakewa,bakewa,b a k e w a,,,,,^ b a k e w a $,pcp,k.o. fish that accompanies sharks,false,false,,
bauanfijian-bakewa-1,,bauanfijian,remoraorsuckingfish,bākewa,bākewa,b ā k e w a,,,,,^ b ā k e w a $,default,remora or sucking fish,false,false,,
ppn-pakewa-1,,ppn,carangoidesorthogrammus,pakewa,pakewa,p a k e w a,,,,,^ p a k e w a $,ppn,_Carangoides orthogrammus_,false,false,,
tuvalu-pakeva-1,,tuvalu,fishspcarangoidesorthogrammus,pakeva,pakeva,p a k e v a,,,,,^ p a k e v a $,default,"fish sp., _Carangoides orthogrammus_",false,false,,
pukapukan-pakeva-1,,pukapukan,carangoidesorthogrammus,pakeva,pakeva,p a k e v a,,,,,^ p a k e v a $,default,_Carangoides orthogrammus_,false,false,,
takuu-pakeva-1,,takuu,nameofprincipalseadeity,pakeva,pakeva,p a k e v a,,,,,^ p a k e v a $,default,name of principal sea deity,false,false,,
tokelauan-pakeva-1,,tokelauan,blackspotjackcarangoidesorthogrammus,pakeva,pakeva,p a k e v a,,,,,^ p a k e v a $,default,"black-spot jack, _Carangoides orthogrammus_",false,false,,
tuamotuan-pakeva-1,,tuamotuan,kofish,pakeva,pakeva,p a k e v a,,,,,^ p a k e v a $,default,k.o. fish,false,false,,
burna-boeboe-1,,burna,shark,boe~bʷoe,boe~bʷoe,<???>,,,,,^ boe~bʷoe $,default,shark,false,false,,
poc-maewa-1,,poc,koshark,maŋewa,maŋewa,m a ŋ e w a,,,,,^ m a ŋ e w a $,poc,k.o. shark,false,false,,
motu-maoa-1,,motu,suckerfishphtheirichthyslineatusecheneisnaucratesremoraremora,maɣoa,maɣoa,m a ɣ o a,,,,,^ m a ɣ o a $,default,"suckerfish: _Phtheirichthys lineatus_, _Echeneis naucrates_, _Remora remora_",false,false,,
tomoip-magel-1,,tomoip,shark,maŋ(gel),maŋ,m a ŋ,,,,,^ m a ŋ $,default,shark,false,false,,
tolai-mo-1,,tolai,commonsharkcarcharinussp,moŋ,moŋ,m o ŋ,,,,,^ m o ŋ $,default,"common shark, _Carcharinus_ sp.",false,false,,
toabaita-maeo-1,,toabaita,spofsmallshark,maŋeo,maŋeo,m a ŋ e o,,,,,^ m a ŋ e o $,default,sp. of small shark,false,false,,
lau-maeo-1,,lau,koseasnake,maŋeo,maŋeo,m a ŋ e o,,,,,^ m a ŋ e o $,default,k.o. sea snake,false,false,,
ppn-mao-1,,ppn,generaltermforsharkspp,maŋō,maŋō,m a ŋ ō,,Hooper1994,,,^ m a ŋ ō $,ppn,general term for shark spp.,false,false,,
niuean-mao-1,,niuean,sharkgeneric,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark (generic),false,false,,
pukapukan-mao-1,,pukapukan,sharkgeneric,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark (generic),false,false,,
rennellese-mao-1,,rennellese,sharkgeneric,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark (generic),false,false,,
samoan-mao-1,,samoan,koshark,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,k.o. shark,false,false,,
tuvalu-mao-1,,tuvalu,shark,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark,false,false,,
tokelauan-mao-1,,tokelauan,shark,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark,false,false,,
kapingamarangi-moohenua-1,,kapingamarangi,greyshark,moŋo(henua),moŋo,m o ŋ o,,,,,^ m o ŋ o $,default,grey shark,false,false,,
tikopia-mao-1,,tikopia,sharkgeneric,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark (generic),false,false,,
tahitian-mao-1,,tahitian,sharkgeneric,maʔo,maʔo,m a ʔ o,,,,,^ m a ʔ o $,default,shark (generic),false,false,,
maori-mao-1,,maori,sharkgeneric,maŋō,maŋō,m a ŋ ō,,,,,^ m a ŋ ō $,default,shark (generic),false,false,,
hawaiian-mano-1,,hawaiian,sharkgeneric,manō,manō,m a n ō,,,,,^ m a n ō $,default,shark (generic),false,false,,
puluwatese-mowur-1,,puluwatese,koshark,məŋo(wur),məŋo,m ə ŋ o,,,,,^ m ə ŋ o $,default,k.o. shark,false,false,,
poc-karawa-1,,poc,koshark,kʷarawa,kʷarawa,kʷ a r a w a,,,,,^ kʷ a r a w a $,poc,k.o. shark,false,false,,
gitua-arawa-1,,gitua,shark,arawa,arawa,a r a w a,,,,,^ a r a w a $,default,shark,false,false,,
kove-kalua-1,,kove,shark,kaluɣa,kaluɣa,k a l u ɣ a,,,,,^ k a l u ɣ a $,default,shark,false,false,,
mutu-korau-1,,mutu,genericforseveralsharkspp,korau,korau,k o r a u,,,,,^ k o r a u $,default,generic for several shark spp.,false,false,,
dobu-kalawa-1,,dobu,sharkgeneralname,kʷalawa,kʷalawa,kʷ a l a w a,,,,,^ kʷ a l a w a $,default,"shark, general name",false,false,,
muyuw-kaw-1,,muyuw,shark,kʷaw,kʷaw,kʷ a w,,,,,^ kʷ a w $,default,shark,false,false,,
kilivila-kau-1,,kilivila,shark,kʷau,kʷau,kʷ a u,,,,,^ kʷ a u $,default,shark,false,false,,
lala-olava-1,,lala,sharkgeneric,olava,olava,o l a v a,,,,,^ o l a v a $,default,shark (generic),false,false,,
motu-karava-1,,motu,kofish,karava,karava,k a r a v a,,,,,^ k a r a v a $,default,k.o. fish,false,false,,
bali-kalua-1,,bali,shark,kaluɣa,kaluɣa,k a l u ɣ a,,,,,^ k a l u ɣ a $,default,shark,false,false,,
vitu-kalia-1,,vitu,shark,kaliɣa,kaliɣa,k a l i ɣ a,,,,,^ k a l i ɣ a $,default,shark,false,false,,
nixumwak-arau-1,,nixumwak,koshark,ārau,ārau,ā r a u,,,,,^ ā r a u $,default,k.o. shark,false,false,,
rakiraki-karawa-1,,rakiraki,isurusmakoshark,karawa,karawa,k a r a w a,,,,,^ k a r a w a $,default,"_Isurus_, mako shark",false,false,,
ppn-qalawa-1,,ppn,koshark,qalawa,qalawa,q a l a w a,,,,,^ q a l a w a $,ppn,k.o. shark,false,false,,
eastuvean-alava-1,,eastuvean,carcharhinuslimbatusblacktippedshark,ʔalava,ʔalava,ʔ a l a v a,,,,,^ ʔ a l a v a $,default,"_Carcharhinus limbatus_, black-tipped shark",false,false,,
tongan-alava-1,,tongan,koshark,ʔalava,ʔalava,ʔ a l a v a,,,,,^ ʔ a l a v a $,default,k.o. shark,false,false,,
rennellese-agaba-1,,rennellese,largesharkprobablyblacktipormulletsharkcarcharhinusmelanopterus,ʔagaba,ʔagaba,ʔ a g a b a,,,,,^ ʔ a g a b a $,default,"large shark, probably black-tip or mullet shark, _Carcharhinus melanopterus_",false,false,,
samoan-alava-1,,samoan,koshark,alava,alava,a l a v a,,,,,^ a l a v a $,default,k.o. shark,false,false,,
tuvalu-alava-1,,tuvalu,carcharhinuslongimanuswhitetippedshark,alava,alava,a l a v a,,,,,^ a l a v a $,default,"_Carcharhinus longimanus_, white-tipped shark",false,false,,
kapingamarangi-alawa-1,,kapingamarangi,carcharhinuslongimanusoceanicwhitetippedshark,alawa,alawa,a l a w a,,,,,^ a l a w a $,default,"_Carcharhinus longimanus_, Oceanic white-tipped shark",false,false,,
maori-arawa-1,,maori,koshark,arawa,arawa,a r a w a,,,,,^ a r a w a $,default,k.o. shark,false,false,,
pcp-qaso-1,,pcp,kolargeshark,qaso,qaso,q a s o,,,,,^ q a s o $,pcp,k.o. large shark,false,false,,
bauanfijian-yaso-1,,bauanfijian,kosharkmalesavagebigbellyshortbody,yaso,yaso,y a s o,,,,,^ y a s o $,default,"k.o. shark, male, savage, big belly, short body",false,false,,
ppn-qaso-1,,ppn,sharksp,qaso,qaso,q a s o,,Hooper1994,,,^ q a s o $,ppn,shark sp.,false,false,,
tongan-aho-1,,tongan,koshark,ʔaho,ʔaho,ʔ a h o,,,,,^ ʔ a h o $,default,k.o. shark,false,false,,
pukapukan-ayou-1,,pukapukan,largedeepseashark,ayou,ayou,a y o u,,,,,^ a y o u $,default,large deep-sea shark,false,false,,
samoan-aso-1,,samoan,carcharhinuswhitetippedshark,aso,aso,a s o,,Rensch1999[19],,,^ a s o $,default,"_Carcharhinus_, white-tipped shark",false,false,,
tokelauan-aho-1,,tokelauan,hugeclumsygreydeepseafishabout5metreslongprobablysharkfamily,aho,aho,a h o,,,,,^ a h o $,default,"huge, clumsy grey deep-sea fish about 5 metres long, probably shark family",false,false,,
maori-ahoaho-1,,maori,afish,aho-aho,aho-aho,a h o a h o,,,,,^ a h o - a h o $,default,a fish,false,false,,
taiof-kas-1,,taiof,shark,kas,kas,k a s,,,,,^ k a s $,default,shark,false,false,,
halia-kosoro-1,,halia,brownmaneatingsharkplentifularoundnissanandassociatedwithsorcery,kosoro,kosoro,k o s o r o,,,,,^ k o s o r o $,default,"brown man-eating shark, plentiful around Nissan and associated with sorcery",false,false,,
pan-paris-1,,pan,stingray,paRiS,paRiS,p a ʀ i,,Blust1995,,,^ p a R i S $,pan,stingray,false,false,,
poc-pari-1,,poc,stingray,paRi,paRi,p a ʀ i,,,,,^ p a R i $,poc,stingray,false,false,,
mussau-pe-1,,mussau,stingray,pe,pe,p e,,,,,^ p e $,default,stingray,false,false,,
titan-pei-1,,titan,ray,pei,pei,p e i,,,,,^ p e i $,default,ray,false,false,,
nali-pei-1,,nali,stingray,pei,pei,p e i,,,,,^ p e i $,default,stingray,false,false,,
bipi-pay-1,,bipi,stingray,pay,pay,p a y,,,,,^ p a y $,default,stingray,false,false,,
wuvulu-pai-1,,wuvulu,stingray,pai,pai,p a i,,,,,^ p a i $,default,stingray,false,false,,
nyindrou-bei-1,,nyindrou,stingray,bei,bei,b e i,,,,,^ b e i $,default,stingray,false,false,,
gitua-par-1,,gitua,stingray,par,par,p a r,,,,,^ p a r $,default,stingray,false,false,,
manam-paru-1,,manam,stingray,paru,paru,p a r u,,,,,^ p a r u $,default,stingray,false,false,,
bariai-pali-1,,bariai,stingray,pali,pali,p a l i,,,,,^ p a l i $,default,stingray,false,false,,
mangap-par-1,,mangap,stingray,par,par,p a r,,,,,^ p a r $,default,stingray,false,false,,
dobu-ali-1,,dobu,stingray,ali,ali,a l i,,,,,^ a l i $,default,stingray,false,false,,
molima-vali-1,,molima,stingray,vali,vali,v a l i,,,,,^ v a l i $,default,stingray,false,false,,
tawala-wali-1,,tawala,stingray,wali,wali,w a l i,,,,,^ w a l i $,default,stingray,false,false,,
kilivila-vai-1,,kilivila,stingray,vai,vai,v a i,,,,,^ v a i $,default,stingray,false,false,,
tolai-var-1,,tolai,fishoftherayspecies,var,var,v a r,,,,,^ v a r $,default,fish of the ray species,false,false,,
minigir-vari-1,,minigir,stingray,vari,vari,v a r i,,,,,^ v a r i $,default,stingray,false,false,,
tabar-vari-1,,tabar,stingray,vari,vari,v a r i,,,,,^ v a r i $,default,stingray,false,false,,
patpatar-har-1,,patpatar,ray,har,har,h a r,,,,,^ h a r $,default,ray,false,false,,
roviana-vari-1,,roviana,woodrasp,vari,vari,v a r i,,,,,^ v a r i $,default,wood rasp,false,false,,
marovo-varipopolo-1,,marovo,bullraymylobatussp,vari(popolo),vari,v a r i,,,,,^ v a r i $,default,"bull ray, _Mylobatus_ sp.",false,false,,
gela-vali-1,,gela,rayskate,vali,vali,v a l i,,,,,^ v a l i $,default,"ray, skate",false,false,,
arosi-hari-1,,arosi,afishray,hari,hari,h a r i,,,,,^ h a r i $,default,"a fish, ray",false,false,,
lau-fali-1,,lau,generaltermforrays,fali,fali,f a l i,,,,,^ f a l i $,default,general term for rays,false,false,,
kwaio-fali-1,,kwaio,rayfishgeneric,fali,fali,f a l i,,,,,^ f a l i $,default,ray (fish) (generic),false,false,,
mota-varvari-1,,mota,stingray,"var, vari",var,v a r,,,,,^ v a r $,default,stingray,false,false,,
ambae-vari-1,,ambae,stingray,vari,vari,v a r i,,,,,^ v a r i $,default,stingray,false,false,,
raga-vari-1,,raga,bluespottedstingray,vari,vari,v a r i,,,,,^ v a r i $,default,blue-spotted stingray,false,false,,
sye-uvar-1,,sye,stingray,(u)var,var,v a r,,,,,^ v a r $,default,stingray,false,false,,
ura-uvar-1,,ura,stingray,(u)var,var,v a r,,,,,^ v a r $,default,stingray,false,false,,
nemi-pe-1,,nemi,stingray,pe,pe,p e,,,,,^ p e $,default,stingray,false,false,,
ajie-pe-1,,ajie,stingray,pe,pe,p e,,,,,^ p e $,default,stingray,false,false,,
xaracuu-pe-1,,xaracuu,stingray,pe,pe,p e,,,,,^ p e $,default,stingray,false,false,,
iaai-ve-1,,iaai,stingray,ve,ve,v e,,,,,^ v e $,default,stingray,false,false,,
puluwatese-fyi-1,,puluwatese,rayfish,fœyi,fœyi,f œ y i,,,,,^ f œ y i $,default,ray fish,false,false,,
woleaian-faiya-1,,woleaian,fileatoolrayfishgeneralterm,fai(ya),fai,f a i,,,,,^ f a i $,default,file (a tool); rayfish (general term),false,false,,
rotuman-hai-1,,rotuman,stingray,hai,hai,h a i,,,,,^ h a i $,default,stingray,false,false,,
bauanfijian-vai-1,,bauanfijian,arayorskate,vai,vai,v a i,,,,,^ v a i $,default,a ray or skate,false,false,,
wayan-vai-1,,wayan,genericforstingraysmantaordevilraysandeaglerays,vai,vai,v a i,,,,,^ v a i $,default,"generic for stingrays, manta or devil rays and eagle rays",false,false,,
ppn-fai-1,,ppn,stingraygeneralterm,fai,fai,f a i,,,,,^ f a i $,ppn,"stingray, general term",false,false,,
tongan-fai-1,,tongan,skateorstingray,fai,fai,f a i,,,,,^ f a i $,default,skate or stingray,false,false,,
eastuvean-fai-1,,eastuvean,stingray,fai,fai,f a i,,,,,^ f a i $,default,stingray,false,false,,
samoan-fai-1,,samoan,stingray,fai,fai,f a i,,,,,^ f a i $,default,stingray,false,false,,
pukapukan-wai-1,,pukapukan,stingray,wai,wai,w a i,,,,,^ w a i $,default,stingray,false,false,,
rennellese-hai-1,,rennellese,genericforraysandskatelikefishes,hai,hai,h a i,,,,,^ h a i $,default,generic for rays and skate-like fishes,false,false,,
tikopia-fai-1,,tikopia,variousrays,fai,fai,f a i,,,,,^ f a i $,default,various rays,false,false,,
tahitian-fai-1,,tahitian,stingray,fai,fai,f a i,,,,,^ f a i $,default,stingray,false,false,,
hawaiian-hailepo-1,,hawaiian,stingray,hai(lepo),hai,h a i,,,,,^ h a i $,default,stingray,false,false,,
pmp-parihmanuk-1,,pmp,ray,paRih manuk,paRih manuk,p a ʀ i h + m a n u k,,Blust1995,,,^ p a R i h + m a n u k $,pmp,? ray,false,false,,
poc-parimanuk-1,,poc,aetobatusnarinarispottedeagleray,paRi-manuk,paRi-manuk,p a ʀ i <<->> m a n u k,,,,,^ p a R i <-> m a n u k $,poc,"_Aetobatus narinari_, spotted eagle ray",false,false,,
dobu-alimanuwa-1,,dobu,eagleray,ali manu(wa),ali manu,a l i + m a n u,,,,,^ a l i + m a n u $,default,eagle ray,false,false,,
patpatar-harman-1,,patpatar,spottedeagleray,har man,har man,h a r + m a n,,,,,^ h a r + m a n $,default,spotted eagle ray,false,false,,
