ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Description,Sic,Doubt,Morpheme_Gloss,Kinship_Gloss
pan-sikan-1,,pan,fish,Sikan,Sikan,i k a n,,Blust1995,,,^ S i k a n $,pan,fish,false,false,,
pmp-hikan-1,,pmp,fish,hikan,hikan,h i k a n,,Blust1995,,,^ h i k a n $,pmp,fish,false,false,,
poc-ikan-1,,poc,fishgeneric,ikan,ikan,i k a n,,,,,^ i k a n $,poc,fish (generic),false,false,,
nyindrou-ni-1,,nyindrou,fish,ni,ni,n i,,,,,^ n i $,default,fish,false,false,,
lenkau-nik-1,,lenkau,fishexclturtledolphinetc,nik,nik,n i k,,,,,^ n i k $,default,"fish, excl. turtle, dolphin etc.",false,false,,
penchal-nii-1,,penchal,fishincludingturtledolphinwhaleoctopus,nii,nii,n i i,,,,,^ n i i $,default,"fish, including turtle, dolphin, whale, octopus",false,false,,
gitua-iga-1,,gitua,fish,iga,iga,i g a,,,,,^ i g a $,default,fish,false,false,,
manam-ia-1,,manam,fish,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,fish,false,false,,
takia-i-1,,takia,fish,i,i,i,,,,,^ i $,default,fish,false,false,,
yabem-i-1,,yabem,fish,i,i,i,,,,,^ i $,default,fish,false,false,,
ubir-ian-1,,ubir,fish,ian,ian,i a n,,,,,^ i a n $,default,fish,false,false,,
dobu-iana-1,,dobu,fish,iana,iana,i a n a,,,,,^ i a n a $,default,fish,false,false,,
tawala-iyana-1,,tawala,fish,iyana,iyana,i y a n a,,,,,^ i y a n a $,default,fish,false,false,,
kilivila-yena-1,,kilivila,fish,yena,yena,y e n a,,,,,^ y e n a $,default,fish,false,false,,
ramoaaina-ian-1,,ramoaaina,fish,ian,ian,i a n,,,,,^ i a n $,default,fish,false,false,,
nakanai-ia-1,,nakanai,fishgeneric,ia,ia,i a,,,,,^ i a $,default,fish (generic),false,false,,
monoalu-iana-1,,monoalu,fish,iana,iana,i a n a,,,,,^ i a n a $,default,fish,false,false,,
roviana-iana-1,,roviana,fishgeneric,iɣana,iɣana,i ɣ a n a,,,,,^ i ɣ a n a $,default,fish (generic),false,false,,
marovo-iana-1,,marovo,genericforallfreeswimmingcreaturesegfisheelsstingraysdolphinswhalessquidsjellyfish,iɣana,iɣana,i ɣ a n a,,,,,^ i ɣ a n a $,default,"generic for all free-swimming creatures (e.g. fish, eels, stingrays, dolphins, whales, squids, jellyfish)",false,false,,
gela-ia-1,,gela,acreatureoftheseafishmollusccrayfishwhalesquidseaanemoneetc,iɣa,iɣa,i ɣ a,,,,,^ i ɣ a $,default,"a creature of the sea: fish, mollusc, crayfish, whale, squid, sea anemone, etc.",false,false,,
areare-ia-1,,areare,fishgeneric,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,fish (generic),false,false,,
saa-ie-1,,saa,fish,iʔe,iʔe,i ʔ e,,,,,^ i ʔ e $,default,fish,false,false,,
arosi-ia-1,,arosi,fishincludingsharksraysporpoisesandpossiblyothermainanimals,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,"fish, including sharks, rays, porpoises and possibly other main animals",false,false,,
lau-ia-1,,lau,fishanyseacreature,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,fish; any sea creature,false,false,,
kwaio-ia-1,,kwaio,fishporpoiseswhales,iʔa,iʔa,i ʔ a,,,,,^ i ʔ a $,default,"fish, porpoises, whales",false,false,,
mota-ia-1,,mota,fish,iɣa,iɣa,i ɣ a,,,,,^ i ɣ a $,default,fish,false,false,,
